feature,gain_sum,rank
GATS3i,149.8015203573741,182
AATSC0c,149.32867283839732,183
VR3_Dzv,149.2070062821731,184
MAXaaNH,149.15503753675148,185
plddt_protein_p10,149.0496687493287,186
GATS8c,148.699173874571,187
Radius,148.3441231744364,188
plddt_ligand_min,146.11493841279298,189
JGI2,145.1694425411988,190
plddt_res240,144.73988807108253,191
VSA_EState5,144.73962483461946,192
iptm,144.0834255476948,193
ATSC1m,144.03964066249318,194
plddt_protein_min,142.95177740743384,195
ZMIC4,142.60410392389167,196
GATS2c,141.88180095283315,197
plddt_res243,141.3030373302754,198
ATSC0i,141.16225211531855,199
GATS4s,140.6846504342975,200
EState_VSA6,140.5826549694175,201
GATS5dv,139.44229771080427,202
ATSC7v,139.40731491870247,203
plddt_ligand_max,138.99522856867407,204
Xpc-6d,138.67074759933166,205
SpMAD_Dzi,138.4784301321488,206
SaasC,136.8657545587048,207
ATSC8c,136.83251998526976,208
SMR_VSA3,136.64513219718356,209
GATS2i,135.97778152290266,210
GATS7i,135.9590530139394,211
ETA_shape_x,135.13364751590416,212
GATS6d,134.38276651501656,213
SdssC,134.31749465828761,214
Xp-6dv,134.26215510303155,215
AXp-6d,134.26087469002232,216
MATS4s,133.69913713238202,217
ATSC7d,133.0358311822638,218
ATSC8Z,132.3366457798984,219
GATS1c,131.82186690275557,220
BIC3,131.56699068075977,221
Xp-1dv,131.40607705293223,222
JGI8,131.38649044954218,223
GATS6se,131.03171171201393,224
MINsssCH,130.54276206123177,225
ATSC2d,130.51141395466402,226
JGI5,130.19897761079483,227
GATS5s,129.9735306786606,228
AATSC1se,129.15849126502872,229
pae_protein_ligand_max,129.0171362545807,230
ATSC4i,127.89213068387471,231
EState_VSA4,127.88810636522248,232
ATSC0p,127.68132383446209,233
ATSC3d,127.55351756454911,234
plddt_protein_max,127.52136762568261,235
AATS7s,127.12338017811999,236
SpDiam_A,126.77404187759385,237
SsCH3,126.23946785740554,238
MATS2dv,125.93598249577917,239
ATSC2i,125.75757293729112,240
piPC9,125.72386222379282,241
pde_pocket_ligand_max,125.00739999662619,242
AXp-2dv,124.77249516174197,243
pae_pocket_ligand_std,124.3747870902298,244
ATS3Z,124.00153086008504,245
BCUTc-1l,123.9929736899212,246
ETA_shape_y,123.83099827030674,247
ECIndex,123.79699314711615,248
ATS6i,122.6181062781252,249
JGI6,122.36425995640457,250
MINaaN,122.10394963377621,251
GATS3s,121.9652495032642,252
MINaaNH,121.24786612670869,253
plddt_res299,121.24233789090067,254
ATSC4s,121.05269477865659,255
complex_pde,121.01087916805409,256
EState_VSA9,120.87164002540521,257
GATS7p,120.44479899085127,258
MATS2d,120.23420004465152,259
nHRing,120.10985831869766,260
BCUTm-1l,119.56713602831587,261
ATSC8dv,119.3306837384589,262
ATSC6d,118.73946428345516,263
BCUTZ-1h,118.7058032345958,264
MDEC-13,118.46158903511241,265
ATS5p,118.40498909540474,266
ATS8i,118.34040013886988,267
AXp-1d,118.10330207552761,268
ATSC8p,117.82049828907475,269
MATS7i,117.66915061324835,270
SlogP_VSA10,117.59112461761106,271
GATS3se,116.51145325787365,272
RotRatio,116.45953362085856,273
ATSC2Z,116.42944547417574,274
ATSC1d,116.26045635691844,275
GATS6v,116.09468651760835,276
GATS7are,115.95780667860527,277
GATS2s,115.42440379806794,278
ensemble_diff_affinity,114.25291917193681,279
ATSC7i,112.8908467075089,280
MATS2se,112.4577048617648,281
C1SP2,112.22786479489878,282
CIC2,111.7554002070101,283
MDEC-11,110.71682780166157,284
ATS5dv,110.39547476242296,285
SaaN,110.18279337813146,286
VSA_EState8,110.08543203445151,287
VSA_EState4,110.07941155158915,288
AXp-0dv,110.05566386855207,289
SaaNH,109.79502087226138,290
ATSC1dv,109.76602308906149,291
ATSC2are,109.50354959908873,292
ATS4p,109.41768069658428,293
MDEC-23,109.25790640898049,294
AATS3i,109.18064016511198,295
AATSC4dv,108.84107570373453,296
GATS6Z,108.37468293786515,297
GATS7dv,108.04072199831717,298
TIC1,108.01257876306772,299
