label,n,pearson_main,spearman_main,pearson_m1,pearson_m2,pearson_m1m2_mean
all_train,4139,-0.5378994052919472,-0.49762875495829134,-0.4684512128665803,-0.5142172151655171,-0.5378994061319323
iptm>=0.75,4139,-0.5378994052919472,-0.49762875495829134,-0.4684512128665803,-0.5142172151655171,-0.5378994061319323
no_oversize,4130,-0.543456857030095,-0.5000129060138362,-0.47347569214506835,-0.5186920821845448,-0.5434568578031014
clean(iptm>=0.75+no_oversize+pocket<=5A),4122,-0.5464357739237444,-0.5014043781947395,-0.477352686775357,-0.5198411314421496,-0.5464357747277304
