feature,gain_sum,gain_mean
ATS8se,63.34104332327843,12.668208664655685
MATS4Z,63.238606467843056,12.647721293568612
MATS1d,63.20536965876818,12.641073931753635
AATS5pe,63.15780644118786,12.631561288237572
AXp-7dv,63.01078276708722,12.602156553417444
GATS5s,62.92339140176773,12.584678280353547
AATS5are,62.81615951284766,12.563231902569532
AATS6are,62.739361584186554,12.54787231683731
AATS7p,62.69360426813364,12.538720853626728
AATSC7d,62.561937004327774,12.512387400865554
SIC3,62.19879688695073,12.439759377390146
AATS2d,62.139659501612186,12.427931900322438
BCUTi-1l,61.99283154681325,12.39856630936265
ETA_epsilon_4,61.94981908798218,12.389963817596435
SMR_VSA1,61.94880545139313,12.389761090278625
ATS3s,61.90183333307505,12.380366666615009
AATSC4Z,61.848552115261555,12.369710423052311
ATS0p,61.848422944545746,12.369684588909148
GATS6m,61.752152007073164,12.350430401414632
SRW09,61.704212337732315,12.340842467546462
SdO,61.66111379861832,12.332222759723663
AATSC7i,61.23560634255409,12.247121268510819
ATS0v,61.2225758433342,12.24451516866684
AATS4p,61.13131673634052,12.226263347268105
Xpc-4d,61.03293064981699,12.206586129963398
ATS0dv,60.994479421526194,12.198895884305239
GATS2are,60.96044420823455,12.19208884164691
AATSC5pe,60.80131198465824,12.160262396931648
AATSC4are,60.67731159180403,12.135462318360805
GATS4Z,60.66172405332327,12.132344810664653
AXp-2d,60.50733931362629,12.101467862725258
AATS3pe,60.46723149716854,12.093446299433708
GATS8pe,60.39098656177521,12.07819731235504
AATSC0i,60.35870073363185,12.07174014672637
AATS3se,60.21766263246536,12.043532526493072
AETA_beta_ns,60.196455113589764,12.039291022717952
SssO,60.12701154127717,12.025402308255433
VR1_A,59.935753636062145,11.987150727212429
MATS3Z,59.8199114985764,11.96398229971528
Xp-1dv,59.62128238379955,11.924256476759911
AXp-6dv,59.20332909375429,11.840665818750859
ATSC5m,59.19971087574959,11.839942175149918
ATSC4are,59.19843336567283,11.839686673134565
MAXsssCH,59.18151788786054,11.836303577572107
AXp-3dv,59.14251168817282,11.828502337634564
AATSC7pe,59.02233178541064,11.804466357082129
MATS6Z,58.911334585398436,11.782266917079687
MDEO-12,58.82836722582579,11.765673445165158
ATSC3Z,58.746945939958096,11.74938918799162
SMR_VSA4,58.654022600501776,11.730804520100355
AATSC3p,58.580025624483824,11.716005124896764
ATS3i,58.51030181348324,11.702060362696647
MATS4are,58.44348907470703,11.688697814941406
SIC5,58.32277376204729,11.664554752409458
BCUTZ-1h,58.282801911234856,11.65656038224697
MDEC-22,58.062629733234644,11.61252594664693
SRW10,57.92649196833372,11.585298393666744
MDEN-33,57.84966980665922,11.569933961331845
ATSC5Z,57.64857729524374,11.529715459048749
ATSC1m,57.624506913125515,11.524901382625103
GATS3v,57.18676985800266,11.437353971600533
BCUTdv-1l,57.115978844463825,11.423195768892764
AATSC1Z,56.828949980437756,11.365789996087551
MATS6s,56.74241226166487,11.348482452332973
AATSC2se,56.45270359516144,11.290540719032288
AATSC4se,56.32710922509432,11.265421845018864
AATS8Z,56.23513397574425,11.24702679514885
ATSC8se,56.1981703042984,11.23963406085968
ATSC8pe,56.169083561748266,11.233816712349654
ATS0Z,56.15110923349857,11.230221846699715
VE2_A,56.08275490626693,11.216550981253386
ATSC3m,55.98719737306237,11.197439474612475
MATS7pe,55.93181202933192,11.186362405866385
AATS8pe,55.91364872083068,11.182729744166135
VR2_Dzp,55.840160220861435,11.168032044172287
BIC0,55.81102269887924,11.162204539775848
AATS5Z,55.77106600254774,11.154213200509549
ATS1s,55.66882385313511,11.133764770627021
mZagreb1,55.61734304577112,11.123468609154225
ATS3m,55.44433452934027,11.088866905868054
GATS5p,55.39830481261015,11.07966096252203
MATS5se,55.289442636072636,11.057888527214526
AATS7v,55.27880998328328,11.055761996656656
AETA_eta_B,55.03701087832451,11.007402175664902
GATS1dv,54.88438546285033,10.976877092570067
