slice,model,n_true,mae_true,mae_false,mean_residual_true,mean_residual_false,ensemble_mae_true,ensemble_mae_false,ensemble_mean_residual_true,delta_true_mae_vs_ensemble,delta_false_mae_vs_ensemble
no_aux,ensemble,1294,0.45924323769989345,0.36507413633906616,-0.09573652434743576,0.025762498259169625,0.45924323769989345,0.36507413633906616,-0.09573652434743576,0.0,0.0
no_aux,cheme_seed10_top500,1294,0.4761004248258733,0.3606826737625701,-0.06397323376501839,0.022421311497772073,0.45924323769989345,0.36507413633906616,-0.09573652434743576,0.016857187125979833,-0.00439146257649603
no_aux,cheme_seed10_default,1294,0.47328723346358365,0.3748083678719366,-0.10080584275003487,0.024787059724959204,0.45924323769989345,0.36507413633906616,-0.09573652434743576,0.014043995763690198,0.009734231532870452
no_aux,chemprop_family_meta,1294,0.464849098282587,0.3670208712354648,-0.09333144836250913,0.024227394533816365,0.45924323769989345,0.36507413633906616,-0.09573652434743576,0.005605860582693578,0.0019467348963986275
no_aux,mordred_singleconc,1294,0.5306847139450501,0.37707986950829275,-0.0590708113234966,0.02106935499329395,0.45924323769989345,0.36507413633906616,-0.09573652434743576,0.07144147624515668,0.012005733169226596
no_aux,chemprop_embed,1294,0.4862400916529262,0.4149866941456048,-0.12406889368134928,0.03012702317951602,0.45924323769989345,0.36507413633906616,-0.09573652434743576,0.02699685395303275,0.04991255780653864
no_aux,kermt_embed,1294,0.49497570821749265,0.42741936814005915,-0.13494982697568977,0.03381070859819253,0.45924323769989345,0.36507413633906616,-0.09573652434743576,0.0357324705175992,0.062345231800992995
no_aux,molformer_c3_embed,1294,0.5164269962093421,0.4565756727320497,-0.09657470045244047,0.05048403425276992,0.45924323769989345,0.36507413633906616,-0.09573652434743576,0.05718375850944862,0.09150153639298353
no_aux,gatedgcn_embed,1294,0.5088909455734988,0.45814231393710875,-0.19934369040308925,0.0437258109892244,0.45924323769989345,0.36507413633906616,-0.09573652434743576,0.04964770787360534,0.09306817759804259
no_aux,attentivefp_embed,1294,0.5293448358241749,0.46392316955290286,-0.1890083397031707,0.06015404033392815,0.45924323769989345,0.36507413633906616,-0.09573652434743576,0.07010159812428146,0.0988490332138367
no_aux,boltz_allpairs,1294,0.5231749909639034,0.4691096507673605,-0.18516581803126828,0.04606604599902434,0.45924323769989345,0.36507413633906616,-0.09573652434743576,0.06393175326400996,0.10403551442829434
no_aux,boltz_core,1294,0.5230241526013407,0.4692715551010422,-0.1786729936094844,0.041781314882022434,0.45924323769989345,0.36507413633906616,-0.09573652434743576,0.06378091490144727,0.10419741876197602
has_counter,ensemble,2648,0.3660937228136437,0.44493670482179326,0.027783254368656876,-0.08319909519315584,0.3660937228136437,0.44493670482179326,0.027783254368656876,0.0,0.0
has_counter,cheme_seed10_top500,2648,0.36226730270328117,0.4579711941653257,0.026814359934308384,-0.06030478356254899,0.3660937228136437,0.44493670482179326,0.027783254368656876,-0.0038264201103625495,0.013034489343532463
has_counter,cheme_seed10_default,2648,0.37495269292791084,0.4599621743916225,0.026344083068594117,-0.08690209149259281,0.3660937228136437,0.44493670482179326,0.027783254368656876,0.008858970114267117,0.015025469569829253
has_counter,chemprop_family_meta,2648,0.36824510556933626,0.449693762175736,0.026907606118875448,-0.0824873125607424,0.3660937228136437,0.44493670482179326,0.027783254368656876,0.0021513827556925436,0.0047570573539427174
has_counter,mordred_singleconc,2648,0.38108401536883735,0.5031936030622082,0.028648710657064147,-0.06188742048364337,0.3660937228136437,0.44493670482179326,0.027783254368656876,0.01499029255519363,0.05825689824041491
has_counter,chemprop_embed,2648,0.41712364562688636,0.47299155262552445,0.03301475723704543,-0.10873104398020088,0.3660937228136437,0.44493670482179326,0.027783254368656876,0.051029922813242645,0.028054847803731187
has_counter,kermt_embed,2648,0.4280194340731802,0.48494546027765584,0.03454242140144741,-0.11385263492434272,0.3660937228136437,0.44493670482179326,0.027783254368656876,0.0619257112595365,0.04000875545586258
has_counter,molformer_c3_embed,2648,0.45812661526786597,0.5057316491025421,0.049807308505308956,-0.0758578108740837,0.3660937228136437,0.44493670482179326,0.027783254368656876,0.09203289245422225,0.06079494428074883
has_counter,gatedgcn_embed,2648,0.4599848831564278,0.49888601772044106,0.04209774815784121,-0.16419699358460346,0.3660937228136437,0.44493670482179326,0.027783254368656876,0.09389116034278411,0.053949312898647794
has_counter,attentivefp_embed,2648,0.46568518681828713,0.5175356457166352,0.05806945243991034,-0.1522428303260228,0.3660937228136437,0.44493670482179326,0.027783254368656876,0.09959146400464342,0.07259894089484198
has_counter,boltz_allpairs,2648,0.46877086934006107,0.5166013688865398,0.042191784929292805,-0.14760351750134398,0.3660937228136437,0.44493670482179326,0.027783254368656876,0.10267714652641735,0.07166466406474659
has_counter,boltz_core,2648,0.46905530260048606,0.5162745697034946,0.03734927858470791,-0.14155101961712033,0.3660937228136437,0.44493670482179326,0.027783254368656876,0.10296157978684234,0.07133786488170135
has_single_conc_hi,ensemble,2374,0.32878571271803736,0.48285643239638926,0.04568281641146778,-0.09004190182378802,0.32878571271803736,0.48285643239638926,0.04568281641146778,0.0,0.0
has_single_conc_hi,cheme_seed10_top500,2374,0.3238472115621912,0.49476985221082254,0.03700174526497408,-0.06048270397979782,0.32878571271803736,0.48285643239638926,0.04568281641146778,-0.004938501155846153,0.01191341981443328
has_single_conc_hi,cheme_seed10_default,2374,0.33850739750223396,0.4957654209485308,0.04537055434553987,-0.09490854165210809,0.32878571271803736,0.48285643239638926,0.04568281641146778,0.009721684784196605,0.012908988552141565
has_single_conc_hi,chemprop_family_meta,2374,0.3314395233246424,0.4865338076676667,0.04425083568276264,-0.08882854657345637,0.32878571271803736,0.48285643239638926,0.04568281641146778,0.0026538106066050227,0.0036773752712774277
has_single_conc_hi,mordred_singleconc,2374,0.2855458297291741,0.6126781023150831,-0.0064177306797822435,-0.0007013323374218521,0.32878571271803736,0.48285643239638926,0.04568281641146778,-0.043239882988863276,0.12982166991869387
has_single_conc_hi,chemprop_embed,2374,0.37820625818569115,0.5166393846004795,0.05636424663193405,-0.11812704527688268,0.32878571271803736,0.48285643239638926,0.04568281641146778,0.04942054546765379,0.03378295220409028
has_single_conc_hi,kermt_embed,2374,0.3908668938221405,0.5260566717023115,0.0535989838923942,-0.11644608561530603,0.32878571271803736,0.48285643239638926,0.04568281641146778,0.062081181104103156,0.04320023930592226
has_single_conc_hi,molformer_c3_embed,2374,0.41675309927200405,0.5539632163185528,0.08641028272071202,-0.10556518237884775,0.32878571271803736,0.48285643239638926,0.04568281641146778,0.08796738655396669,0.07110678392216357
has_single_conc_hi,gatedgcn_embed,2374,0.4194885872549235,0.5472887898606628,0.07088150691262995,-0.17088322464147698,0.32878571271803736,0.48285643239638926,0.04568281641146778,0.09070287453688614,0.0644323574642735
has_single_conc_hi,attentivefp_embed,2374,0.42006757007091106,0.5708137863848817,0.09257884222816397,-0.16600258450464592,0.32878571271803736,0.48285643239638926,0.04568281641146778,0.0912818573528737,0.08795735398849241
has_single_conc_hi,boltz_allpairs,2374,0.4247103430226558,0.5684100509940058,0.08370623691401366,-0.17396331146835012,0.32878571271803736,0.48285643239638926,0.04568281641146778,0.09592463030461845,0.08555361859761651
has_single_conc_hi,boltz_core,2374,0.4260270010611543,0.5667904862766254,0.08227337308962406,-0.17418472213544986,0.32878571271803736,0.48285643239638926,0.04568281641146778,0.09724128834311696,0.08393405388023617
has_single_conc_lo,ensemble,2321,0.31517660653511925,0.49573218132854996,0.05627657573659744,-0.09960468650061999,0.31517660653511925,0.49573218132854996,0.05627657573659744,0.0,0.0
has_single_conc_lo,cheme_seed10_top500,2321,0.31136998787567255,0.5057103339161728,0.04469211852021487,-0.06745504071176098,0.31517660653511925,0.49573218132854996,0.05627657573659744,-0.0038066186594467033,0.009978152587622857
has_single_conc_lo,cheme_seed10_default,2321,0.3251308977578232,0.5082515015775158,0.05540125972594953,-0.10362018271865864,0.31517660653511925,0.49573218132854996,0.05627657573659744,0.00995429122270397,0.012519320248965793
has_single_conc_lo,chemprop_family_meta,2321,0.3179422327439093,0.49923705910675475,0.0538866882222866,-0.09724614222197507,0.31517660653511925,0.49573218132854996,0.05627657573659744,0.002765626208790062,0.0035048777782047957
has_single_conc_lo,mordred_singleconc,2321,0.2726171567236711,0.6196431598185022,0.0010189568584721821,-0.010356923809897734,0.31517660653511925,0.49573218132854996,0.05627657573659744,-0.04255944981144816,0.1239109784899522
has_single_conc_lo,chemprop_embed,2321,0.3628174905846829,0.5322415692634573,0.06864316977698555,-0.1287105208945282,0.31517660653511925,0.49573218132854996,0.05627657573659744,0.047640884049563625,0.03650938793490738
has_single_conc_lo,kermt_embed,2321,0.3741355189800468,0.5434664918127295,0.07018414167842182,-0.1326537615567365,0.31517660653511925,0.49573218132854996,0.05627657573659744,0.05895891244492757,0.04773431048417959
has_single_conc_lo,molformer_c3_embed,2321,0.400640189332317,0.5705250237767973,0.10316632435579641,-0.1213519184892129,0.31517660653511925,0.49573218132854996,0.05627657573659744,0.08546358279719773,0.0747928424482473
has_single_conc_lo,gatedgcn_embed,2321,0.40164454609707784,0.5663336545056631,0.09329528639718203,-0.19243839309187705,0.31517660653511925,0.49573218132854996,0.05627657573659744,0.08646793956195858,0.07060147317711313
has_single_conc_lo,attentivefp_embed,2321,0.4036233890185013,0.587403887956076,0.11460225701897067,-0.1865696708777209,0.31517660653511925,0.49573218132854996,0.05627657573659744,0.08844678248338206,0.09167170662752605
has_single_conc_lo,boltz_allpairs,2321,0.4065784947782794,0.5873588884061642,0.10553436044679024,-0.19430778021783288,0.31517660653511925,0.49573218132854996,0.05627657573659744,0.09140188824316015,0.09162670707761428
has_single_conc_lo,boltz_core,2321,0.4069966067388519,0.5869713991439394,0.10505530109594527,-0.19578152029693563,0.31517660653511925,0.49573218132854996,0.05627657573659744,0.09182000020373265,0.0912392178153894
near_potent46_t03,ensemble,223,0.49329470266405867,0.38888359022480445,0.24314772458312958,-0.026751323727858815,0.49329470266405867,0.38888359022480445,0.24314772458312958,0.0,0.0
