id,submission_name,file_path,lb_mae,lb_delta_mae_vs_base,lb_spearman,mean_abs_delta_vs_base,p90_abs_delta_vs_base,max_abs_delta_vs_base,pearson_delta,spearman_delta,projection_on_id_delta,id_projection_on_candidate
1,ens_l2_a0.05,track1_activity/submissions/ens_l2_a0.05.csv,0.5017546613967405,0.09436594251441471,0.798821169900953,0.09757390390483602,0.18740649005433424,0.4437942520629017,-0.17328297619378702,-0.16314430824037227,-0.044662144974494354,-4.186469851575324
2,ens_l2_a0.1,track1_activity/submissions/ens_l2_a0.1.csv,0.498861930443137,0.09147321156081117,0.7996684045635579,0.0961597271703261,0.1775521590099283,0.39612867985301037,-0.3420764508761911,-0.3924303149789029,-0.060139683099736226,-5.222676187282134
3,ens_vanilla,track1_activity/submissions/ens_vanilla.csv,0.498861930443137,0.09147321156081117,0.7996684045635579,0.12037259564102783,0.24034035861621722,0.5893839262201417,0.10806037130488959,0.14062178405665055,-0.013060618434689681,-2.037918233008521
4,lgbm_mordred_jazzy_analog,track1_activity/submissions/lgbm_mordred_jazzy_analog.csv,0.5800392896586687,0.17265057077634288,0.7193447388792682,0.3628044385406493,0.7318094318471314,1.6345980340700592,-0.40867394397847023,-0.46423397983297665,-0.012913170229382081,-17.6987688956082
6,lgbm_mordred_jazzy_umap,track1_activity/submissions/lgbm_mordred_jazzy_umap.csv,0.5736643023301617,0.16627558344783594,0.7229895218061783,0.3584732547265071,0.7015174147713851,1.8199440264287325,-0.4415519647432827,-0.49856939910682646,-0.014055901613543248,-18.22016342571913
7,ens_vanilla,track1_activity/submissions/ens_vanilla.csv,0.4936105473025923,0.08622182842026649,0.7979931247136082,0.12037259564102783,0.24034035861621722,0.5893839262201417,0.10806037130488959,0.14062178405665055,-0.013060618434689681,-2.037918233008521
9,ens_l2_a0.1,track1_activity/submissions/ens_l2_a0.1.csv,0.4958329809469373,0.08844426206461148,0.7957622607252768,0.0961597271703261,0.1775521590099283,0.39612867985301037,-0.3420764508761911,-0.3924303149789029,-0.060139683099736226,-5.222676187282134
10,ens_vanilla,track1_activity/submissions/ens_vanilla.csv,0.4772064783754661,0.06981775949314029,0.8089696428128891,0.12037259564102783,0.24034035861621722,0.5893839262201417,0.10806037130488959,0.14062178405665055,-0.013060618434689681,-2.037918233008521
11,ens_vanilla,track1_activity/submissions/ens_vanilla.csv,0.478321277597625,0.07093255871529919,0.8134498979117806,0.12037259564102783,0.24034035861621722,0.5893839262201417,0.10806037130488959,0.14062178405665055,-0.013060618434689681,-2.037918233008521
12,tabpfn_2d_full_boltz_umap,track1_activity/submissions/tabpfn_2d_full_boltz_umap.csv,0.4901986309079051,0.0828099120255793,0.7906625549149933,0.2524295769678317,0.5277637319973945,1.525204787201981,-0.4864960130763036,-0.59602620641566,-0.013986617677840697,-10.485520978741908
13,ens_caruana_bag20,track1_activity/submissions/ens_caruana_bag20.csv,0.4414270025507814,0.03403828366845557,0.841062907843744,0.09528133443023083,0.17402660119656713,0.41585361925503417,-0.32478589817550335,-0.36284818505087796,-0.05977074318013508,-5.032260780393783
14,ens_caruana_bag20,track1_activity/submissions/ens_caruana_bag20.csv,0.4430377590818476,0.03564904019952181,0.8393054268991101,0.09528133443023083,0.17402660119656713,0.41585361925503417,-0.32478589817550335,-0.36284818505087796,-0.05977074318013508,-5.032260780393783
15,ens_caruana_bag20,track1_activity/submissions/ens_caruana_bag20.csv,0.4423088470924464,0.03492012821012058,0.8411616613605644,0.09528133443023083,0.17402660119656713,0.41585361925503417,-0.32478589817550335,-0.36284818505087796,-0.05977074318013508,-5.032260780393783
16,ens_caruana_bag20_calibrated_best,track1_activity/submissions/ens_caruana_bag20_calibrated_best.csv,0.4357788073667819,0.028390088484456066,0.8411616613605644,0.07568288412843573,0.14745509500396495,0.3953618985687921,-0.07224878776320447,-0.04708672938189528,-0.051384926602585465,-3.025522915209936
17,ens_caruana_bag20_calibrated_best,track1_activity/submissions/ens_caruana_bag20_calibrated_best.csv,0.4318297602126632,0.02444104133033742,0.8460954561065689,0.07568288412843573,0.14745509500396495,0.3953618985687921,-0.07224878776320447,-0.04708672938189528,-0.051384926602585465,-3.025522915209936
18,ens_caruana_bag20_calibrated_best,track1_activity/submissions/ens_caruana_bag20_calibrated_best.csv,0.4244185733497787,0.01702985446745292,0.8480553528820581,0.07568288412843573,0.14745509500396495,0.3953618985687921,-0.07224878776320447,-0.04708672938189528,-0.051384926602585465,-3.025522915209936
19,ens_caruana_bag20_calibrated_importance,track1_activity/submissions/ens_caruana_bag20_calibrated_importance.csv,0.4154008268960474,0.008012108013721597,0.8464345164717298,0.05583923930289955,0.11693005860951225,0.4242923904869107,0.1741355352865449,0.26430098412172587,0.017926859352596365,0.6849189658661788
