set,prediction,n,mae,bias_pred_minus_chembl,pearson,spearman,pred_mean,chembl_mean
exact_train_overlap_12,pec50,12,0.6476204819277108,-0.17928714859437753,0.7779699931981637,0.9702291586486097,4.993212851405622,5.172500000000001
exact_train_overlap_12,raw_current_oof,12,0.8045569471344592,-0.4462730390527871,0.40856831348316336,0.6479869832129704,4.726226960947213,5.172500000000001
exact_train_overlap_12,calibrated_best_oof,12,0.8279747203324715,-0.4424683293816027,0.4080145124578938,0.6479869832129704,4.730031670618397,5.172500000000001
train_external_nn_ge_0.25,pec50,790,1.2460651212444716,-1.0446980326368767,0.07051936790998874,0.15585748251377676,4.403922220527681,5.448620253164557
train_external_nn_ge_0.25,raw_current_oof,790,1.1495911858363688,-1.0321520338872732,0.07490646566445386,0.19789724840687375,4.4164682192772835,5.448620253164557
train_external_nn_ge_0.25,calibrated_best_oof,790,1.1670956173987304,-1.0411066319397047,0.07454788069199676,0.19743711090010038,4.407513621224853,5.448620253164557
train_external_nn_ge_0.30,pec50,161,1.409015191199581,-1.2215617750505126,0.12153536740948274,0.2391221419820084,4.263189777744518,5.484751552795031
train_external_nn_ge_0.30,raw_current_oof,161,1.2896657979832706,-1.210492038053087,0.11796791812307546,0.2637761780218366,4.274259514741945,5.484751552795031
train_external_nn_ge_0.30,calibrated_best_oof,161,1.3104863386923946,-1.2264216749635182,0.11720585920348096,0.2629414614985576,4.258329877831513,5.484751552795031
train_external_nn_ge_0.35,pec50,55,1.6200262869660458,-1.382208105147864,-0.020407829002877232,0.1399925622220098,4.196610076670318,5.578818181818183
train_external_nn_ge_0.35,raw_current_oof,55,1.5154958595800267,-1.4140198616367041,-0.056935403177419186,0.109112055676618,4.164798320181478,5.578818181818183
train_external_nn_ge_0.35,calibrated_best_oof,55,1.5430925204616752,-1.436848631644655,-0.058416152767650206,0.11330311476883245,4.141969550173528,5.578818181818183
