candidate,anchor,threshold,n,pred_mean,external_mean,pred_external_spearman,pred_external_pearson,direct_mae_to_external,centered_mae_to_external,direct_mae_delta_vs_anchor,centered_mae_delta_vs_anchor,mean_shift_vs_anchor,mean_abs_shift_vs_anchor,alignment_dot_vs_anchor
id55_soft_g35,id57_soft_g50,0.0,513,4.798350316561087,5.527962946752359,0.15389730253885972,0.1522688050816355,0.9543044932059819,0.8147910809617706,-0.0008716855038272131,-0.0017914261507882001,-0.00045988601797096766,0.005641946918311075,0.0024481148423647625
id55_soft_g35,id57_soft_g50,0.2,414,4.81005643470057,5.553599010919028,0.19696583823921796,0.1794779208529825,0.9564847655227136,0.8097521197944152,-0.000803581517368368,-0.0019418115204034025,1.5929494086910282e-06,0.005809738913339444,0.0029013575541534152
id55_soft_g35,id57_soft_g50,0.25,121,4.805332502901469,5.638305750760165,0.23746941899895416,0.13746851057520915,0.9810007446121318,0.8235582697216955,0.0002573077168112059,-0.002687441449132244,-0.0005436755558411377,0.005487236915342875,0.002397693811849515
id55_soft_g35,id57_soft_g50,0.3,27,4.665745525322385,5.8640740006058305,0.23357814543830718,0.056948860315276066,1.2190838428054716,1.0030139547279442,-0.0008308909452565683,-0.0015002653486353434,0.0008308909452566093,0.0018796380345597915,0.002442383942850338
id55_soft_g35,id57_soft_g50,0.35,4,3.676443011378386,5.079999923706055,0.316227766016838,0.6018533290842711,1.403556912327669,0.34807517019985457,0.0,0.0,0.0,0.0,0.0
id57_soft_g50,id57_soft_g50,0.0,513,4.798810202579057,5.527962946752359,0.15415157212824718,0.15162147442886642,0.9551761787098091,0.8165825071125588,0.0,0.0,0.0,0.0,0.0
id57_soft_g50,id57_soft_g50,0.2,414,4.810054841751161,5.553599010919028,0.19663431854924274,0.1786401682021879,0.9572883470400819,0.8116939313148186,0.0,0.0,0.0,0.0,0.0
id57_soft_g50,id57_soft_g50,0.25,121,4.80587617845731,5.638305750760165,0.23984323148716238,0.13640879972852027,0.9807434368953206,0.8262457111708278,0.0,0.0,0.0,0.0,0.0
id57_soft_g50,id57_soft_g50,0.3,27,4.664914634377128,5.8640740006058305,0.23357814543830718,0.0567994563874839,1.2199147337507281,1.0045142200765795,0.0,0.0,0.0,0.0,0.0
id57_soft_g50,id57_soft_g50,0.35,4,3.676443011378386,5.079999923706055,0.316227766016838,0.6018533290842711,1.403556912327669,0.34807517019985457,0.0,0.0,0.0,0.0,0.0
id58_combo_rank1,id57_soft_g50,0.0,513,4.806665925733035,5.527962946752359,0.15350929577079114,0.15197446098758413,0.9526718487856473,0.8171236716923169,-0.00250432992416183,0.0005411645797581688,0.007855723153976413,0.012070610906772817,0.004871395025741703
id58_combo_rank1,id57_soft_g50,0.2,414,4.817950266509249,5.553599010919028,0.19617413301378342,0.17931239185989645,0.9544416309145576,0.8118427863458562,-0.00284671612552434,0.0001488550310375647,0.007895424758088448,0.012453086129131048,0.00562006343718868
id58_combo_rank1,id57_soft_g50,0.25,121,4.811144674200751,5.638305750760165,0.23742533390988746,0.13714605414639322,0.9780020291825393,0.826184716726192,-0.0027414077127813075,-6.099444463580905e-05,0.0052684957434409084,0.010477640859065442,0.004141078660946059
id58_combo_rank1,id57_soft_g50,0.3,27,4.669215249599044,5.8640740006058305,0.23733040480277795,0.05679942778528688,1.2166121549286684,1.0046160064928702,-0.003302578822059754,0.00010178641629066121,0.00430061522191581,0.004864678267896116,0.004312508299626832
id58_combo_rank1,id57_soft_g50,0.35,4,3.676443011378386,5.079999923706055,0.316227766016838,0.6018533290842711,1.403556912327669,0.34807517019985457,0.0,0.0,0.0,0.0,0.0
log2fc_gate_optuna_q60_g50,id57_soft_g50,0.0,513,4.8034889406366394,5.527962946752359,0.1522601780729697,0.1515481158842901,0.9538590264708757,0.8168763597839243,-0.0013171522389333612,0.0002938526713655021,0.00467873805758065,0.011118834281350116,0.002921444857410909
log2fc_gate_optuna_q60_g50,id57_soft_g50,0.2,414,4.814933327916307,5.553599010919028,0.19561658101668558,0.1793443002164728,0.9553027114860209,0.8113134618550255,-0.0019856355540610604,-0.0003804694597930869,0.004878486165146551,0.01172626493483201,0.004014811719105494
log2fc_gate_optuna_q60_g50,id57_soft_g50,0.25,121,4.807250311009442,5.638305750760165,0.23565514802582366,0.13640692381106126,0.9800587160943384,0.8247932568548898,-0.0006847208009822525,-0.00145245431593799,0.0013741325521327218,0.010323770507469663,0.0025395492340275177
log2fc_gate_optuna_q60_g50,id57_soft_g50,0.3,27,4.6685122467054185,5.8640740006058305,0.23733040480277795,0.05676496691892835,1.2163171214224382,1.0048584356499657,-0.003597612328289923,0.00034421557338615294,0.0035976123282894954,0.004380243722842888,0.0036745597360817073
log2fc_gate_optuna_q60_g50,id57_soft_g50,0.35,4,3.676443011378386,5.079999923706055,0.316227766016838,0.6018533290842711,1.403556912327669,0.34807517019985457,0.0,0.0,0.0,0.0,0.0
shap_numrings_pos_g50,id57_soft_g50,0.0,513,4.8077692075250065,5.527962946752359,0.1539450975744589,0.15233173354908208,0.9523420166307204,0.8175780232733305,-0.002834162079088709,0.0009955161607717589,0.00895900494594772,0.01176211962043131,0.005697711265689345
shap_numrings_pos_g50,id57_soft_g50,0.2,414,4.819068627748386,5.553599010919028,0.1968052808593831,0.1794781405513061,0.954315892542499,0.8125957890748725,-0.002972454497582877,0.0009018577600539146,0.009013785997225392,0.011802327922475672,0.006300338405020087
shap_numrings_pos_g50,id57_soft_g50,0.25,121,4.813376272670585,5.638305750760165,0.23986357845134704,0.13828047099694984,0.9772522019543933,0.8271260181975711,-0.0034912349409272903,0.0008803070267433544,0.007500094213275446,0.00988023757346294,0.005155069768363759
shap_numrings_pos_g50,id57_soft_g50,0.3,27,4.669645414899875,5.8640740006058305,0.23733040480277795,0.05687066889032732,1.21660971951349,1.0045980271802992,-0.0033050142372381686,8.38071037196908e-05,0.004730780522746681,0.004730780522746681,0.004675411064769868
shap_numrings_pos_g50,id57_soft_g50,0.35,4,3.676443011378386,5.079999923706055,0.316227766016838,0.6018533290842711,1.403556912327669,0.34807517019985457,0.0,0.0,0.0,0.0,0.0
combo_rank2_numrings,id57_soft_g50,0.0,513,4.8077692075250065,5.527962946752359,0.1539450975744589,0.15233173354908208,0.9523420166307204,0.8175780232733305,-0.002834162079088709,0.0009955161607717589,0.00895900494594772,0.01176211962043131,0.005697711265689345
combo_rank2_numrings,id57_soft_g50,0.2,414,4.819068627748386,5.553599010919028,0.1968052808593831,0.1794781405513061,0.954315892542499,0.8125957890748725,-0.002972454497582877,0.0009018577600539146,0.009013785997225392,0.011802327922475672,0.006300338405020087
combo_rank2_numrings,id57_soft_g50,0.25,121,4.813376272670585,5.638305750760165,0.23986357845134704,0.13828047099694984,0.9772522019543933,0.8271260181975711,-0.0034912349409272903,0.0008803070267433544,0.007500094213275446,0.00988023757346294,0.005155069768363759
combo_rank2_numrings,id57_soft_g50,0.3,27,4.669645414899875,5.8640740006058305,0.23733040480277795,0.05687066889032732,1.21660971951349,1.0045980271802992,-0.0033050142372381686,8.38071037196908e-05,0.004730780522746681,0.004730780522746681,0.004675411064769868
combo_rank2_numrings,id57_soft_g50,0.35,4,3.676443011378386,5.079999923706055,0.316227766016838,0.6018533290842711,1.403556912327669,0.34807517019985457,0.0,0.0,0.0,0.0,0.0
combo_rank3_familygap,id57_soft_g50,0.0,513,4.806638494630377,5.527962946752359,0.15464419444865515,0.1529218582510518,0.9530147084428696,0.8171173445828048,-0.002161470266939469,0.0005348374702460745,0.007828292051319295,0.013014976120483964,0.004584623159501228
combo_rank3_familygap,id57_soft_g50,0.2,414,4.817330969642736,5.553599010919028,0.1965694357724602,0.17995961298960292,0.9551929357418063,0.8122408076063862,-0.002095411298275618,0.0005468762915675773,0.0072761278915751395,0.012897460852388416,0.004558021170393109
combo_rank3_familygap,id57_soft_g50,0.25,121,4.809664696061387,5.638305750760165,0.23836468542307843,0.13746274986582444,0.979180860952752,0.8269854948041023,-0.0015625759425685892,0.0007397836332745378,0.0037885176040776372,0.009865120544185734,0.0024857453462102472
combo_rank3_familygap,id57_soft_g50,0.3,27,4.669216297722499,5.8640740006058305,0.23733040480277795,0.05651784616761645,1.2169595523306929,1.0047034390411125,-0.0029551814200352577,0.0001892189645329445,0.004301663345370373,0.005345349952097694,0.004076255232573908
combo_rank3_familygap,id57_soft_g50,0.35,4,3.676443011378386,5.079999923706055,0.316227766016838,0.6018533290842711,1.403556912327669,0.34807517019985457,0.0,0.0,0.0,0.0,0.0
