inchikey,smiles,mol_chembl_id,chembl_pxr_pchembl,n_chembl_pxr_rows,assays,overlaps_challenge_exact
JKDLCYSLZMUDPS-UHFFFAOYSA-N,COc1ccc(Cl)cc1-n1nnc(S(=O)(=O)c2ccc(C(C)(C)C)cc2)c1N,CHEMBL4871664,6.96,1,CHEMBL4834541,False
JQRLHKYSZJBRMY-UHFFFAOYSA-N,Cc1ccccc1COC(c1ccc(C2(S(=O)(=O)c3ccc(F)cc3)CCCC2)cc1)(C(F)(F)F)C(F)(F)F,CHEMBL4742212,5.63,1,CHEMBL4701268,False
JQXXHWHPUNPDRT-WLSIYKJHSA-N,CO[C@H]1/C=C/O[C@@]2(C)Oc3c(C)c(O)c4c(O)c(c(/C=N/N5CCN(C)CC5)c(O)c4c3C2=O)NC(=O)/C(C)=C\C=C\[C@H](C)[C@H](O)[C@@H](C)[C@@H](O)[C@@H](C)[C@H](OC(C)=O)[C@@H]1C,CHEMBL374478,5.48,4,"CHEMBL1914234,CHEMBL3531531,CHEMBL3531532,CHEMBL4834541",True
JVGBTTIJPBFLTE-UHFFFAOYSA-N,O=C1NCN(c2ccccc2)C12CCN(CC1COc3ccccc3O1)CC2,CHEMBL300555,4.575,2,"CHEMBL3531531,CHEMBL3531532",False
JWKPMQOUHKVOGB-OAHLLOKOSA-N,Cc1ccc(-c2cc(C(=O)N[C@H](C)c3ccc(C(F)(F)F)nc3)cc(C(C)(C)O)c2)nc1,CHEMBL4227222,4.75,1,CHEMBL4222599,False
KBCDUZMEWHIYNA-UHFFFAOYSA-N,O=C(N(CC12CCC(c3nc(C4CC4)no3)(CC1)CC2)c1cccc(-c2nc(C3CC3)no2)c1)C12CC(F)(C1)C2,CHEMBL5180682,6.0,1,CHEMBL5148492,False
KBDBIOMGAWEQRR-UHFFFAOYSA-N,NC(=O)CC1CN(S(=O)(=O)c2ccc(F)cc2)c2ccc(C(O)(C(F)(F)F)C(F)(F)F)cc2S1,CHEMBL4213493,6.72,1,CHEMBL4182854,False
KCWQOCLBLVNNLJ-UHFFFAOYSA-N,CNC(=O)c1c(-c2ccc(F)cc2)oc2ccc(-c3cc(C(=O)NC4(c5ccccn5)CC4)ccc3C)cc12,CHEMBL4078188,5.8,1,CHEMBL4015597,False
KHXBULXCCPIELT-MIMPSMLTSA-N,O=C1/C(=C\c2cccs2)CCC/C1=C/c1cccs1,CHEMBL1702784,4.95,1,CHEMBL3531531,False
KIYBJKHIYOZLEC-CABCVRRESA-N,Cc1c(Cl)nc(OC[C@H]2C[C@@H]2c2ccccn2)nc1NCc1cnn(C)c1,CHEMBL3665949,5.234999999999999,2,"CHEMBL3750579,CHEMBL5318427",False
