split,n,exact_after_exclusion,nn_ge_0.25,nn_ge_0.30,nn_ge_0.35,nn_ge_0.40,nn_max,nn_median
train,4140,0,790,161,55,36,1.0,0.2153846174478531
test,513,0,121,27,4,0,0.39393940567970276,0.2222222238779068
