feature,src,gain,gain_frac,cum_gain,split
mordred:MATS7dv,mordred,24.73103541135788,0.0005918240775100206,0.8245470107503942,6
mordred:MATS6m,mordred,24.725727140903473,0.0005916970483657651,0.82513870779876,4
mordred:AMID_C,mordred,24.69401690363884,0.0005909382090529499,0.825729646007813,12
mordred:SpMAD_Dt,mordred,24.681768029928207,0.0005906450883540486,0.826320291096167,15
mordred:ATSC5p,mordred,24.502122193574905,0.00058634608794384,0.8269066371841108,9
mordred:n6HRing,mordred,24.469705790281296,0.000585570349780988,0.8274922075338919,5
mordred:JGI2,mordred,24.446297347545624,0.0005850101759023957,0.8280772177097943,12
mordred:BIC2,mordred,24.389068961143494,0.0005836406765495997,0.8286608583863438,12
mordred:MAXaaNH,mordred,24.305863946676254,0.0005816495455632818,0.8292425079319071,12
mordred:AATS1i,mordred,24.283938348293304,0.0005811248567736291,0.8298236327886808,8
mordred:GATS1c,mordred,24.283532977104187,0.0005811151560706032,0.8304047479447514,14
mordred:GATS1s,mordred,24.205178916454315,0.0005792401104491012,0.8309839880552005,15
mordred:Xch-7dv,mordred,23.998999401926994,0.0005743061479620088,0.8315582942031625,13
mordred:AETA_eta,mordred,23.976252257823944,0.0005737617992377903,0.8321320560024003,4
mordred:ATSC7m,mordred,23.73934867978096,0.00056809259699041,0.8327001485993907,7
mordred:Xpc-6d,mordred,23.72216010093689,0.0005676812670703764,0.8332678298664611,6
mordred:ATSC8c,mordred,23.64601492881775,0.0005658590810803166,0.8338336889475414,10
mordred:SlogP_VSA6,mordred,23.55386283993721,0.0005636538428407845,0.8343973427903821,8
mordred:SdCH2,mordred,23.292289972305298,0.0005573942941193909,0.8349547370845015,7
mordred:VE2_A,mordred,22.95366770029068,0.0005492909207496143,0.8355040280052511,12
mordred:GATS8p,mordred,22.91773021221161,0.0005484309215471281,0.8360524589267982,7
mordred:ATSC2Z,mordred,22.75337678194046,0.000544497874845365,0.8365969568016436,12
mordred:MATS2are,mordred,22.726913630962372,0.0005438646005139384,0.8371408214021575,3
mordred:PEOE_VSA9,mordred,22.711495876312256,0.000543495647161549,0.837684317049319,19
mordred:AATS6i,mordred,22.685094833374023,0.0005428638591016343,0.8382271809084206,12
mordred:ATS8m,mordred,22.658839225769043,0.0005422355513704043,0.8387694164597911,9
mordred:SaaNH,mordred,22.6108777821064,0.0005410878138543819,0.8393105042736455,3
mordred:GATS2d,mordred,22.471715822815895,0.0005377576096469281,0.8398482618832924,12
mordred:AMID,mordred,22.337514489889145,0.0005345461153144461,0.8403828079986069,7
mordred:AATSC8i,mordred,22.259612306952477,0.0005326818833166489,0.8409154898819236,7
mordred:TIC3,mordred,22.174026310443878,0.0005306337744288092,0.8414461236563524,4
mordred:ATSC8m,mordred,22.12587082386017,0.0005294813933840851,0.8419756050497365,7
mordred:ATSC5dv,mordred,21.992306262254715,0.0005262851372571025,0.8425018901869935,12
mordred:GATS4are,mordred,21.960262298583984,0.0005255183117310477,0.8430274084987246,11
mordred:ATS4se,mordred,21.682690620422363,0.0005188759047457151,0.8435462844034703,4
mordred:IC3,mordred,21.622711062431335,0.0005174405686998497,0.8440637249721702,10
mordred:n10FaHRing,mordred,21.608349323272705,0.0005170968862422565,0.8445808218584124,4
mordred:MATS1c,mordred,21.592751622200012,0.0005167236266963022,0.8450975454851087,10
mordred:GATS7are,mordred,21.402933657169342,0.0005121812029691698,0.8456097266880779,5
mordred:AATSC2dv,mordred,21.35186380147934,0.0005109590798461555,0.846120685767924,6
rdkit:MaxAbsPartialCharge,rdkit,21.247687876224518,0.0005084661061458157,0.8466291518740698,20
mordred:AXp-3d,mordred,21.113358229398727,0.0005052515412077699,0.8471344034152776,11
mordred:ZMIC1,mordred,21.10814481973648,0.0005051267821221627,0.8476395301973997,9
mordred:MINaasC,mordred,21.04285565018654,0.000503564384838847,0.8481430945822386,10
mordred:AATSC1Z,mordred,21.033344745635986,0.0005033367848933416,0.8486464313671319,4
mordred:MATS6d,mordred,21.019249200820923,0.0005029994725783325,0.8491494308397103,10
mordred:SlogP_VSA3,mordred,20.977964758872986,0.0005020115185212156,0.8496514423582315,18
mordred:SpAD_A,mordred,20.937720715999603,0.0005010484616514707,0.850152490819883,4
mordred:MDEN-22,mordred,20.882234811782837,0.0004997206606301346,0.8506522114805131,5
mordred:Mse,mordred,20.83887740969658,0.000498683099765168,0.8511508945802783,3
mordred:Xp-5dv,mordred,20.835954695940018,0.0004986131579958877,0.8516495077382742,6
mordred:ATS1s,mordred,20.832030832767487,0.000498519258300071,0.8521480269965742,3
mordred:GATS6i,mordred,20.824065923690796,0.000498328654676391,0.8526463556512506,17
mordred:ATSC1c,mordred,20.778989046812057,0.0004972499460565513,0.8531436055973072,7
mordred:ATS3p,mordred,20.77689003944397,0.0004971997159275396,0.8536408053132347,3
mordred:AATSC4s,mordred,20.714772164821625,0.0004957132090654627,0.8541365185223002,10
mordred:ETA_epsilon_5,mordred,20.69033318758011,0.0004951283740627758,0.854631646896363,5
mordred:GGI8,mordred,20.591036826372147,0.0004927521703820754,0.855124399066745,10
mordred:GATS3dv,mordred,20.542949557304382,0.0004916014218111952,0.8556160004885561,7
mordred:MATS1pe,mordred,20.520354747772217,0.0004910607185173191,0.8561070612070735,6
mordred:AATSC2d,mordred,20.32621467113495,0.00048641486484186767,0.8565934760719154,6
mordred:SIC1,mordred,20.295052230358124,0.0004856691345293699,0.8570791452064448,3
mordred:AATS4s,mordred,20.191640555858612,0.00048319444967099423,0.8575623396561158,6
mordred:ATSC2se,mordred,20.163880109786987,0.00048253013052242913,0.8580448697866383,4
rdkit:BCUT2D_LOGPLOW,rdkit,19.98831695318222,0.00047832883035548807,0.8585231986169938,8
mordred:GATS2c,mordred,19.963451027870178,0.00047773377830592957,0.8590009323952997,14
mordred:ATSC6p,mordred,19.91192916035652,0.00047650083834989117,0.8594774332336497,7
mordred:VSA_EState4,mordred,19.84942975640297,0.0004750052013304743,0.8599524384349801,13
mordred:ATSC6d,mordred,19.836005836725235,0.0004746839612874393,0.8604271223962676,9
mordred:ATSC7dv,mordred,19.78569805622101,0.00047348007494409534,0.8609006024712117,9
mordred:BCUTdv-1h,mordred,19.63718092441559,0.0004699259975242389,0.861370528468736,7
mordred:AATSC0c,mordred,19.57687395811081,0.00046848282645974064,0.8618390112951957,8
mordred:AATS5Z,mordred,19.532637298107147,0.00046742422458305704,0.8623064355197787,10
mordred:GATS3se,mordred,19.499158084392548,0.00046662305291988825,0.8627730585726986,7
mordred:SRW06,mordred,19.432552486658096,0.0004650291529565211,0.8632380877256551,3
mordred:MATS7c,mordred,19.36950881779194,0.0004635204914488664,0.863701608217104,12
mordred:HybRatio,mordred,19.36176598072052,0.0004633352021016602,0.8641649434192056,3
mordred:ATS6p,mordred,19.282385796308517,0.0004614356009070158,0.8646263790201126,9
mordred:EState_VSA4,mordred,19.275543957948685,0.00046127187283787394,0.8650876508929505,18
mordred:ATS4p,mordred,19.150313645601273,0.0004582750588004293,0.865545925951751,5
mordred:SaaN,mordred,19.11827889084816,0.0004575084536476457,0.8660034344053986,15
mordred:SpMAD_Dzse,mordred,19.05166807770729,0.0004559144288774097,0.866459348834276,3
mordred:ATSC2d,mordred,18.999786257743835,0.0004546728751078772,0.8669140217093839,8
mordred:MINssO,mordred,18.954333424568176,0.0004535851696957517,0.8673676068790797,5
mordred:MAXsCH3,mordred,18.9055392742157,0.00045241750515846436,0.8678200243842381,13
mordred:Sp,mordred,18.822309613227844,0.0004504257843705435,0.8682704501686086,3
mordred:GATS4dv,mordred,18.819284856319427,0.00045035340066572723,0.8687208035692743,9
mordred:ATSC3v,mordred,18.744792878627777,0.0004485707763135333,0.8691693743455878,10
mordred:AATSC4se,mordred,18.68096485733986,0.00044704334492258295,0.8696164176905105,9
mordred:AATS2i,mordred,18.52011877298355,0.00044319423048350235,0.870059611920994,6
mordred:AETA_eta_F,mordred,18.42794017493725,0.0004409883578684858,0.8705006002788624,6
mordred:AATS8v,mordred,18.3644018471241,0.0004394678589642112,0.8709400681378267,10
mordred:AATSC5i,mordred,18.2839138507843,0.00043754174736426764,0.871377609885191,7
mordred:SpMAD_DzZ,mordred,18.24709987640381,0.00043666077347600065,0.871814270658667,4
mordred:MATS8dv,mordred,18.07742315530777,0.00043260033818619996,0.8722468709968532,7
mordred:AETA_eta_RL,mordred,17.986162215471268,0.0004304164255180457,0.8726772874223712,9
mordred:GATS8s,mordred,17.95584899187088,0.0004296910173297005,0.8731069784397009,12
mordred:MAXaasC,mordred,17.87607964873314,0.00042778210340309666,0.873534760543104,14
mordred:SM1_Dzv,mordred,17.733627647161484,0.00042437316710029706,0.8739591337102043,6
mordred:ATS8pe,mordred,17.659255623817444,0.00042259341330608567,0.8743817271235104,4
mordred:SpMAD_Dzv,mordred,17.649640440940857,0.00042236331793638624,0.8748040904414468,4
rdkit:Kappa3,rdkit,17.58976125717163,0.00042093038388785865,0.8752250208253347,7
mordred:ATSC2c,mordred,17.17110213637352,0.00041091169506888154,0.8756359325204036,11
mordred:GATS3v,mordred,17.154955089092255,0.0004105252894371401,0.8760464578098408,16
mordred:GATS5i,mordred,17.062813222408295,0.000408320295819071,0.8764547781056599,9
mordred:GATS3d,mordred,17.004679888486862,0.00040692914069158153,0.8768617072463515,9
mordred:GATS4v,mordred,16.988476365804672,0.0004065413835797464,0.8772682486299312,8
mordred:BCUTp-1h,mordred,16.984314918518066,0.0004064417983961689,0.8776746904283275,2
mordred:ATS2dv,mordred,16.95813199877739,0.00040581523011609894,0.8780805056584435,9
mordred:MINaaaC,mordred,16.946463108062744,0.0004055359886541911,0.8784860416470978,8
mordred:ATSC7i,mordred,16.928709030151367,0.00040511112610366824,0.8788911527732014,16
mordred:ATSC3are,mordred,16.90518718957901,0.00040454823856715693,0.8792957010117686,5
mordred:GATS2i,mordred,16.88406240940094,0.0004040427136939142,0.8796997437254624,8
mordred:ATSC6s,mordred,16.880447208881378,0.0004039562004251846,0.8801036999258877,5
mordred:AATSC5d,mordred,16.85284212231636,0.0004032955990949458,0.8805069955249826,7
mordred:SpDiam_Dzse,mordred,16.841300010681152,0.00040301939150972325,0.8809100149164923,2
mordred:AATSC7c,mordred,16.820701003074646,0.00040252644859522065,0.8813125413650875,8
mordred:AXp-6dv,mordred,16.78198802471161,0.0004016000307430652,0.8817141413958306,6
mordred:VR2_Dzse,mordred,16.760900497436523,0.0004010953973474568,0.882115236793178,1
mordred:MATS3dv,mordred,16.72085678577423,0.00040013713448783835,0.8825153739276659,8
mordred:SlogP_VSA10,mordred,16.656047970056534,0.000398586232273731,0.8829139601599396,12
rdkit:fr_COO,rdkit,16.635160446166992,0.00039808638504324585,0.8833120465449829,2
mordred:ZMIC5,mordred,16.624733924865723,0.00039783687400385246,0.8837098834189867,6
mordred:AATS8p,mordred,16.577488034963608,0.00039670625999023066,0.8841065896789769,8
mordred:SlogP_VSA1,mordred,16.566117018461227,0.0003964341467834871,0.8845030238257604,11
mordred:MATS2i,mordred,16.519874095916748,0.0003953275342005103,0.8848983513599609,5
mordred:ATSC7se,mordred,16.50773485004902,0.0003950370369419913,0.8852933883969029,10
mordred:AATS4d,mordred,16.505880177021027,0.00039499265383648776,0.8856883810507393,5
mordred:GATS4pe,mordred,16.468850255012512,0.00039410651223066996,0.88608248756297,9
mordred:Xch-5dv,mordred,16.462487876415253,0.00039395425783527317,0.8864764418208053,10
mordred:ATSC8i,mordred,16.452605485916138,0.0003937177680747981,0.8868701595888802,8
mordred:ATSC7pe,mordred,16.43553999066353,0.00039330938359686846,0.887263468972477,7
mordred:nFARing,mordred,16.428800582885742,0.00039314810673463,0.8876566170792116,1
mordred:MATS8d,mordred,16.401251018047333,0.0003924888340626574,0.8880491059132742,8
mordred:AATSC3c,mordred,16.322934836149216,0.00039061469489561415,0.8884397206081699,12
mordred:MPC7,mordred,16.256513118743896,0.00038902519526585013,0.8888287458034357,3
mordred:ATS1p,mordred,16.180373162031174,0.000387203134082659,0.8892159489375184,4
mordred:BCUTc-1l,mordred,16.175738096237183,0.0003870922150090295,0.8896030411525274,8
mordred:AATS5are,mordred,16.16407036781311,0.0003868130013612239,0.8899898541538886,6
mordred:ATSC6c,mordred,16.14002525806427,0.00038623759177326954,0.8903760917456619,8
