split,fold,train_n,val_n,val_y_mean,val_y_std,val_y_abs_dev_median,val_nn_tanimoto_mean,val_nn_tanimoto_p25,val_nn_tanimoto_median,val_nn_tanimoto_p75
morgan,0,3309,831,4.37887484957882,1.142064296781745,0.8511251504211793,0.33865774987810093,0.2937254901960784,0.3246753246753247,0.3680340557275542
morgan,1,3310,830,4.210558499056467,1.182413123920622,0.939883800261286,0.34397632077776774,0.3,0.3333333333333333,0.3745833333333333
morgan,2,3311,829,4.289704463208685,1.0380786584251638,0.8256634499396862,0.3354093041288538,0.2916666666666667,0.325,0.36764705882352944
morgan,3,3322,818,4.459578239608802,1.0064400389228478,0.7443092909535453,0.33923483547498146,0.29274451835427445,0.32558139534883723,0.3708183990442055
morgan,4,3308,832,4.267379807692308,1.20534346564338,0.9458774038461539,0.3423687303453866,0.2878787878787879,0.3230769230769231,0.3768709907341411
mordred,0,3308,832,4.24962139423077,1.173375388599545,0.9351862980769231,0.3895970673235511,0.32051282051282054,0.3758116883116883,0.44477911646586343
mordred,1,3306,834,4.34894910577562,1.0485179405877267,0.7885054606916876,0.3771107428584797,0.32,0.3611111111111111,0.4246575342465753
mordred,2,3331,809,4.452867737948084,1.0244862119989564,0.7683065512978986,0.3774761152905063,0.323943661971831,0.36507936507936506,0.4264705882352941
mordred,3,3306,834,4.211840527577938,1.1769309608294591,0.9491067146282974,0.3917731561188305,0.32449324324324325,0.36913919413919416,0.44635989010989013
mordred,4,3309,831,4.344663056558363,1.1561144443742486,0.8714861612515042,0.3833363029599386,0.3237365368682684,0.3684210526315789,0.4337719298245614
morgan_mordred,0,3315,825,4.490495217232567,1.0293102142016828,0.7577800657174152,0.37181027894675706,0.3150684931506849,0.35714285714285715,0.4166666666666667
morgan_mordred,1,3310,830,4.453566265060241,0.9760251909247963,0.7200481927710843,0.3823703397233989,0.3227047146401985,0.36619718309859156,0.4264705882352941
morgan_mordred,2,3309,831,4.153652226233454,1.2452843858157123,1.0007882069795428,0.3694920419715306,0.3076923076923077,0.35135135135135137,0.4166666666666667
morgan_mordred,3,3309,831,4.336083032490975,1.1293120464601865,0.8734115523465704,0.38357393809453805,0.32,0.3614457831325301,0.43107088989441933
morgan_mordred,4,3317,823,4.1702065613608745,1.1629779697231775,0.947460510328068,0.3676123041116511,0.3136931620964943,0.359375,0.4084507042253521
