name,l2_anchor,n_bootstrap,weight_l1_mean,weight_l1_std,test_p95_shift_mean,test_p95_shift_std,top_member_weight_mean,top_member_weight_p90,mean_weight_std_across_members
uniform__l2_0p3,0.3,80,0.14315304735588036,0.017973216447318092,0.038925936772605384,0.005215393420789007,0.36247510974112096,0.3701768533794936,0.003881154386360142
uniform__l2_1p0,1.0,80,0.05097256076241967,0.006171646070725198,0.01452559386240208,0.0018579209936823366,0.327523761066599,0.33025721233575994,0.0015234012359797375
uniform__l2_3p0,3.0,80,0.01859236123583543,0.0023148920639290164,0.005270863277996556,0.0006800251343038736,0.315713171936436,0.31671163942835645,0.0005903099379086223
importance__l2_0p3,0.3,80,0.19923431774868886,0.016876368983195323,0.05154199020810093,0.0046172416998882145,0.38825468233082094,0.39495905064382403,0.004394446837941983
importance__l2_1p0,1.0,80,0.07212713288992205,0.0066560181936169025,0.019701907189849977,0.002155093239341209,0.33651551213361336,0.3394146792458562,0.0018237550938303927
importance__l2_3p0,3.0,80,0.026034114978358475,0.0023326963178467307,0.00704284717461563,0.0007580165893884749,0.3188321506569096,0.3197768555222867,0.0006563081609536127
potent46_soft__l2_0p3,0.3,80,0.167580821943225,0.0186653978103795,0.04559248940117981,0.0053806283691682074,0.3722588058724245,0.379643431801273,0.0038184427743497245
potent46_soft__l2_1p0,1.0,80,0.06083728011737377,0.007016547923541562,0.01749617860971337,0.0022068830112188607,0.33116340060475624,0.33424443893160327,0.001613632719372456
potent46_soft__l2_3p0,3.0,80,0.022187763576366336,0.002575023667784711,0.0063213584819451964,0.000784493853527252,0.3170031627171127,0.3181497338716181,0.0006183568304807762
importance_x_potent46__l2_0p3,0.3,80,0.24855997402684166,0.022599077161060847,0.06339092491410957,0.0058721819930421925,0.4105210560095653,0.4220757964747547,0.005648254341437085
importance_x_potent46__l2_1p0,1.0,80,0.09546209268480568,0.008536317193255243,0.026251653346088456,0.002830495832918422,0.34530585486879506,0.3495337261181733,0.002512968145557045
importance_x_potent46__l2_3p0,3.0,80,0.03407798782529754,0.0029811718949193564,0.00932258541586622,0.0010280473837382276,0.3218284562888317,0.32324514170865903,0.0008946808203504324
