name,split,row_weight,l2_anchor,max_weight,MAE,Spearman_R,delta_mae_vs_raw_anchor,oof_abs_delta_p95,weight_l1_from_anchor,weight_max,fold_weight_l1_mean,fold_weight_l1_std,raw_test_delta_mean,raw_test_delta_std,raw_test_abs_delta_mean,raw_test_abs_delta_p95,raw_test_abs_delta_max,raw_test_pred_mean,raw_test_pred_std,id55_abs_delta_mean,id55_abs_delta_p90,id55_abs_delta_max,id55_pearson,id55_spearman,id56_minus_id55_pearson,id56_minus_id55_spearman,id56_minus_id55_projection,id56_minus_id51_pearson,id56_minus_id51_spearman,id56_minus_id51_projection
mixed_analog_t20__importance_x_potent46__l2_0p1,mixed_analog_t20,importance_x_potent46,0.1,none,0.3839302191066178,0.8551122165954692,-0.00751377548087151,0.14565953615474597,0.49208041304083694,0.5406264549232913,0.49194221248299463,0.00917794896669161,-0.0017398118687503698,0.06467342533982878,0.052223986656516355,0.11865567727216479,0.2199308359076273,4.735773170811656,0.7465774959190458,0.10514286896777622,0.21471566757341806,0.46326555889313425,0.9889386552992742,0.9879801948938497,0.8561672134375508,0.8308287183994358,1.4272989583618227,0.8457147599278959,0.8428537677486518,1.5690751342665359
umap__importance_x_potent46__l2_0p1,umap,importance_x_potent46,0.1,none,0.38394232108135734,0.8552344693054497,-0.007501673506131956,0.14563504053047427,0.49208041304083694,0.5406264549232913,0.4924909776752925,0.024020652062573335,-0.0017398118687503698,0.06467342533982878,0.052223986656516355,0.11865567727216479,0.2199308359076273,4.735773170811656,0.7465774959190458,0.10514286896777622,0.21471566757341806,0.46326555889313425,0.9889386552992742,0.9879801948938497,0.8561672134375508,0.8308287183994358,1.4272989583618227,0.8457147599278959,0.8428537677486518,1.5690751342665359
mixed_analog_t30__importance_x_potent46__l2_0p1,mixed_analog_t30,importance_x_potent46,0.1,none,0.38399595293297817,0.8551688440114297,-0.007448041654511128,0.1468239511786952,0.49208041304083694,0.5406264549232913,0.49471555417915275,0.034322705261364536,-0.0017398118687503698,0.06467342533982878,0.052223986656516355,0.11865567727216479,0.2199308359076273,4.735773170811656,0.7465774959190458,0.10514286896777622,0.21471566757341806,0.46326555889313425,0.9889386552992742,0.9879801948938497,0.8561672134375508,0.8308287183994358,1.4272989583618227,0.8457147599278959,0.8428537677486518,1.5690751342665359
mixed_analog_t25__importance_x_potent46__l2_0p1,mixed_analog_t25,importance_x_potent46,0.1,none,0.38403544806141793,0.8550785611610535,-0.007408546526071369,0.14744522234582907,0.49208041304083694,0.5406264549232913,0.4925487578944193,0.02695202027772398,-0.0017398118687503698,0.06467342533982878,0.052223986656516355,0.11865567727216479,0.2199308359076273,4.735773170811656,0.7465774959190458,0.10514286896777622,0.21471566757341806,0.46326555889313425,0.9889386552992742,0.9879801948938497,0.8561672134375508,0.8308287183994358,1.4272989583618227,0.8457147599278959,0.8428537677486518,1.5690751342665359
test_nn_t25__importance_x_potent46__l2_0p1,test_nn_t25,importance_x_potent46,0.1,none,0.3841235872888524,0.8549430136848019,-0.007320407298636922,0.1472449714512703,0.49208041304083694,0.5406264549232913,0.4937165061653056,0.03006194507868564,-0.0017398118687503698,0.06467342533982878,0.052223986656516355,0.11865567727216479,0.2199308359076273,4.735773170811656,0.7465774959190458,0.10514286896777622,0.21471566757341806,0.46326555889313425,0.9889386552992742,0.9879801948938497,0.8561672134375508,0.8308287183994358,1.4272989583618227,0.8457147599278959,0.8428537677486518,1.5690751342665359
test_nn_t30__importance_x_potent46__l2_0p1,test_nn_t30,importance_x_potent46,0.1,none,0.3841560817898395,0.8550316837646166,-0.007287912797649787,0.14851276952406486,0.49208041304083694,0.5406264549232913,0.49247646164914666,0.014174878410222868,-0.0017398118687503698,0.06467342533982878,0.052223986656516355,0.11865567727216479,0.2199308359076273,4.735773170811656,0.7465774959190458,0.10514286896777622,0.21471566757341806,0.46326555889313425,0.9889386552992742,0.9879801948938497,0.8561672134375508,0.8308287183994358,1.4272989583618227,0.8457147599278959,0.8428537677486518,1.5690751342665359
mixed_analog_t20__importance__l2_0p1,mixed_analog_t20,importance,0.1,none,0.3849494847558903,0.8543289590516558,-0.0064945098315989935,0.11382564264309589,0.3860959646986728,0.4839778546685083,0.3880683825118369,0.009783911218291278,-0.0006346423734978812,0.05064180245973196,0.040975028389026884,0.0960847269961525,0.1715872185346039,4.736878340306909,0.738579802897019,0.10029348093639992,0.19736617518397345,0.42122070032734715,0.9908097063455162,0.9900181610803924,0.8448462028307295,0.8175203405522563,1.3105003807144522,0.8082772056792243,0.8030977832673448,1.3954548211386055
umap__importance__l2_0p1,umap,importance,0.1,none,0.3849927070591714,0.8543853632350739,-0.006451287528317917,0.11357461075053675,0.3860959646986728,0.4839778546685083,0.3875249969528405,0.022490727723729165,-0.0006346423734978812,0.05064180245973196,0.040975028389026884,0.0960847269961525,0.1715872185346039,4.736878340306909,0.738579802897019,0.10029348093639992,0.19736617518397345,0.42122070032734715,0.9908097063455162,0.9900181610803924,0.8448462028307295,0.8175203405522563,1.3105003807144522,0.8082772056792243,0.8030977832673448,1.3954548211386055
test_nn_t25__importance__l2_0p1,test_nn_t25,importance,0.1,none,0.38499347848371873,0.8542827538895799,-0.006450516103770565,0.1147140986245926,0.3860959646986728,0.4839778546685083,0.3885999120138335,0.019429262233481442,-0.0006346423734978812,0.05064180245973196,0.040975028389026884,0.0960847269961525,0.1715872185346039,4.736878340306909,0.738579802897019,0.10029348093639992,0.19736617518397345,0.42122070032734715,0.9908097063455162,0.9900181610803924,0.8448462028307295,0.8175203405522563,1.3105003807144522,0.8082772056792243,0.8030977832673448,1.3954548211386055
mixed_analog_t25__importance__l2_0p1,mixed_analog_t25,importance,0.1,none,0.38505718181046544,0.8543052634246191,-0.006386812777023854,0.11401434487439058,0.3860959646986728,0.4839778546685083,0.38734480921954784,0.02733593381700099,-0.0006346423734978812,0.05064180245973196,0.040975028389026884,0.0960847269961525,0.1715872185346039,4.736878340306909,0.738579802897019,0.10029348093639992,0.19736617518397345,0.42122070032734715,0.9908097063455162,0.9900181610803924,0.8448462028307295,0.8175203405522563,1.3105003807144522,0.8082772056792243,0.8030977832673448,1.3954548211386055
test_nn_t30__importance__l2_0p1,test_nn_t30,importance,0.1,none,0.38506455679648727,0.8542896336797771,-0.0063794377910020295,0.11475316009113176,0.3860959646986728,0.4839778546685083,0.3877001207505032,0.009599229476902326,-0.0006346423734978812,0.05064180245973196,0.040975028389026884,0.0960847269961525,0.1715872185346039,4.736878340306909,0.738579802897019,0.10029348093639992,0.19736617518397345,0.42122070032734715,0.9908097063455162,0.9900181610803924,0.8448462028307295,0.8175203405522563,1.3105003807144522,0.8082772056792243,0.8030977832673448,1.3954548211386055
mixed_analog_t30__importance__l2_0p1,mixed_analog_t30,importance,0.1,none,0.3851015079424214,0.8542928578679757,-0.006342486645067924,0.11405659157261909,0.3860959646986728,0.4839778546685083,0.38803629562474706,0.02790179465667655,-0.0006346423734978812,0.05064180245973196,0.040975028389026884,0.0960847269961525,0.1715872185346039,4.736878340306909,0.738579802897019,0.10029348093639992,0.19736617518397345,0.42122070032734715,0.9908097063455162,0.9900181610803924,0.8448462028307295,0.8175203405522563,1.3105003807144522,0.8082772056792243,0.8030977832673448,1.3954548211386055
test_nn_t25__potent46_soft__l2_0p1,test_nn_t25,potent46_soft,0.1,none,0.38573257854010706,0.8536113614705529,-0.005711416047382234,0.09714309999301265,0.33439802970673427,0.44927694115302286,0.33277231523456174,0.012645459796391144,-0.00013602406125516514,0.04403093396035102,0.03551703934068848,0.08299724305541316,0.14254995262384007,4.737376958619151,0.7345271733534589,0.09864908120282813,0.187385959876271,0.39983008055455205,0.9916208150275212,0.9909166154686329,0.8327060801179756,0.8023835884702029,1.2527284427244112,0.7829748082996367,0.7729139645482059,1.3111050786895602
umap__potent46_soft__l2_0p1,umap,potent46_soft,0.1,none,0.3857489360878823,0.8536577298291468,-0.0056950584996069975,0.09749075752301238,0.33439802970673427,0.44927694115302286,0.33569064295892115,0.01386996356275539,-0.00013602406125516514,0.04403093396035102,0.03551703934068848,0.08299724305541316,0.14254995262384007,4.737376958619151,0.7345271733534589,0.09864908120282813,0.187385959876271,0.39983008055455205,0.9916208150275212,0.9909166154686329,0.8327060801179756,0.8023835884702029,1.2527284427244112,0.7829748082996367,0.7729139645482059,1.3111050786895602
test_nn_t30__potent46_soft__l2_0p1,test_nn_t30,potent46_soft,0.1,none,0.3857924255660507,0.8536442236684229,-0.005651569021438596,0.0983824354157218,0.33439802970673427,0.44927694115302286,0.334711093599851,0.009061413490872769,-0.00013602406125516514,0.04403093396035102,0.03551703934068848,0.08299724305541316,0.14254995262384007,4.737376958619151,0.7345271733534589,0.09864908120282813,0.187385959876271,0.39983008055455205,0.9916208150275212,0.9909166154686329,0.8327060801179756,0.8023835884702029,1.2527284427244112,0.7829748082996367,0.7729139645482059,1.3111050786895602
mixed_analog_t20__potent46_soft__l2_0p1,mixed_analog_t20,potent46_soft,0.1,none,0.3858077683649718,0.8536207093332691,-0.005636226222517471,0.09691909813903817,0.33439802970673427,0.44927694115302286,0.3333789041565698,0.011522563613680663,-0.00013602406125516514,0.04403093396035102,0.03551703934068848,0.08299724305541316,0.14254995262384007,4.737376958619151,0.7345271733534589,0.09864908120282813,0.187385959876271,0.39983008055455205,0.9916208150275212,0.9909166154686329,0.8327060801179756,0.8023835884702029,1.2527284427244112,0.7829748082996367,0.7729139645482059,1.3111050786895602
mixed_analog_t25__potent46_soft__l2_0p1,mixed_analog_t25,potent46_soft,0.1,none,0.3858400536994104,0.8536234610125861,-0.005603940888078918,0.098650417870497,0.33439802970673427,0.44927694115302286,0.33354897228183755,0.025522536844596933,-0.00013602406125516514,0.04403093396035102,0.03551703934068848,0.08299724305541316,0.14254995262384007,4.737376958619151,0.7345271733534589,0.09864908120282813,0.187385959876271,0.39983008055455205,0.9916208150275212,0.9909166154686329,0.8327060801179756,0.8023835884702029,1.2527284427244112,0.7829748082996367,0.7729139645482059,1.3111050786895602
mixed_analog_t30__potent46_soft__l2_0p1,mixed_analog_t30,potent46_soft,0.1,none,0.3859194328454599,0.853679236339785,-0.005524561742029421,0.09797355908979175,0.33439802970673427,0.44927694115302286,0.33274976925476435,0.018627921298104533,-0.00013602406125516514,0.04403093396035102,0.03551703934068848,0.08299724305541316,0.14254995262384007,4.737376958619151,0.7345271733534589,0.09864908120282813,0.187385959876271,0.39983008055455205,0.9916208150275212,0.9909166154686329,0.8327060801179756,0.8023835884702029,1.2527284427244112,0.7829748082996367,0.7729139645482059,1.3111050786895602
test_nn_t30__uniform__l2_0p1,test_nn_t30,uniform,0.1,none,0.38632896817871015,0.853279478267348,-0.005115026408779144,0.08827407939565174,0.30353916327763464,0.43191109178117676,0.2990780939280984,0.01041166229152061,0.00017050334449895136,0.03972521381822619,0.03194490424436942,0.07471736793952921,0.13056953982588748,4.737683486024906,0.7320591324047531,0.09753105045430949,0.1827561695734241,0.39918313724770904,0.9921234223995073,0.991466549906706,0.8242365293329225,0.7934827747058959,1.216583337267755,0.7642858002802584,0.7529391760245296,1.2557902962345107
umap__uniform__l2_0p1,umap,uniform,0.1,none,0.38634464866398166,0.8532494636373191,-0.005099345923507637,0.08544773998305578,0.30353916327763464,0.43191109178117676,0.29867618681761365,0.018396365145979924,0.00017050334449895136,0.03972521381822619,0.03194490424436942,0.07471736793952921,0.13056953982588748,4.737683486024906,0.7320591324047531,0.09753105045430949,0.1827561695734241,0.39918313724770904,0.9921234223995073,0.991466549906706,0.8242365293329225,0.7934827747058959,1.216583337267755,0.7642858002802584,0.7529391760245296,1.2557902962345107
mixed_analog_t20__uniform__l2_0p1,mixed_analog_t20,uniform,0.1,none,0.38638701970913425,0.85322066055118,-0.005056974878355047,0.08576178589230538,0.30353916327763464,0.43191109178117676,0.2970561976549684,0.01304486330624145,0.00017050334449895136,0.03972521381822619,0.03194490424436942,0.07471736793952921,0.13056953982588748,4.737683486024906,0.7320591324047531,0.09753105045430949,0.1827561695734241,0.39918313724770904,0.9921234223995073,0.991466549906706,0.8242365293329225,0.7934827747058959,1.216583337267755,0.7642858002802584,0.7529391760245296,1.2557902962345107
test_nn_t25__uniform__l2_0p1,test_nn_t25,uniform,0.1,none,0.38638913334943126,0.8531737471331282,-0.005054861238058039,0.08521395460705894,0.30353916327763464,0.43191109178117676,0.29528068398013396,0.01937253579521335,0.00017050334449895136,0.03972521381822619,0.03194490424436942,0.07471736793952921,0.13056953982588748,4.737683486024906,0.7320591324047531,0.09753105045430949,0.1827561695734241,0.39918313724770904,0.9921234223995073,0.991466549906706,0.8242365293329225,0.7934827747058959,1.216583337267755,0.7642858002802584,0.7529391760245296,1.2557902962345107
mixed_analog_t25__uniform__l2_0p1,mixed_analog_t25,uniform,0.1,none,0.38641469423437547,0.853256964250746,-0.00502930035311383,0.08656858526295402,0.30353916327763464,0.43191109178117676,0.30026715889468625,0.03233770623489618,0.00017050334449895136,0.03972521381822619,0.03194490424436942,0.07471736793952921,0.13056953982588748,4.737683486024906,0.7320591324047531,0.09753105045430949,0.1827561695734241,0.39918313724770904,0.9921234223995073,0.991466549906706,0.8242365293329225,0.7934827747058959,1.216583337267755,0.7642858002802584,0.7529391760245296,1.2557902962345107
mixed_analog_t30__uniform__l2_0p1,mixed_analog_t30,uniform,0.1,none,0.386509367609031,0.8532757972134573,-0.004934626978458312,0.08766343515550813,0.30353916327763464,0.43191109178117676,0.2970816122988698,0.019725598167685654,0.00017050334449895136,0.03972521381822619,0.03194490424436942,0.07471736793952921,0.13056953982588748,4.737683486024906,0.7320591324047531,0.09753105045430949,0.1827561695734241,0.39918313724770904,0.9921234223995073,0.991466549906706,0.8242365293329225,0.7934827747058959,1.216583337267755,0.7642858002802584,0.7529391760245296,1.2557902962345107
