name,kind,MAE,R2,Spearman_R,delta_mae_vs_base,full_a,full_b,coef_a_sd,coef_b_sd,raw_test_delta_mean,raw_test_delta_std,raw_test_abs_delta_mean,raw_test_abs_delta_p95,raw_test_abs_delta_max,raw_test_pred_mean,raw_test_pred_std,id55_abs_delta_mean,id55_abs_delta_p90,id55_abs_delta_max,id55_pearson,id55_spearman,id56_minus_id55_pearson,id56_minus_id55_spearman,id56_minus_id55_projection,id56_minus_id51_pearson,id56_minus_id51_spearman,id56_minus_id51_projection
anchor,base,0.3914439945874893,0.7590252020776732,0.8490307288007375,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.737512982680407,0.7122160301036345,0.09188578294164818,0.16471368282446958,0.3480040117281886,0.9958907533517835,0.9954748404327942,0.6719829937184225,0.6027322328600361,0.8753932592226464,0.5227060905756967,0.47355052677088316,0.76006787062532
anchor__affine_lad_lamb_0.0,,0.39010683585384415,0.7593333687356112,0.8483836872469942,-0.0013371587336451496,-0.22547888921811016,1.0549554680416293,0.05311681773420004,0.010022051631608905,0.034873354098386586,0.03914016528109627,0.046431457037398746,0.08589496235178888,0.0998788822266512,4.772386336778793,0.7513561953847309,0.05787089685384941,0.12203191224022093,0.3537416174431893,0.9958907533517836,0.9954748404327942,0.9252494681491317,0.8945778259892598,0.948133573286013,0.8120978883771636,0.7882302652911464,0.9299775920150846
anchor__affine_lad_lamb_0.01,,0.3900932025652404,0.7593312039454152,0.8483767913908187,-0.0013507920222489145,-0.22355454600505814,1.0545610753634158,0.052442836417636494,0.009926840277828666,0.03492925687812841,0.038859272493517234,0.04629817612882658,0.08558470413895093,0.09946826720114466,4.772442239558535,0.7510753025971518,0.057907343743439754,0.12219755267018347,0.3540066154457753,0.9958907533517836,0.9954748404327942,0.9237900996754501,0.8927027868796508,0.9474414818294278,0.8102198948722941,0.7859547971135687,0.9286269375518658
anchor__affine_lad_lamb_0.05,,0.3901345440078896,0.7593024345564524,0.8483472333728085,-0.0013094505795996914,-0.20865676846429504,1.0512930945565389,0.05077509578461008,0.009517787531743363,0.03434493291916128,0.036531764176788405,0.0445138691975889,0.08196633020370463,0.09501832575524904,4.771857915599568,0.7487477942804229,0.05865253024574304,0.12412724530629832,0.3551548773404809,0.9958907533517835,0.9954748404327942,0.9112884746291299,0.8765602956402031,0.942288591788252,0.7943422689824121,0.7675730140851481,0.9178844355164496
anchor__affine_lad_lamb_0.1,,0.39008368949079675,0.7593489725351968,0.8483544599344666,-0.001360305096692549,-0.19472265245524506,1.0481895356693656,0.04394695249790109,0.007960890231850617,0.03357589840771491,0.03432135978697303,0.042691596757340515,0.07831589787370506,0.09057816457111123,4.771088881088121,0.7465373898906076,0.059510523939226415,0.12604489234171173,0.3560312570899269,0.9958907533517832,0.9954748404327942,0.8987879631413661,0.8605781537988944,0.9375138861008894,0.7787909199437782,0.7494417992126882,0.9077742277308681
anchor__affine_lad_lamb_0.3,,0.3901031617105128,0.7592832733396035,0.8483825183202264,-0.0013408328769765054,-0.14830252066359728,1.037881166527618,0.03427564814956894,0.005896608729753618,0.031159997560071297,0.02697957403999473,0.036855098757093446,0.06632952859363321,0.07596873678102067,4.768672980240479,0.7391956041436293,0.06274230560164872,0.13170792612092017,0.35908054579047377,0.9958907533517832,0.9954748404327942,0.8537261328786034,0.8053351195758529,0.9215779712135632,0.7246941591675876,0.6875359986176531,0.8741341507353789
anchor__affine_lad_lamb_1.0,,0.3903423968519484,0.7587809097167213,0.8484908372607833,-0.0011015977355409157,-0.07699143289880724,1.02250955862454,0.024464120482357965,0.003730277332388557,0.02964789331935727,0.016031668482954974,0.03068309740637727,0.050546157368865606,0.056273919781618,4.767160875999765,0.7282476985865896,0.06767167111354508,0.13419921651812958,0.36571800911913943,0.9958907533517833,0.9954748404327942,0.7804621042278396,0.7200026630088516,0.8966535650154902,0.6409810749629485,0.5958145429437733,0.8230744819367862
uniform_l2_3,base,0.3910390892252109,0.7595609659427178,0.8493472741525614,-0.0004049053622783849,0.0,1.0,0.0,0.0,-4.564088663043631e-05,0.00264961811158494,0.0020900919767334485,0.00527255715833812,0.009927751047810851,4.737467341793776,0.7134703643772864,0.09206216409038241,0.16513217026457222,0.350410223719952,0.9957104196546231,0.9952713815789476,0.6869451313430596,0.6211900129701686,0.8975465608734643,0.5434447255516427,0.4973918334869275,0.792214654313704
uniform_l2_3__affine_lad_lamb_0.0,,0.3897574789313189,0.7598091331872647,0.8486991927917822,-0.0012816102938920104,-0.2266114323531425,1.05524338225409,0.05326508931990852,0.009948162367204375,0.03505664603920853,0.04073945786411147,0.04745295519790715,0.08798816514396765,0.10362052393639853,4.772569628719615,0.7528848804435456,0.05852368237006704,0.12408981185132718,0.35635956738883134,0.9957104196546244,0.9952713815789476,0.9340536232625006,0.9071775199387901,0.9718647093392468,0.8297585264972877,0.8102114656574967,0.9647695338958875
uniform_l2_3__affine_lad_lamb_0.01,,0.3897296177993444,0.7598451555047072,0.8486996571831167,-0.0013094714258665152,-0.22303451545630876,1.054454595631302,0.051113869485725244,0.009500344256963196,0.03489671207094019,0.040177617539183696,0.0470041813919898,0.08709811584393864,0.10252514759081865,4.772409694751346,0.7523221045643693,0.05869821704224399,0.12394513998670717,0.35661589054888676,0.9957104196546239,0.9952713815789476,0.9313247168775399,0.9032391822820672,0.9706140075304658,0.8261663272613616,0.8056612403861471,0.962159396692489
uniform_l2_3__affine_lad_lamb_0.05,,0.3897733742807827,0.7597695343438476,0.8486844224922285,-0.0012657149444282312,-0.20831005205965203,1.0512591415670012,0.05037438142873111,0.009225381044558792,0.03448281619576971,0.03790182980475128,0.04535526916364505,0.0836810434517707,0.09832168041697109,4.771995798876176,0.7500422427887619,0.05932704306827744,0.12636922777928403,0.35788829423061763,0.995710419654624,0.9952713815789476,0.9198197199654197,0.8883185996768836,0.9654173063676842,0.8112539060002748,0.7877489504403032,0.9514851270941759
uniform_l2_3__affine_lad_lamb_0.1,,0.38968785655448446,0.7598692867053618,0.8487246858635749,-0.0013512326707264544,-0.19404717497390053,1.0480886272835552,0.0442252898129558,0.00810977883185883,0.03372548540700506,0.035644318688981304,0.04350965812361837,0.07990406292824871,0.09380435505816376,4.771238468087412,0.7477801748076882,0.06016193715445798,0.12596112448010094,0.3588041018202297,0.9957104196546238,0.9952713815789476,0.9077386842602099,0.8730961619962683,0.9604537191494523,0.7959376712840232,0.7696516898195555,0.9410428121481883
uniform_l2_3__affine_lad_lamb_0.3,,0.38974722533604267,0.7597661371762752,0.8487344820516468,-0.0012918638891682432,-0.14706829754859962,1.037586635787961,0.035797004906559265,0.006246413009522867,0.030951521098132373,0.028171774925935693,0.03727376622199988,0.06710447056401012,0.07857580847402978,4.76846450377854,0.7402873151086392,0.06346088190407456,0.13348775726622297,0.3615722305126132,0.9957104196546246,0.9952713815789476,0.8638146613788673,0.8195223970066218,0.9441597729077872,0.7423633723891656,0.7088562465867979,0.9065675475088841
uniform_l2_3__affine_lad_lamb_1.0,,0.389980482538952,0.7592890708998273,0.8487851556696727,-0.0010586066862589005,-0.07293036968525643,1.021645462811798,0.02436627336047402,0.003718974009334287,0.029568662597017674,0.016863547415202573,0.030798225083517084,0.051161969749476024,0.05828790225133762,4.7670816452774245,0.7289137606167351,0.06835408014243409,0.13466392706852037,0.36860182056662083,0.9957104196546233,0.9952713815789476,0.7899248415187541,0.7319510041925502,0.9178561855979372,0.6569152192572418,0.6136327920563407,0.8530243739823227
importance_l2_3,base,0.39087669199226455,0.7597580380289362,0.8494911484563203,-0.0005673025952247501,0.0,1.0,0.0,0.0,4.9525379090835516e-05,0.003622971334492267,0.0028682255001484945,0.006939929530850719,0.013571383961371364,4.737562508059497,0.7139460036011686,0.09203886813973652,0.1652574139262736,0.3537987472774917,0.9956399102317999,0.9951857848658613,0.6924181654294669,0.6280805039308713,0.9058502703555403,0.5508063046492417,0.5061965620520174,0.8038672577158926
importance_l2_3__affine_lad_lamb_0.0,,0.38959402768400386,0.7600210563081269,0.848836672836124,-0.0012826643082606837,-0.22802741483727046,1.0556093985895398,0.051405118891704696,0.009558228275447615,0.035475112395361184,0.04156096698889059,0.04817724650348511,0.08910826165783323,0.1061216218197929,4.772988095075768,0.753648111486835,0.05860064061015469,0.12345615716540018,0.36006137914021963,0.9956399102317994,0.9951857848658613,0.9378587320693825,0.9124806051892054,0.981075123907276,0.836755998564622,0.818460393343118,0.9781767640358227
importance_l2_3__affine_lad_lamb_0.01,,0.3895646304078664,0.7600414825743952,0.8488522499014685,-0.001312061584398172,-0.22099566083276678,1.0540390499699783,0.05043551057501848,0.00937360170823398,0.03506724165524727,0.040443199177720025,0.047228851907869664,0.08727331429035061,0.10384898175476831,4.772580224335654,0.7525269673656385,0.05896925129914467,0.12525045457296183,0.36047703837038547,0.9956399102317997,0.9951857848658613,0.9325620943601189,0.9051421314310422,0.978621747673416,0.8297269532819214,0.8099816967028467,0.9730003958574527
importance_l2_3__affine_lad_lamb_0.05,,0.389600355348497,0.7599675179525741,0.8488340131556729,-0.0012763366437675283,-0.2077695131399283,1.0512089667554545,0.05015743711882444,0.009147665069152764,0.0348856932162687,0.03842925406292648,0.04587847036002374,0.08451988750624082,0.10030674493128,4.772398675896676,0.7505064407647702,0.059456930092306674,0.12448645711313891,0.36177965613279195,0.9956399102318002,0.9951857848658613,0.9225727050236122,0.892209739146017,0.9738928213899897,0.8167002560736403,0.7943358086160603,0.9634342031823054
importance_l2_3__affine_lad_lamb_0.1,,0.3895786289077696,0.759991784658025,0.8488467796049267,-0.001298063084494927,-0.190440326475304,1.0472478322483987,0.046220447899542244,0.008546088372271289,0.03344875755088467,0.035611681882569926,0.043245441929390324,0.07946354515172604,0.0941660116323062,4.770961740231292,0.7476784046137311,0.060693932641920974,0.1264868069380432,0.3624200381675875,0.9956399102317995,0.9951857848658613,0.9077038485525102,0.8735671661319319,0.9679309677050283,0.797768786075546,0.7725498007543178,0.9505520314212064
importance_l2_3__affine_lad_lamb_0.3,,0.38963631635609797,0.7598945792735872,0.848874413764298,-0.0012403756361665796,-0.14591050475936085,1.0373342506367895,0.03768173726634465,0.006573780831476649,0.0310123667030802,0.028569173142576613,0.037480846318591256,0.06819460326143502,0.07995736673909448,4.768525349383486,0.7406006426407488,0.06372650794283075,0.13294827567539455,0.36518257669652954,0.9956399102318001,0.9951857848658613,0.8667218477734687,0.823901695508226,0.9523659253136406,0.7476153098600025,0.7159256640100576,0.9178143333728
importance_l2_3__affine_lad_lamb_1.0,,0.3898084584834255,0.7595029303107484,0.8489394158674702,-0.001068233508839056,-0.07293139767370571,1.0215985869091027,0.02367690613224286,0.0035596133087670134,0.029442783273014295,0.017449391846169084,0.030836215595971057,0.05247569541009334,0.05970187964344387,4.766955765953422,0.7293662284083549,0.06855578617830549,0.1351920488515484,0.3718651676693723,0.9956399102318001,0.9951857848658613,0.7946067606490372,0.7385656835221973,0.9263835589129568,0.6638504704595355,0.6224036552551938,0.8648651289959153
importance_x_potent46_l2_3,base,0.39070691802625057,0.7599683271213052,0.8496574390278862,-0.0007370765612387253,0.0,1.0,0.0,0.0,5.8581269011960034e-05,0.004758517455210625,0.0037607151414586204,0.009316326055847753,0.017779632101941,4.737571563949419,0.7144918342050379,0.09207461438538028,0.16554714141372023,0.356011487558745,0.995564614514394,0.9951085433874897,0.6982711076192011,0.635703055669329,0.914617711691759,0.5589047897327071,0.516040806255262,0.81655649006594
importance_x_potent46_l2_3__affine_lad_lamb_0.0,,0.3894118868720953,0.7602356974385678,0.8490036641380228,-0.0012950311541552462,-0.22763576687987444,1.0553935161784676,0.05065979334474706,0.00943702523453081,0.03485356146341737,0.04207363213206582,0.048075962287571945,0.08962367306351736,0.10691984822279643,4.772366544143824,0.7540700491824577,0.059183355347226074,0.12508604539916615,0.36187879654564803,0.9955646145143938,0.9951085433874897,0.9397714545657021,0.9153824493139464,0.9903103523381365,0.8416986340850303,0.8244498522367854,0.9911038469683714
importance_x_potent46_l2_3__affine_lad_lamb_0.01,,0.38940787807316646,0.7602477140717816,0.8490017826428325,-0.0012990399530841135,-0.2207925221127029,1.0539583076863068,0.04971551099416959,0.009248474837284238,0.0348974032897898,0.041053368008544484,0.047455852324443125,0.08838677234593371,0.10525711859119724,4.772410385970197,0.753044604434427,0.059350746014784315,0.12615773442025038,0.3626721347434305,0.9955646145143939,0.9951085433874897,0.9350547123625972,0.9089456298211483,0.9878241100889382,0.8353864019865128,0.8167954794980319,0.9861760897572159
importance_x_potent46_l2_3__affine_lad_lamb_0.05,,0.3894430982720697,0.760164463406688,0.8490014094893439,-0.0012638197541808838,-0.20706092420519218,1.051126444180532,0.05115710712867657,0.009379222217696445,0.03521284517935498,0.039041042995222236,0.04641191567316017,0.0861751332641047,0.10220526056704049,4.7727258278597615,0.7510212610839675,0.05964197187111821,0.12633883323940012,0.36446643593009664,0.9955646145143938,0.9951085433874897,0.9253143880486046,0.8958601767469908,0.9827912503540142,0.8225770526844088,0.8011602576683279,0.9763547838497267
importance_x_potent46_l2_3__affine_lad_lamb_0.1,,0.3894066769408253,0.7602015368330262,0.8490077240953313,-0.0013002410854252577,-0.19136819204611977,1.0474711493903677,0.04508716228167276,0.008271990858637047,0.0335883566826926,0.036445390751567885,0.043781673548988743,0.08128277370610827,0.09623435007424419,4.771101339363099,0.7484095828047829,0.06089087745376743,0.1276402705603193,0.36475082004436654,0.9955646145143936,0.9951085433874897,0.911948360462937,0.8795974234589393,0.9774234470911131,0.8054096734446221,0.7819597505233579,0.9645488406389835
importance_x_potent46_l2_3__affine_lad_lamb_0.3,,0.3894719596890988,0.7600896756665598,0.8490217487643698,-0.0012349583371517592,-0.14569996580275987,1.0373730722143093,0.037517226181472844,0.006469021688310999,0.031416219646191824,0.029289482374472264,0.03809390450585341,0.0699511396941931,0.08205483544544023,4.768929202326599,0.741194589121317,0.06378489468178973,0.13274415475857068,0.36785211348366165,0.9955646145143939,0.9951085433874897,0.8711198647485886,0.8300955909959726,0.961308183395453,0.7550551526926297,0.7249590060186134,0.9309409556551335
importance_x_potent46_l2_3__affine_lad_lamb_1.0,,0.38968482793681,0.7596641574781713,0.8490681930558512,-0.001022090089440597,-0.07181730031088182,1.0213368669193796,0.024111386144662253,0.0036002810184803066,0.029326214939155833,0.01802265279824364,0.03088626230274068,0.05327637998319883,0.060896569646041065,4.7668391976195625,0.729736851386454,0.06883464769849541,0.13631136447166556,0.37413655593562467,0.995564614514394,0.9951085433874897,0.7985931745378206,0.74492801698637,0.9349613087089396,0.6703624056295262,0.6314348640123332,0.8769871984884403
low_disagreement_l2_1,base,0.390614218374899,0.7600978233439558,0.8497345022838588,-0.000829776212590283,0.0,1.0,0.0,0.0,-0.0001649409243132977,0.0052644676668454305,0.004162589764140531,0.010651923796658198,0.02015367358738951,4.737348041756094,0.7147878204385311,0.09222935690014451,0.16621955480807912,0.3532872121589934,0.9955181522439606,0.9950473901802174,0.701676295686666,0.639760766519899,0.920159732975057,0.5640641590238106,0.5216277917150205,0.8249610758760292
