fold,epochs_run,best_val_mae,loss_start,loss_end,pretrain_val_loss,frozen_param_tensors,encoder_hidden_dim,target_mean,target_std,val_MAE,val_RAE,val_R2,val_Spearman_R,val_Kendall_Tau
0,61,0.5183327267998504,0.9751784971782139,0.23630560721669877,0.36472949385643005,4,256,4.306232452392578,1.1157569885253906,0.5183327227733792,0.5718214548663664,0.5978368168019734,0.7231598089078672,0.5335121680497055
1,63,0.4684343076440452,1.0209019950457983,0.2676551043987274,0.36472949385643005,4,256,4.348460674285889,1.103929042816162,0.46843430906854044,0.47153581575743647,0.7038997436897058,0.8005226658283855,0.6023417624538401
2,52,0.48776531775506216,0.9799693993159703,0.2565969356468746,0.36472949385643005,4,256,4.3286027908325195,1.1412564516067505,0.4877653199192816,0.5743054549363604,0.5938538436256732,0.7539500206729227,0.5656857477019288
3,30,0.4578436957975372,1.0015607816832406,0.31608438917568754,0.36472949385643005,4,256,4.28664493560791,1.145444393157959,0.4578436969543004,0.5872527562152344,0.5770090337353568,0.7070316353785951,0.5252633907562255
4,56,0.487519618359952,1.0212815233639307,0.25622313363211496,0.36472949385643005,4,256,4.334252834320068,1.098952293395996,0.4875196114871424,0.4853972363306652,0.6826770773443447,0.789615704901997,0.5903577488899724
