arch,lambda,cal_mae,d_m2,sp,d_sp,gate_strict,gate_relax
affine,0.0,0.3973978975905326,0.0012447469419615276,0.8444097855631771,-0.0006799427459068808,False,False
affine,0.05,0.3974864395635729,0.0013332889150017846,0.844339970346533,-0.0007497579625510564,False,False
affine,0.1,0.39715481155195237,0.001001660903381274,0.844408690279658,-0.0006810380294259843,False,False
affine,0.2,0.39740226725714356,0.0012491166085724648,0.8441421336832564,-0.000947594625827608,False,False
affine,0.5,0.3972372165294099,0.0010840658808388137,0.8441233702495481,-0.0009663580595359322,False,False
affine,1.0,0.39739430812856563,0.0012411574799945368,0.8441124629497228,-0.000977265359361268,False,False
affine,2.0,0.3992061984772857,0.003053047828714628,0.8445319004082789,-0.0005578279008051634,False,False
mono_mlp,0.0,0.3974987577623805,0.0013456071138093773,0.8443063490377619,-0.0007833792713221044,False,False
mono_mlp,0.05,0.397479675144736,0.0013265244961648825,0.8443026362126752,-0.0007870920964088146,False,False
mono_mlp,0.1,0.3973720471539949,0.0012188965054237832,0.8443162198771905,-0.0007735084318934993,False,False
mono_mlp,0.2,0.3973603845993691,0.0012072339507980256,0.8441946563976694,-0.00089507191141458,False,False
mono_mlp,0.5,0.3971105684742274,0.0009574178256562815,0.844142568205925,-0.0009471601031589838,False,False
mono_mlp,1.0,0.39731157364511394,0.0011584229965428405,0.8440865390428494,-0.0010031892662346609,False,False
mono_mlp,2.0,0.3991589953511247,0.003005844702553606,0.844533795660095,-0.0005559326489890104,False,False
