variant,ctx_dim,oof_mae,d_m2,oof_sp,d_sp,rho_with_base,inversions,all_pass
none,0,0.40561970037342987,0.009466549724858775,0.8418762263692333,-0.0032135019398507048,0.9976230052005272,146391,False
scaffold_cluster,50,0.44341165695017803,0.04725850630160694,0.7984942459757195,-0.046595482333364524,0.9446017513742908,731430,False
potency_bin,4,0.412639557118924,0.016486406470352932,0.8391262449364404,-0.00596348337264363,0.9944489420094903,250730,False
nn_potent46,1,0.4026711802681877,0.0065180296196166165,0.8425435233857047,-0.002546204923379314,0.998240009726235,134467,False
combo,55,0.4291853766064727,0.03303222595790162,0.8361991198211659,-0.008890608487918117,0.9910707323200632,315159,False
