seed,v2_cal_mae,v2_sp,d_m2,d_sp,q4_top500,q4_pooled_boltz,q4_optuna_t10,q4_family_share
42,0.39215662673893903,0.8480711176329289,-0.003996523909632066,0.002981389323844841,0.6625,0.19650000000000004,0.037500000000000006,0.7
7,0.39219503854163784,0.8479886980643035,-0.003958112106933254,0.002898969755219527,0.6375,0.198,0.0625,0.7
100,0.3921807000451242,0.8480246040886246,-0.00397245060344692,0.0029348757795405467,0.6699999999999999,0.16150000000000003,0.030000000000000006,0.7
314,0.39214476858557135,0.8480590640903286,-0.004008382062999749,0.0029693357812445864,0.6675,0.17650000000000005,0.03250000000000001,0.7
2026,0.3921145410993465,0.8480711066404173,-0.004038609549224581,0.002981378331333273,0.6675,0.20550000000000002,0.03250000000000001,0.7
