variant,cal_mae,d_m2,sp,d_sp,all_pass
by_potency_4bin,0.4003760816330891,0.004222930984517981,0.8437782421109674,-0.001311486198116607,False
by_nn_potent46_4bin,0.3988062951813855,0.0026531445328144,0.8435684586527167,-0.0015212696563673411,False
by_potency_x_nn_16bin,0.40465872920046897,0.008505578551897874,0.8411987166865438,-0.0038910116225402414,False
