member,global_w,global_mae,Q1_mae,Q2_mae,Q3_mae,Q4_mae,q_std,q_max_minus_min
tabpfn_cheme_2d_full_boltz_log2fc_pred_optuna_trial10_seed5ens_umap_default,0.33689320388349514,0.396052791873385,0.41888658554888003,0.4015722816117144,0.38921155386846423,0.37454074646448143,0.0162897017752114,0.0443458390843986
tabpfn_cheme_2d_full_boltz_log2fc_pred_seed10ens_top500_umap,0.2703883495145631,0.39675769064081023,0.42073950316019104,0.40218096103760353,0.3967877867325492,0.36732251163289725,0.019176612464888602,0.05341699152729379
tabpfn_chemprop_pretrain_embed_umap_default,0.15,0.4372576836080381,0.4641961975097656,0.43825254608928293,0.4335749111175537,0.41300707971555006,0.018223116397567532,0.05118911779421553
tabpfn_kermt_pretrain_embed_umap_default,0.10776699029126213,0.44853480390339223,0.47563149530530546,0.44070235580407474,0.4405548081697473,0.43725055633444115,0.015705035046644996,0.03838093897086431
tabpfn_molformer_c3_pretrain_embed_umap,0.040776699029126215,0.47528282552905843,0.5135984697295848,0.4637190593590482,0.4718856229091036,0.451928150118497,0.02323139646959321,0.061670319611087765
tabpfn_pooled_boltz_umap_default,0.03932038834951456,0.48607248774968626,0.5282716212249609,0.4920959642566921,0.48118632685159135,0.4427360386655006,0.03049168543571665,0.08553558255946025
tabpfn_pooled_boltz_allpairs_umap_default,0.03495145631067961,0.4860083343940095,0.5287153962084636,0.48421620451885716,0.484280417373215,0.446821319475502,0.029007381361332407,0.08189407673296162
tabpfn_gatedgcn_pretrain_embed_umap_default,0.017475728155339806,0.4740043258543765,0.5109915527491178,0.4679430518864434,0.4689827250789329,0.44809997370301213,0.022918583781547493,0.06289157904610565
tabpfn_attentivefp_pretrain_embed_umap_default,0.0024271844660194173,0.4843713908463874,0.5175126387831094,0.4859253614029447,0.47830706425910985,0.4557404989403859,0.022120472234924318,0.061772139842723506
