fold,epochs_run,best_val_mae,loss_start,loss_end,target_mean,target_std,node_dim,edge_dim,pretrained_tensors,val_MAE,val_RAE,val_R2,val_Spearman_R,val_Kendall_Tau
0,30,0.60270094871521,0.9225386083126068,0.35629014613536686,4.306232452392578,1.1157569885253906,9,3,6,0.6027009654991894,0.6648959785851479,0.495230635064857,0.6436047461360789,0.4605482246784933
1,52,0.5310335755348206,0.8310737300377625,0.2668071182874533,4.348460674285889,1.103929042816162,9,3,6,0.5310335132012884,0.5345494896388314,0.6217781313491528,0.7312668027563085,0.5335820583240609
2,31,0.5378122925758362,0.8301472732653985,0.3290187086050327,4.3286027908325195,1.1412564516067505,9,3,6,0.5378122696399114,0.6332318177869212,0.4838187349459042,0.6798957701670327,0.4925599759124065
3,25,0.5056286454200745,0.7946964169924076,0.38698608714800614,4.28664493560791,1.145444393157959,9,3,6,0.5056286728178085,0.6485441073208599,0.4789042178244943,0.6386043822040209,0.46236498322818154
4,46,0.549687385559082,0.8695369546230023,0.28622264701586503,4.334252834320068,1.098952293395996,9,3,6,0.549687391720139,0.5472943744208826,0.5816169687290416,0.7122318235528227,0.5171576758495148
