id,name,submission_path,oof_mae,oof_spearman,oof_residual_r,test_pearson_vs_id48,test_spearman_vs_id48,mean_abs_shift_vs_id48,p90_abs_shift_vs_id48,max_abs_shift_vs_id48,projection_on_id50_direction,cosine_vs_id50_direction,orthogonal_score
653,tabpfn_kermt_pretrain_embed_umap_default,track1_activity/submissions/tabpfn_kermt_pretrain_embed_umap_default.csv,0.4484,0.7891,0.5614451834009566,0.9456243780945123,0.9355796292977907,0.19482679634361608,0.3891984937570701,1.0479007774321474,-0.36781739859810264,-0.041535065821464934,0.10207908597861538
697,tabpfn_gatedgcn_pretrain_embed_umap_default,track1_activity/submissions/tabpfn_gatedgcn_pretrain_embed_umap_default.csv,0.4739,0.7642,0.5941613933593004,0.919921370019014,0.9085905323457802,0.22540595099210703,0.4782326368042529,1.2038978057867409,-0.6256653158967195,-0.05916385015670058,0.10167051096114389
1867,tabpfn_kermt_pretrain_embed_seed5ens_umap_default,track1_activity/submissions/tabpfn_kermt_pretrain_embed_seed5ens_umap_default.csv,0.4453,0.7961,0.5568236026606689,0.9523315022062875,0.9425329622898037,0.18631958887462882,0.3969358649738819,0.8337077774321475,-0.12141833838692707,-0.014439080872798316,0.09864210601621996
2067,tabpfn_chemprop_pretrain_optuna_trial10_embed_umap,track1_activity/submissions/tabpfn_chemprop_pretrain_optuna_trial10_embed_umap.csv,0.4334,0.8069,0.510934818492767,0.957126289616592,0.9607567958279292,0.16373910278191062,0.3534485944807013,0.9271543956280026,1.3464755578759249,0.17125546827009433,0.09273417274901058
462,tabpfn_pooled_boltz_allpairs_umap_default,track1_activity/submissions/tabpfn_pooled_boltz_allpairs_umap_default.csv,0.4859,0.7577,0.5987639675617084,0.8982301065280178,0.8777127847179558,0.2604845727954634,0.5364375779279562,1.1708289274638184,2.0413152257005653,0.1723281339956777,0.08847715628708508
463,tabpfn_pooled_boltz_umap_default,track1_activity/submissions/tabpfn_pooled_boltz_umap_default.csv,0.486,0.7539,0.5982344077740254,0.8941514507871553,0.8649519414010058,0.272222383499986,0.5446916113629474,1.2529860381553082,2.496181400329537,0.20721607564594904,0.08359373832670494
2209,tabpfn_chemprop_family_meta_umap,track1_activity/submissions/tabpfn_chemprop_family_meta_umap.csv,0.3976,0.8445,0.5419366542015875,0.9958759341864825,0.9952470269586093,0.08625277313458278,0.15315122463097505,0.26951839881950335,1.9071604222828669,0.5430631557552623,0.08332740612799723
756,tabpfn_pooled_boltz_ab_zonly_umap_default,track1_activity/submissions/tabpfn_pooled_boltz_ab_zonly_umap_default.csv,0.4893,0.7523,0.5945105071554305,0.8846660460737804,0.8810300795560563,0.26333356339678515,0.575241264889411,1.3954637927155327,2.3497774267313485,0.1874883330275803,0.0819355544647508
908,tabpfn_pooled_boltz_ab_nozmax_umap_default,track1_activity/submissions/tabpfn_pooled_boltz_ab_nozmax_umap_default.csv,0.4886,0.755,0.6007726191152168,0.8929972278127174,0.8732322456595446,0.26643234301139224,0.5582132569389621,1.360469838155308,2.660762843143986,0.21879994849507128,0.07946372470833234
2250,tabpfn_unimol_v2_log2fc_seed5ens_embed_umap_default,track1_activity/submissions/tabpfn_unimol_v2_log2fc_seed5ens_embed_umap_default.csv,0.4844,0.7528,0.6096195024854233,0.8983762918580859,0.8918190874803742,0.2683456874669083,0.5236973466712684,1.2392046322456194,3.081620904236052,0.2543868261244813,0.07941687720830133
754,tabpfn_boltz_raw_plus_pretrain_concat_umap_default,track1_activity/submissions/tabpfn_boltz_raw_plus_pretrain_concat_umap_default.csv,0.4818,0.7631,0.5914184218937434,0.9035845285338265,0.8879555025087038,0.25572947253332573,0.5116900023293551,1.4923621141269132,3.0397485658862333,0.2602352394144167,0.07910339635664461
512,gatedgcn_pretrain_finetune_frozen_umap,track1_activity/submissions/gatedgcn_pretrain_finetune_frozen_umap.csv,0.5076,0.7424,0.612023172252779,0.8880323133188558,0.8592018510933627,0.2802080737239647,0.5858219695485186,1.1120113057867416,1.0167366539402043,0.08180134002921435,0.07662847198611861
751,tabpfn_boltz_trunk_pretrain_embed_c_concat_umap_default,track1_activity/submissions/tabpfn_boltz_trunk_pretrain_embed_c_concat_umap_default.csv,0.485,0.7612,0.5932911730738312,0.9010658913749577,0.8867693258356658,0.25769678626872994,0.5299251900127155,1.6386387141269134,3.2698616128885067,0.2749737300120785,0.0760815567707826
558,tabpfn_chemprop_pretrain_embed_umap_default,track1_activity/submissions/tabpfn_chemprop_pretrain_embed_umap_default.csv,0.4371,0.8073,0.5402492791109639,0.973394651297368,0.9715469592634312,0.1417248988063394,0.3083836124892006,0.6498764376088815,1.1180773679826002,0.17297255592490204,0.0754900770466792
2241,tabpfn_unimol_v2_pec50_ft_embed_umap_default,track1_activity/submissions/tabpfn_unimol_v2_pec50_ft_embed_umap_default.csv,0.5056,0.7291,0.6401353417942051,0.8946513848610622,0.9066570065931693,0.24914138652113194,0.5328438785823914,1.4668984861849825,1.4683761113227707,0.12182110704536912,0.07473341115634961
1888,tabpfn_cheme_2d_full_boltz_log2fc_pred_optuna_trial10_seed5ens_umap_default,track1_activity/submissions/tabpfn_cheme_2d_full_boltz_log2fc_pred_optuna_trial10_seed5ens_umap_default.csv,0.3959,0.8425,0.5541879481290205,0.9877969430782002,0.9876394079800671,0.11772968600401541,0.22315850209695612,0.6415164997402303,3.689667543657189,0.727347550477216,0.0729517877651476
1826,tabpfn_cheme_2d_full_boltz_log2fc_pred_seed15ens_umap_default,track1_activity/submissions/tabpfn_cheme_2d_full_boltz_log2fc_pred_seed15ens_umap_default.csv,0.4058,0.8376,0.5525592622081341,0.992252552373956,0.9919700861264708,0.10246837533272012,0.20329727148840074,0.4736623997402303,2.8180275602782654,0.6360595723391106,0.07171780451660689
909,tabpfn_cconcat_2d_full_boltz_log2fc_pred_umap_default,track1_activity/submissions/tabpfn_cconcat_2d_full_boltz_log2fc_pred_umap_default.csv,0.4331,0.8097,0.5646920237539075,0.9585561721763576,0.9492001940281095,0.17963622723268394,0.3828571350830796,0.819465541893849,3.3513123474084163,0.41407525095803777,0.0712379798049046
910,tabpfn_cheme_cconcat_2d_full_boltz_log2fc_pred_umap_default,track1_activity/submissions/tabpfn_cheme_cconcat_2d_full_boltz_log2fc_pred_umap_default.csv,0.4369,0.8061,0.5703355756913937,0.954280072765424,0.9448774944819899,0.18608755307856248,0.3816447483129504,0.8307262418938492,3.3865353022221525,0.4061450660037571,0.07123282315078319
753,tabpfn_boltz_trunk_pretrain_embed_c_concat_t8p25_umap_default,track1_activity/submissions/tabpfn_boltz_trunk_pretrain_embed_c_concat_t8p25_umap_default.csv,0.4903,0.7573,0.5999805875779072,0.9017865321282874,0.8792510367601887,0.26143091099327,0.5386605802657044,1.4941636758204928,3.174374896727148,0.2661615041682575,0.07094110068457571
1608,tabpfn_cheme_2d_full_boltz_log2fc_pred_seed10ens_umap_default,track1_activity/submissions/tabpfn_cheme_2d_full_boltz_log2fc_pred_seed10ens_umap_default.csv,0.4055,0.838,0.5532098459237469,0.9924458416139141,0.9924996657906117,0.10518517306916624,0.20481426106870873,0.4474348997402302,2.919080887442344,0.646927008299081,0.07075964605027908
634,tabpfn_molformer_c3_pretrain_embed_umap,track1_activity/submissions/tabpfn_molformer_c3_pretrain_embed_umap.csv,0.4752,0.762,0.5471480031062809,0.9117835359438883,0.9133491013211369,0.2657387153726996,0.5491711251798332,1.3058526135358255,3.8581971685626226,0.3202511878010025,0.0691197180630315
906,tabpfn_pooled_boltz_ab_zmean_umap_default,track1_activity/submissions/tabpfn_pooled_boltz_ab_zmean_umap_default.csv,0.4897,0.7516,0.6028455323513456,0.8901962639508071,0.8876888460816439,0.26974735875606054,0.5672655553573006,1.5380937274638184,3.6051188001302474,0.29188836384401257,0.0688538648235763
2243,tabpfn_unimol_v2_log2fc_real_embed_umap_default,track1_activity/submissions/tabpfn_unimol_v2_log2fc_real_embed_umap_default.csv,0.4885,0.7483,0.6186067025750109,0.8922837340024111,0.8911720012173755,0.28146885381023856,0.5502991346316002,1.254671036346072,3.715424429730119,0.29567865452618886,0.06871637862649406
1237,tabpfn_unimol_v2_pretrain_embed_umap_default,track1_activity/submissions/tabpfn_unimol_v2_pretrain_embed_umap_default.csv,0.4885,0.7483,0.6186067025750109,0.8922837340024111,0.8911720012173755,0.28146885381023856,0.5502991346316002,1.254671036346072,3.715424429730119,0.29567865452618886,0.06871637862649406
1511,tabpfn_cheme_2d_full_boltz_log2fc_pred_seed5ens_umap_default,track1_activity/submissions/tabpfn_cheme_2d_full_boltz_log2fc_pred_seed5ens_umap_default.csv,0.4068,0.8357,0.5543181599564604,0.9916164764969696,0.9920544384428973,0.11079552089278384,0.2135712894242552,0.39616129775362374,3.155466806134919,0.6716653900408767,0.06781294502382554
