alpha,mae,rae,spearman,delta_mae,delta_spearman
-0.04999999999999999,0.394482334908399,0.43353054725105716,0.8478541390685147,-2.5332145862866362e-05,4.27435356277206e-05
-0.07499999999999996,0.39448326232608394,0.4335315664700713,0.8478664193105263,-2.440472817794026e-05,5.50237776393292e-05
-0.024999999999999967,0.394489129543289,0.43353801445939977,0.8478359790166267,-1.853751097286027e-05,2.458348373968189e-05
-0.09999999999999998,0.3944925853676457,0.4335418123618455,0.8478420572836156,-1.50816866161807e-05,3.066175072863331e-05
0.0,0.3945076670542619,0.43355838692367904,0.847811395532887,0.0,0.0
-0.125,0.3945167129008978,0.4335683281821218,0.8478016373112586,9.045846635913346e-06,-9.75822162840867e-06
0.025000000000000022,0.39453343211883557,0.43358670236788566,0.8477614440383131,2.5765064573690655e-05,-4.995149457387438e-05
-0.14999999999999997,0.39454880624938127,0.43360359832149165,0.8477644055054853,4.113919511938846e-05,-4.699002740171654e-05
0.050000000000000044,0.3945652773059162,0.4336216997813581,0.8477212007917188,5.761025165429423e-05,-9.019474116822579e-05
-0.175,0.39458928392597814,0.4336480827197362,0.8477406553386797,8.161687171626131e-05,-7.074019420727495e-05
0.07500000000000007,0.3946012969881875,0.4336612849064323,0.8476834040554092,9.3629933925643e-05,-0.0001279914774777735
-0.19999999999999996,0.3946403915250552,0.4337042492535347,0.8476792635145352,0.00013272447079332172,-0.00013213201835182709
0.10000000000000009,0.39464616163160987,0.43371059051962185,0.8476050513778303,0.00013849457734799175,-0.00020634415505671466
-0.22499999999999998,0.3946960176666987,0.4337653816021702,0.8476210164788327,0.00018835061243682727,-0.00019037905405427935
0.125,0.394699055691056,0.4337687203482829,0.8475357215228563,0.00019138863679413198,-0.000275674010030702
0.15000000000000002,0.3947561407780318,0.43383145605735396,0.8474641276332898,0.0002484737237699042,-0.000347267899597159
-0.25,0.39476148334868283,0.43383732746748593,0.8475679693238878,0.0002538162944209499,-0.00024342620899919787
0.17500000000000004,0.3948226620680198,0.43390456202104444,0.847362024873463,0.0003149950137579238,-0.00044937065942396437
-0.275,0.39483731315057796,0.4339206633550642,0.8474910066916745,0.000329646096316083,-0.0003203888412124378
0.20000000000000007,0.3948966720584638,0.43398589796138937,0.8472727666942799,0.0003890050042019144,-0.0005386288386071136
-0.3,0.39492152656365787,0.43401321271362264,0.8473927982404629,0.00041385950939598626,-0.0004185972924241055
0.2250000000000001,0.3949773105094375,0.4340745184867881,0.8471774463140864,0.000469643455175639,-0.0006339492188005558
-0.32499999999999996,0.39501220804513937,0.43411287038853813,0.8472911420302788,0.0005045409908774889,-0.0005202535026082034
0.25,0.3950659924566154,0.4341719787015788,0.8470532383745302,0.00055832540235351,-0.0007581571583568092
-0.35,0.3951084390104751,0.43421862686829077,0.8471881925088308,0.0006007719562132197,-0.0006232030240561626
0.275,0.3951633709708314,0.4342789963214384,0.8469443581394215,0.0006557039165694944,-0.0008670373934654974
-0.375,0.395211937296129,0.43433237003103464,0.8470876046016549,0.0007042702418671443,-0.0007237909312320934
0.30000000000000004,0.3952647541034849,0.4343904149607331,0.846822228714686,0.0007570870492230042,-0.0009891668182009372
-0.4,0.39532558867047324,0.43445727129569267,0.8469708446805859,0.000817921616211359,-0.0008405508523010585
0.32500000000000007,0.3953806312917606,0.43451776236364975,0.8466893461614681,0.000872964237498719,-0.0011220493714189095
-0.425,0.3954427693420789,0.43458605120848703,0.8468391113521727,0.0009351022878170134,-0.0009722841807142668
0.3500000000000001,0.39550814190761097,0.4346578947401294,0.8465594486670434,0.001000474853349087,-0.0012519468658436228
-0.45,0.39557211248672136,0.43472819750837915,0.8467115846888184,0.001064445432459482,-0.0010998108440686272
0.375,0.39564556502980447,0.4348089208219014,0.8464252035497385,0.00113789797554259,-0.0013861919831484881
-0.475,0.39570678717605257,0.4348762031010255,0.8465742906715953,0.0011991201217906866,-0.0012371048612916935
0.4,0.3957946212958195,0.4349727315653957,0.8462819243636437,0.001286954241557614,-0.0015294711692432905
-0.5,0.3958503958689367,0.4350340270381367,0.8463939371263162,0.0013427288146748428,-0.0014174584065708151
0.42500000000000004,0.3959512377629522,0.43514485086376764,0.8461067512508321,0.0014435707086903338,-0.0017046442820548569
0.45000000000000007,0.39611976340673244,0.4353300581800619,0.8459141145885766,0.00161209635247056,-0.0018972809443104088
0.4750000000000001,0.39629993170810246,0.43552806061357613,0.8457381150080113,0.0017922646538405806,-0.0020732805248756536
0.5,0.3964903073980111,0.43573728082377533,0.845540519877464,0.0019826403437492313,-0.0022708756554229437
