alpha,mae,rae,spearman,delta_mae,delta_spearman
0.15000000000000002,0.3943958097905111,0.43343545736137273,0.8474916987125563,-0.00011185726375079197,-0.0003196968203307282
0.125,0.3943987270427252,0.4334386633805957,0.8475552204626524,-0.00010894001153666233,-0.00025617507023456554
0.17500000000000004,0.3944010977615808,0.4334412687673314,0.8474123099484839,-0.00010656929268110238,-0.0003990855844030472
0.10000000000000009,0.394409836862201,0.4334508729162098,0.8476383795736325,-9.783019206088817e-05,-0.00017301595925445223
0.20000000000000007,0.3944147539741175,0.43345627675316634,0.8473313244798282,-9.291308014436339e-05,-0.00048007105305880593
0.07500000000000007,0.39442726653351057,0.433470027880254,0.8476826456566693,-8.040052075131143e-05,-0.00012874987621769307
0.2250000000000001,0.39443824385472703,0.4334820918021415,0.8472491546948887,-6.942319953484599e-05,-0.0005622408379982735
0.050000000000000044,0.39444945031731315,0.43349440754717694,0.8477358835739688,-5.821673694872409e-05,-7.551195891819518e-05
0.25,0.39446648759538644,0.43351313127656393,0.8471463215249477,-4.1179458875439945e-05,-0.0006650740079392481
0.025000000000000022,0.39447653719580494,0.4335241756463203,0.8477749477468615,-3.112985845693528e-05,-3.644778602551746e-05
0.275,0.3945038404339224,0.4335541815216545,0.8470350512641522,-3.826620339486553e-06,-0.000776344268734741
0.0,0.3945076670542619,0.43355838692367904,0.847811395532887,0.0,0.0
-0.024999999999999967,0.39454369260204536,0.43359797849486875,0.8478266458669647,3.602554778348033e-05,1.525033407767662e-05
0.30000000000000004,0.3945545042207375,0.4336098603120086,0.846930037687264,4.683716647563285e-05,-0.0008813578456229321
-0.04999999999999999,0.39458912964655607,0.43364791316881746,0.8478253550078761,8.146259229419028e-05,1.3959474989166942e-05
0.32500000000000007,0.39461009600041713,0.4336709548973282,0.8468138965600381,0.000102428946155253,-0.0009974989728488426
-0.07499999999999996,0.3946420402046735,0.4337060611292866,0.8478172558099156,0.00013437315041164855,5.860277028646443e-06
0.3500000000000001,0.39467383913680165,0.43374100770921575,0.8467121626412533,0.00016617208253977278,-0.0010992328916337168
-0.09999999999999998,0.3947042315536186,0.4337744085485664,0.8478161054858596,0.00019656449935673281,4.709952972636877e-06
0.375,0.394744473707067,0.4338186341101776,0.8465839064979201,0.0002368066528051216,-0.0012274890349668333
-0.125,0.3947749902206522,0.43385217133013415,0.8478030736097306,0.00026732316639033193,-8.321923156362487e-06
0.4,0.3948222764519262,0.43390413823437185,0.8464549061615544,0.0003146093976643116,-0.001356489371332592
-0.14999999999999997,0.3948550535017485,0.43394015975191347,0.8478255193882028,0.0003473864474866084,1.4123855315850697e-05
0.42500000000000004,0.3949091316435623,0.4339995908704711,0.8463324248918912,0.0004014645893004043,-0.0014789706409957804
-0.175,0.39494300377352615,0.4340368158657125,0.8477984924382587,0.00043533671926426765,-1.2903094628313738e-05
0.45000000000000007,0.3950042809647303,0.4341041586384704,0.8462140127117767,0.000496613910468402,-0.001597382821110327
-0.19999999999999996,0.39504049467980495,0.4341439570028711,0.847786145649273,0.0005328276255430753,-2.524988361396474e-05
0.4750000000000001,0.3951074152812894,0.4342175018042896,0.8460758214519369,0.000599748227027519,-0.001735574080950042
-0.22499999999999998,0.3951472702235935,0.43426130182628997,0.8477330402340169,0.0006396031693316484,-7.835529887012527e-05
0.5,0.3952228940070932,0.43434441130254425,0.8459351310868727,0.0007152269528313271,-0.0018762644460142974
-0.25,0.39526235872086735,0.43438778246886933,0.8476873894327546,0.000754691666605467,-0.0001240061001324122
-0.275,0.39538762999110005,0.43452545383595714,0.8476261268974574,0.0008799629368381745,-0.00018526863542955851
-0.3,0.39551805174267907,0.4346687855097281,0.8475510567529464,0.0010103846884171874,-0.0002603387799405832
-0.32499999999999996,0.3956514907866292,0.4348154331454499,0.847503028440549,0.0011438237323673217,-0.0003083670923379467
-0.35,0.39578965990444565,0.4349672790659373,0.8474445089596755,0.0012819928501837663,-0.000366886573211489
-0.375,0.39593782475184075,0.43513011015288433,0.8473702590256422,0.001430157697578871,-0.00044113650724475484
-0.4,0.3960915644294016,0.435299067899909,0.8472709306911758,0.0015838973751396979,-0.000540464841711219
-0.425,0.396252315702296,0.43547573129175754,0.8471712939744811,0.0017446486480341417,-0.0006401015584058811
-0.45,0.3964223964835772,0.4356626476823301,0.8470656756403416,0.0019147294293153094,-0.000745719892545349
-0.475,0.39660225047401726,0.43586030469254544,0.8469627565596947,0.0020945834197553803,-0.0008486389731923172
-0.5,0.39678855119839995,0.436065046572847,0.8468559818978968,0.0022808841441380734,-0.0009554136349901876
