feature,ridge_coef
mean_shift_vs_id48,-0.013086433943529048
pc2,-0.0023594617214534744
cosine_vs_id50_direction,-0.0003202232390063048
max_abs_shift_vs_id48,0.0024811764911431776
pc3,0.005543986838591876
p90_abs_shift_vs_id48,0.007547823405367388
projection_on_id50_direction,0.009096141300571957
mean_abs_shift_vs_id48,0.009537675893256237
pc1,0.011828565148275915
