candidate,path,single_mae,single_sp,residual_r_vs_current_ensemble,decision,reasons
oof_cheme_proj64_kron,track1_activity/submissions/krovex_dimsweep/oof_cheme_proj64_kron.npy,0.5481577495581875,0.7011735788236079,0.747627052189207,close,weak_single
oof_cheme_proj32_kron,track1_activity/submissions/krovex_dimsweep/oof_cheme_proj32_kron.npy,0.5516314776477045,0.6951324100093423,0.7454266186236231,close,weak_single
oof_cheme_proj32_concat,track1_activity/submissions/krovex_dimsweep/oof_cheme_proj32_concat.npy,0.5532680032452537,0.7204297624481596,0.7773300763505825,close,weak_single
oof_cheme_proj64_concat,track1_activity/submissions/krovex_dimsweep/oof_cheme_proj64_concat.npy,0.5553764856636827,0.7188982672733409,0.7774998943100231,close,weak_single
oof_cheme300_concat,track1_activity/submissions/krovex_grid/oof_cheme300_concat.npy,0.5580154329985251,0.7083050222498036,0.7584847490730032,close,weak_single
oof_cheme_raw_concat,track1_activity/submissions/krovex_dimsweep/oof_cheme_raw_concat.npy,0.5580154329985251,0.7083050222498036,0.7584847490730032,close,weak_single
phaseA_kan_only_oof,track1_activity/submissions/umsgfnet_fp_kan/phaseA_kan_only_oof.npy,0.561442212725954,0.6811949381686041,0.7412639887984904,close,weak_single
oof_kron,track1_activity/submissions/krovex/oof_kron.npy,0.5627130323093308,0.6912519227570971,0.7462673371116044,close,weak_single
phaseA_fused_alpha_oof,track1_activity/submissions/umsgfnet_fp_kan/phaseA_fused_alpha_oof.npy,0.5629060744574694,0.6723743522664918,0.7323095632178246,close,weak_single
phase_b1_a5_mlp_only_oof,track1_activity/submissions/umsgfnet_fp_kan/phase_b1_a5_mlp_only_oof.npy,0.5677423209041803,0.69500569056754,0.7248291641934481,close,weak_single
phase_b2_a5_mlp_only_oof,track1_activity/submissions/umsgfnet_fp_kan/phase_b2_a5_mlp_only_oof.npy,0.570427299308663,0.6907917820576345,0.738125661765282,close,weak_single
phaseA5_mlp_only_oof,track1_activity/submissions/umsgfnet_fp_kan/phaseA5_mlp_only_oof.npy,0.576400556212233,0.6930525235965047,0.7309300431528722,close,weak_single
oof_concat,track1_activity/submissions/krovex/oof_concat.npy,0.58190045501564,0.6837112741111036,0.7491550124582763,close,weak_single
oof_z_only,track1_activity/submissions/krovex/oof_z_only.npy,0.5877050237083218,0.6947826640593934,0.7558154107367333,close,weak_single
oof_hg_only,track1_activity/submissions/krovex/oof_hg_only.npy,0.7934815983268964,0.3613772175891211,0.5568863004416668,close,weak_single
phaseA_mlp_only_oof,track1_activity/submissions/umsgfnet_fp_kan/phaseA_mlp_only_oof.npy,1.0310616204136223,0.5527171803825575,0.07896812807127761,close,weak_single
