label,k,alpha,gamma,clip,oof_mae,oof_delta_mae,oof_spearman,oof_delta_spearman,oof_resid_std,test_resid_std,test_mean_shift,test_mean_abs_shift,test_p90_abs_shift,test_max_abs_shift,test_gt_005,test_gt_010,test_gt_020
k8_a0p5_g0p25_c0p06,8,0.5,0.25,0.06,0.3912245793381402,-0.0002194152493490975,0.848743987191836,-0.00028674160890151956,0.06343311123286723,0.05321498591302426,0.01364265732313751,0.014815080391675917,0.02852490458887491,0.06000000000000005,11,0,0
k16_a0p5_g0p25_c0p06,16,0.5,0.25,0.06,0.3913063533372104,-0.00013764125027887486,0.8489466640759203,-8.406472481714555e-05,0.04812028375386364,0.04459693384553734,0.009341333739419729,0.011878759635756547,0.02342259078853175,0.05999999999999961,1,0,0
k8_a0p5_g0p25_c0p03,8,0.5,0.25,0.03,0.39131148843080615,-0.00013250615668314314,0.8487670462678957,-0.00026368253284181353,0.06343311123286723,0.05321498591302426,0.012544004959369913,0.013710585711243173,0.02852490458887491,0.03000000000000025,0,0,0
k16_a0p5_g0p25_c0p03,16,0.5,0.25,0.03,0.39134517360456816,-9.882098292113284e-05,0.8489556737920692,-7.505500866833437e-05,0.04812028375386364,0.04459693384553734,0.009146919526511326,0.01168434542284814,0.02342259078853175,0.03000000000000025,0,0,0
k32_a0p5_g0p25_c0p06,32,0.5,0.25,0.06,0.3914018653774664,-4.212921002288983e-05,0.849096599735112,6.58709343744901e-05,0.035377036856983464,0.035704261395009894,0.004644154515812587,0.00803253263707667,0.01576126670586735,0.03927506076725429,0,0,0
k16_a0p85_g0p25_c0p03,16,0.85,0.25,0.03,0.3914058985225272,-3.8096064962078735e-05,0.8488848781279574,-0.0001458506727800568,0.08762491176603114,0.09867011773650172,0.01698612046915493,0.02156827420497847,0.03000000000000025,0.03000000000000025,0,0,0
k16_a0p5_g0p5_c0p03,16,0.5,0.5,0.03,0.3914067137626745,-3.728082481480044e-05,0.8488516733865159,-0.000179055414221585,0.04812028375386364,0.04459693384553734,0.014816147919868426,0.019607931195272106,0.03000000000000025,0.03000000000000025,0,0,0
k32_a0p5_g0p25_c0p03,32,0.5,0.25,0.03,0.39141205667273016,-3.193791475913921e-05,0.849090995414487,6.0266613749471176e-05,0.035377036856983464,0.035704261395009894,0.004613593973833282,0.008001972095097365,0.01576126670586735,0.03000000000000025,0,0,0
k8_a0p85_g0p25_c0p06,8,0.85,0.25,0.06,0.39143092126352697,-1.3073323962331518e-05,0.8482607511410257,-0.0007699776597117625,0.11980529604452175,0.14798174257800073,0.036122219542937685,0.03895741446654506,0.05999999999999961,0.06000000000000005,199,0,0
k16_a0p85_g0p25_c0p06,16,0.85,0.25,0.06,0.3914349591488271,-9.03543866220824e-06,0.8487538575370824,-0.0002768712636550541,0.08762491176603114,0.09867011773650172,0.02219695982427001,0.026999864256491472,0.054971362939217984,0.06000000000000005,62,0,0
k16_a0p5_g0p5_c0p06,16,0.5,0.5,0.06,0.39145112181782277,7.12723033347018e-06,0.8486501995905431,-0.00038052921019438024,0.04812028375386364,0.04459693384553734,0.018293839053022655,0.023368690845696274,0.04684518157706332,0.06000000000000005,37,0,0
k32_a0p85_g0p25_c0p06,32,0.85,0.25,0.06,0.39148240613025415,3.841154276484904e-05,0.848988213232888,-4.251556784951038e-05,0.06348609563854,0.06818919544916067,0.009666150913086936,0.0157610163715896,0.031803985244287694,0.05999999999999961,5,0,0
k32_a0p5_g0p5_c0p06,32,0.5,0.5,0.06,0.39148928355586826,4.528896837896479e-05,0.8489868248786778,-4.390392205966265e-05,0.035377036856983464,0.035704261395009894,0.009227187947666587,0.016003944190194724,0.031522533411735235,0.05999999999999961,7,0,0
k32_a0p85_g0p25_c0p03,32,0.85,0.25,0.03,0.39152680840015164,8.281381266234122e-05,0.848984360273028,-4.6368527709450547e-05,0.06348609563854,0.06818919544916067,0.008870626350638084,0.014839532279031106,0.029999999999999805,0.03000000000000025,0,0,0
k8_a0p5_g0p5_c0p06,8,0.5,0.5,0.06,0.3915301633681295,8.616878064021671e-05,0.848131779807979,-0.0008989489927584415,0.06343311123286723,0.05321498591302426,0.025088009918739787,0.027421171422486297,0.05704980917775,0.06000000000000005,82,0,0
k32_a0p5_g0p5_c0p03,32,0.5,0.5,0.03,0.39153138434842116,8.738976093186634e-05,0.8490017736797075,-2.8955121029961006e-05,0.035377036856983464,0.035704261395009894,0.008399916529208833,0.014972960665033674,0.029999999999999805,0.03000000000000025,0,0,0
k8_a0p85_g0p25_c0p03,8,0.85,0.25,0.03,0.39154516691391283,0.00010117232642353757,0.8484498088106325,-0.000580919990105011,0.11980529604452175,0.14798174257800073,0.02288791448660052,0.024944180363126518,0.03000000000000025,0.03000000000000025,0,0,0
k8_a0p5_g0p5_c0p03,8,0.5,0.5,0.03,0.3915627871037099,0.0001187925162206005,0.8483799942704564,-0.000650734530281083,0.06343311123286723,0.05321498591302426,0.019428511327655273,0.02135985840624137,0.03000000000000025,0.03000000000000025,0,0,0
k32_a0p5_gm0p25_c0p03,32,0.5,-0.25,0.03,0.39160560069716427,0.00016160610967497213,0.8488567323940096,-0.0001739964067278832,0.035377036856983464,0.035704261395009894,-0.004613593973833282,0.008001972095097365,0.01576126670586735,0.03000000000000025,0,0,0
k32_a0p5_gm0p25_c0p06,32,0.5,-0.25,0.06,0.3916157919924281,0.00017179740493877826,0.8488518490975853,-0.0001788797031522238,0.035377036856983464,0.035704261395009894,-0.004644154515812587,0.00803253263707667,0.01576126670586735,0.03927506076725429,0,0,0
k16_a0p85_g0p5_c0p03,16,0.85,0.5,0.03,0.3916514238452671,0.00020742925777778032,0.8485816129139084,-0.00044911588682905457,0.08762491176603114,0.09867011773650172,0.018929581141469587,0.02581366123352974,0.03000000000000025,0.03000000000000025,0,0,0
