rank,username,Submitted,model_report_link,MAE,RAE,R2,Spearman ρ,Kendall's τ,Proprietary Data
1,MirthEngine,2026-04-04 03:13 UTC,,0.46±0.03,0.58±0.03,0.61±0.04,0.81±0.02,0.60±0.02,No
2,Radi,2026-04-04 13:43 UTC,exp09,0.47±0.03,0.59±0.03,0.54±0.04,0.81±0.02,0.62±0.02,No
3,N1NC1O,2026-04-01 23:28 UTC,,0.48±0.03,0.60±0.03,0.52±0.04,0.79±0.03,0.61±0.03,No
4,N283T,2026-04-04 15:02 UTC,,0.50±0.03,0.62±0.03,0.52±0.04,0.78±0.03,0.58±0.03,No
5,jaybirdy,2026-04-04 12:51 UTC,sc_proxy_blend_a375_k119_retry,0.51±0.03,0.64±0.04,0.51±0.05,0.74±0.03,0.55±0.03,No
6,Queimo,2026-04-03 12:46 UTC,,0.51±0.03,0.64±0.03,0.47±0.05,0.76±0.03,0.56±0.03,No
7,gnn_baseline,2026-04-03 15:46 UTC,,0.52±0.04,0.65±0.03,0.42±0.06,0.75±0.03,0.56±0.03,No
8,axelrolov,2026-04-04 07:32 UTC,https://github.com/AxelRolov/moltabfm_pxr,0.52±0.04,0.65±0.03,0.46±0.05,0.76±0.03,0.56±0.03,No
9,suspenders,2026-04-03 20:05 UTC,,0.53±0.04,0.67±0.03,0.41±0.05,0.76±0.03,0.56±0.03,No
10,MolTabICL,2026-04-02 16:05 UTC,,0.53±0.04,0.67±0.03,0.44±0.05,0.75±0.03,0.55±0.03,No
11,gtc1,2026-04-04 04:15 UTC,,0.54±0.03,0.67±0.03,0.47±0.04,0.76±0.03,0.56±0.03,No
12,ubiqtuitin,2026-04-04 04:58 UTC,,0.54±0.03,0.68±0.03,0.46±0.05,0.73±0.03,0.53±0.03,No
13,ChemBro,2026-04-04 06:58 UTC,,0.56±0.03,0.70±0.03,0.44±0.04,0.75±0.03,0.55±0.03,No
14,discoverybytes,2026-04-04 02:38 UTC,,0.57±0.03,0.71±0.04,0.44±0.04,0.72±0.03,0.53±0.03,No
15,openadmet-lgbm-baseline,2026-03-31 11:02 UTC,,0.58±0.03,0.73±0.04,0.40±0.05,0.68±0.03,0.49±0.03,No
16,trial-0,2026-04-03 21:44 UTC,,0.58±0.03,0.73±0.04,0.41±0.05,0.68±0.03,0.49±0.03,No
17,Takuya Suzuoka,2026-04-04 12:21 UTC,,0.58±0.03,0.73±0.04,0.41±0.05,0.68±0.03,0.49±0.03,No
18,CanaryGumball,2026-04-01 11:29 UTC,xgb_ecfp4_baseline,0.59±0.04,0.74±0.03,0.28±0.05,0.61±0.05,0.44±0.04,No
19,Asidsal11,2026-04-03 05:48 UTC,,0.61±0.04,0.76±0.04,0.31±0.05,0.66±0.03,0.47±0.03,No
20,lin-reg,2026-04-04 06:27 UTC,,0.63±0.03,0.79±0.04,0.37±0.04,0.68±0.03,0.49±0.03,No
21,APML-team,2026-04-03 12:50 UTC,,0.64±0.04,0.81±0.03,0.31±0.04,0.62±0.04,0.43±0.03,No
22,asidsal11,2026-04-04 14:04 UTC,,0.65±0.05,0.81±0.04,0.16±0.07,0.61±0.04,0.43±0.03,No
23,W1175,2026-04-04 06:57 UTC,,0.81±0.06,1.02±0.06,-0.33±0.14,0.33±0.07,0.24±0.05,No
24,,2026-04-03 22:27 UTC,,1.64±0.08,2.07±0.18,-3.18±0.58,0.66±0.04,0.47±0.03,No
25,modeling1213,2026-04-03 23:45 UTC,,2.03±0.12,2.56±0.22,-6.66±1.03,0.65±0.04,0.51±0.04,No
