compound,template_pdb,template_ccd,template_chain,mcs_atoms,posit_probability,posit_method,ca_rmsd,out_pdb,error
x01287-1,4NY9,2Q4,A,7.0,0.009999999776482582,FRED,0.7356089660105776,structures/boltz2_track2/redock_posit/x01287-1/x01287-1_posit.pdb,
x01295-1,5A86,D7E,A,11.0,0.18000000715255737,HYBRID,0.5924508406079659,structures/boltz2_track2/redock_posit/x01295-1/x01295-1_posit.pdb,
x01306-1,1NRL,SRL,A,6.0,0.009999999776482582,FRED,0.5957761094080627,structures/boltz2_track2/redock_posit/x01306-1/x01306-1_posit.pdb,
x01325-1,6TFI,N6H,B,9.0,0.009999999776482582,FRED,0.6322539518449843,structures/boltz2_track2/redock_posit/x01325-1/x01325-1_posit.pdb,
x01334-1,6HTY,GRH,B,9.0,0.23999999463558197,FRED,0.7660319163875445,structures/boltz2_track2/redock_posit/x01334-1/x01334-1_posit.pdb,
x01358-1,6DUP,HCJ,A,12.0,0.05000000074505806,FRED,0.6232973457123291,structures/boltz2_track2/redock_posit/x01358-1/x01358-1_posit.pdb,
x01378-1,6HJ2,P06,A,11.0,0.17000000178813934,HYBRID,0.37455968532041634,structures/boltz2_track2/redock_posit/x01378-1/x01378-1_posit.pdb,
x01382-1,7AXD,S6W,A,8.0,0.14000000059604645,HYBRID,0.3959586448148042,structures/boltz2_track2/redock_posit/x01382-1/x01382-1_posit.pdb,
x01401-1,7AXF,S6T,A,7.0,0.009999999776482582,FRED,0.9891272150730362,structures/boltz2_track2/redock_posit/x01401-1/x01401-1_posit.pdb,
x01411-1,1NRL,SRL,A,6.0,0.019999999552965164,FRED,0.5911224654375045,structures/boltz2_track2/redock_posit/x01411-1/x01411-1_posit.pdb,
x01415-1,6S41,KUB,A,12.0,0.17000000178813934,HYBRID,0.6489961631245069,structures/boltz2_track2/redock_posit/x01415-1/x01415-1_posit.pdb,
x01438-1,6HTY,GRH,B,10.0,0.009999999776482582,FRED,0.7187215039003608,structures/boltz2_track2/redock_posit/x01438-1/x01438-1_posit.pdb,
x01464-1,6TFI,N6H,B,9.0,0.009999999776482582,FRED,0.6323034257565802,structures/boltz2_track2/redock_posit/x01464-1/x01464-1_posit.pdb,
x01502-1,6S41,KUB,A,9.0,0.019999999552965164,FRED,0.6831699341531797,structures/boltz2_track2/redock_posit/x01502-1/x01502-1_posit.pdb,
x01511-1,6BNS,XGH,A,10.0,0.019999999552965164,FRED,0.6212080249392224,structures/boltz2_track2/redock_posit/x01511-1/x01511-1_posit.pdb,
x02691-1,5A86,D7E,A,9.0,0.23999999463558197,FRED,0.5616643809581142,structures/boltz2_track2/redock_posit/x02691-1/x02691-1_posit.pdb,
x02696-1,1NRL,SRL,A,12.0,0.18000000715255737,HYBRID,0.6140631098559872,structures/boltz2_track2/redock_posit/x02696-1/x02696-1_posit.pdb,
x02698-1,2O9I,444,A,11.0,0.019999999552965164,FRED,0.7273774320121824,structures/boltz2_track2/redock_posit/x02698-1/x02698-1_posit.pdb,
x02700-1,6S41,KUB,A,12.0,0.17000000178813934,HYBRID,0.6452687629172902,structures/boltz2_track2/redock_posit/x02700-1/x02700-1_posit.pdb,
x02704-1,6XP9,QCG,A,7.0,0.019999999552965164,FRED,0.6668240822554737,structures/boltz2_track2/redock_posit/x02704-1/x02704-1_posit.pdb,
x02708-1,3R8D,PNU,A,8.0,0.05000000074505806,FRED,0.8984957637266681,structures/boltz2_track2/redock_posit/x02708-1/x02708-1_posit.pdb,
x02715-1,7AXD,S6W,A,11.0,0.009999999776482582,FRED,0.3540302417908342,structures/boltz2_track2/redock_posit/x02715-1/x02715-1_posit.pdb,
x02736-1,1M13,HYF,A,9.0,0.05000000074505806,FRED,0.7334754700521987,structures/boltz2_track2/redock_posit/x02736-1/x02736-1_posit.pdb,
x02742-1,8CH8,ULC,A,8.0,0.05000000074505806,FRED,0.3611798467379165,structures/boltz2_track2/redock_posit/x02742-1/x02742-1_posit.pdb,
x02745-1,5A86,D7E,A,13.0,0.42,SHAPEFIT,0.6216062255456787,structures/boltz2_track2/redock_posit/x02745-1/x02745-1_posit.pdb,
x02746-1,5X0R,4WH,A,8.0,0.03999999910593033,HYBRID,0.6259874267589314,structures/boltz2_track2/redock_posit/x02746-1/x02746-1_posit.pdb,
x02758-1,1NRL,SRL,A,7.0,0.05000000074505806,FRED,0.6024080504354512,structures/boltz2_track2/redock_posit/x02758-1/x02758-1_posit.pdb,
x02776-1,1NRL,SRL,A,6.0,0.18000000715255737,HYBRID,0.5720852217804655,structures/boltz2_track2/redock_posit/x02776-1/x02776-1_posit.pdb,
x02777-1,3R8D,PNU,A,9.0,0.18000000715255737,HYBRID,0.9132368814359509,structures/boltz2_track2/redock_posit/x02777-1/x02777-1_posit.pdb,
x02782-1,8EQZ,WQB,A,8.0,0.019999999552965164,FRED,0.7435319280485627,structures/boltz2_track2/redock_posit/x02782-1/x02782-1_posit.pdb,
