compound,qha,template_pdb,template_ccd,mcs_atoms,mcs_coverage,source,template_rmsd,skipped,error
x00261-1,13,9BEQ,AP1,11.0,0.8461538461538461,boltz_model_2,6.966797174266643,,
x00261-1,13,9BEQ,AP1,11.0,0.8461538461538461,boltz_model_3,9.06303828609368,,
x00261-1,13,9BEQ,AP1,11.0,0.8461538461538461,boltz_model_4,6.014510668058867,,
x00261-1,13,9BEQ,AP1,11.0,0.8461538461538461,gnina_refined,6.820278316375111,,
x00261-1,13,9BEQ,AP1,11.0,0.8461538461538461,template_transferred,0.0845376243917,,
x00337-1,13,6S41,KUB,8.0,0.6153846153846154,boltz_model_0,5.9949636943719655,,
x00337-1,13,6S41,KUB,8.0,0.6153846153846154,boltz_model_1,4.446191646112946,,
x00337-1,13,6S41,KUB,8.0,0.6153846153846154,boltz_model_2,3.8976449555717734,,
x00337-1,13,6S41,KUB,8.0,0.6153846153846154,boltz_model_3,4.241832333623296,,
x00337-1,13,6S41,KUB,8.0,0.6153846153846154,boltz_model_4,5.0545777745721185,,
x00337-1,13,6S41,KUB,8.0,0.6153846153846154,gnina_refined,5.249669865789925,,
x00337-1,13,6S41,KUB,8.0,0.6153846153846154,template_transferred,0.013047210519933579,,
x00348-1,13,5X0R,4WH,8.0,0.6153846153846154,boltz_model_0,9.85139328398457,,
x00348-1,13,5X0R,4WH,8.0,0.6153846153846154,boltz_model_1,9.994654970294395,,
x00348-1,13,5X0R,4WH,8.0,0.6153846153846154,boltz_model_2,9.97272415133918,,
x00348-1,13,5X0R,4WH,8.0,0.6153846153846154,boltz_model_3,10.85410621780419,,
x00348-1,13,5X0R,4WH,8.0,0.6153846153846154,boltz_model_4,9.916030476637646,,
x00348-1,13,5X0R,4WH,8.0,0.6153846153846154,gnina_refined,9.952699056508646,,
x00348-1,13,5X0R,4WH,8.0,0.6153846153846154,template_transferred,0.05263303510409732,,
x00358-1,13,6S41,KUB,8.0,0.6153846153846154,boltz_model_0,4.651222582868237,,
x00358-1,13,6S41,KUB,8.0,0.6153846153846154,boltz_model_1,4.6802593192273925,,
x00358-1,13,6S41,KUB,8.0,0.6153846153846154,boltz_model_2,4.629255519187408,,
x00358-1,13,6S41,KUB,8.0,0.6153846153846154,boltz_model_3,4.559719797533424,,
x00358-1,13,6S41,KUB,8.0,0.6153846153846154,boltz_model_4,4.692622931267935,,
x00358-1,13,6S41,KUB,8.0,0.6153846153846154,gnina_refined,4.638100325616164,,
x00358-1,13,6S41,KUB,8.0,0.6153846153846154,template_transferred,0.047128997832761456,,
x00370-1,18,6HTY,GRH,10.0,0.5555555555555556,boltz_model_0,4.362446054350301,,
x00370-1,18,6HTY,GRH,10.0,0.5555555555555556,boltz_model_1,4.262314162749964,,
x00370-1,18,6HTY,GRH,10.0,0.5555555555555556,boltz_model_2,4.334638449220165,,
x00370-1,18,6HTY,GRH,10.0,0.5555555555555556,boltz_model_3,4.511751628986193,,
x00370-1,18,6HTY,GRH,10.0,0.5555555555555556,boltz_model_4,4.750450766807165,,
x00370-1,18,6HTY,GRH,10.0,0.5555555555555556,gnina_refined,4.029467573205856,,
