rank,username,Submitted,model_report_link,LDDT-PLI,LDDT-PLI std,BiSyRMSD,BiSyRMSD std,LDDT-LP,LDDT-LP std,Coverage,Proprietary Data
1,Radi,2026-04-24 18:40 UTC,v26,0.5011725407603966,0.0282537394819845,3.966114294627439,0.2846648825822723,0.9136431773762652,0.0062266401171745,1.0,No
2,mp-sabrina,2026-04-25 16:48 UTC,,0.492572313311773,0.027767205977136,4.029461329390173,0.2875782410148469,0.9125095920819372,0.0068898447171473,1.0,No
3,discoverybytes,2026-04-26 13:10 UTC,,0.4782221744842827,0.0269512607268611,4.091236240157291,0.2670050859175327,0.9098973504465931,0.0063190434660296,1.0,No
4,nova,2026-04-25 09:04 UTC,,0.4773992660253754,0.0281534863542001,4.176622012934283,0.2886985368991427,0.9120559447186052,0.0062465391524873,1.0,No
5,JacksonBurns,2026-04-25 01:14 UTC,https://github.com/JacksonBurns/openadmet_pxr/tree/73154f02280412fc26a9a67161196e2dbf9a6a49,0.4745174439627191,0.0280559231626928,4.312408871678555,0.3254788615254954,0.901937956125099,0.0114868897742278,0.9891304347826086,No
6,deoxys,2026-04-25 16:52 UTC,,0.465705521914946,0.0265740739881806,4.216076945076819,0.2713102320262591,0.9140374766761882,0.0062040018145437,1.0,No
7,openadmet-boltz-baseline,2026-04-24 04:56 UTC,,0.4631544258369376,0.0278141963364948,4.310849592047217,0.2854975128964583,0.914018226041898,0.0062163453518884,1.0,No
8,testing,2026-04-24 07:09 UTC,,0.4631544258369376,0.0278141963364948,4.310849592047217,0.2854975128964583,0.914018226041898,0.0062163453518884,1.0,No
9,N283T,2026-04-26 09:42 UTC,,0.4473592785060729,0.0261838715933539,4.394548801476541,0.2715155300125863,0.9119559393748736,0.006280794658498,1.0,No
10,TangerineTrees,2026-04-26 07:05 UTC,,0.4438958239501909,0.0239229514872741,4.357277449517794,0.2494988760798739,0.9103138845274936,0.0066201080669758,1.0,No
11,simulacrum,2026-04-25 14:18 UTC,,0.4254167806944283,0.0219068808548492,4.499839120785827,0.2328970423494422,0.9108430668421134,0.0063088730394992,1.0,No
12,grape,2026-04-24 08:53 UTC,,0.3112176154021011,0.0231065474867781,7.609675968183123,0.7025588676303186,0.5511666597643435,0.0295089403598479,0.8043478260869565,No
13,jiyoungyang1,2026-04-24 13:12 UTC,,0.0,0.0,20.0,0.0,0.0,0.0,1.0,No
