alpha,full_mae,full_sp,full_d_mae,full_d_sp,mask_mae,mask_sp,mask_d_mae,mask_d_sp,mask_mean_shift
0.0,0.39708902689862263,0.845089728309084,0.0,0.0,0.45729545408076966,0.7934147371801554,0.0,0.0,0.0
0.1,0.3966877662543615,0.8457391781529948,-0.0004012606442611588,0.0006494498439107987,0.45601166809372085,0.7930786219417093,-0.0012837859870488133,-0.0003361152384461219,-0.010075152164808336
0.2,0.39640218754192047,0.8463313050086364,-0.0006868393567021625,0.0012415766995523825,0.4550979927695276,0.7927292700040551,-0.002197461311242044,-0.0006854671761002962,-0.02015030432961667
0.3,0.3961774986809638,0.8468365259980113,-0.0009115282176588302,0.0017467976889272707,0.45437912732566343,0.7924890986813957,-0.0029163267551062244,-0.0009256384987597066,-0.0302254564944255
0.4,0.3959939969350075,0.8472575127242176,-0.0010950299636151573,0.0021677844151335446,0.4537920351863596,0.7921512388570705,-0.003503418894410082,-0.0012634983230849217,-0.04030060865923373
0.5,0.39586946655321953,0.8476052205779505,-0.0012195603454031034,0.0025154922688664927,0.4533936149540551,0.7917303727443019,-0.003901839126714546,-0.0016843644358535137,-0.05037576082404217
0.6,0.3957852744212971,0.8478819515602465,-0.0013037524773255593,0.0027922232511624623,0.45312425218268026,0.7914095046326004,-0.004171201898089394,-0.0020052325475550248,-0.0604509129888506
0.7,0.39578186532047044,0.8480821390632511,-0.001307161578152194,0.0029924107541671185,0.45311334516767077,0.7909111539841539,-0.004182108913098892,-0.0025035831960015242,-0.07052606515365903
0.8,0.39586475052007264,0.8482484640498338,-0.0012242763785499933,0.003158735740749763,0.453378526563616,0.7905885606708611,-0.003916927517153668,-0.002826176509294287,-0.08060121731846748
0.9,0.39605160233086795,0.8483308837875747,-0.0010374245677546856,0.003241155478490687,0.4539763368392672,0.7901430128216822,-0.0033191172415024672,-0.003271724358473227,-0.09067636948327588
1.0,0.3963140148943282,0.8483841585720668,-0.0007750120042944175,0.003294430262982817,0.45481589480891593,0.7897729390806444,-0.0024795592718537263,-0.00364179809951104,-0.10075152164808435
