fold,epochs_run,best_val_mae,loss_start,loss_end,target_mean,target_std,node_dim,edge_dim,val_MAE,val_RAE,val_R2,val_Spearman_R,val_Kendall_Tau
0,68,0.5960655212402344,1.208757304228269,0.3746399008310758,4.306232452392578,1.1157569885253906,9,3,0.5960655251134603,0.6575758017791286,0.4821074218529664,0.6370439963427516,0.4548788664482328
1,25,0.674889087677002,1.142374187707901,0.5932701092499953,4.348460674285889,1.103929042816162,9,3,0.6748890869588737,0.6793575321110403,0.40556288490121717,0.6237759121617732,0.4419684428800821
2,40,0.5647599697113037,1.2109272525860713,0.4415799711759274,4.3286027908325195,1.1412564516067505,9,3,0.5647599848101884,0.6649606414411378,0.43443351067301794,0.6555661943909065,0.4714475943221525
3,35,0.5399700999259949,1.2159023193212657,0.45405608186355007,4.28664493560791,1.145444393157959,9,3,0.5399700844783363,0.6925920843578353,0.402976727907571,0.5987704452764617,0.4278793602481197
4,59,0.5714672803878784,1.2098405911372259,0.3764553087262007,4.334252834320068,1.098952293395996,9,3,0.5714672481497893,0.5689794140983268,0.5689433222955461,0.6977456672784769,0.5011478759753135
