rank,username,Submitted,model_report_link,MAE,MAE std,RAE,RAE std,R2,R2 std,Spearman ρ,Spearman ρ std,Kendall's τ,Kendall's τ std,Proprietary Data
1,Yan,2026-05-06 04:56 UTC,,0.401191775653036,0.0292750696331976,0.5037844438850895,0.0277910885798283,0.6517657133020972,0.0401705028694,0.8565307592602275,0.0192890984578909,0.6718326631781635,0.0218407093789077,No
2,sia,2026-05-03 00:36 UTC,,0.4031164329177866,0.0278935158296404,0.5063997886426749,0.0290700116690617,0.6690503777359453,0.0380142574418959,0.8467514501359211,0.0201428346583166,0.6615302440117414,0.0227224830672428,No
3,jaybirdy,2026-05-06 03:45 UTC,caruana_broad15_allarch_bagged_v1,0.4042719633646804,0.0279438149038998,0.5077960202090424,0.0281810996797417,0.6648882116006171,0.0371591022462884,0.8339523687281493,0.0232465767532926,0.6515269424162102,0.024449445828549,No
4,N283T,2026-05-06 04:27 UTC,,0.4105644448288402,0.026673593856747,0.5159146913621944,0.0299566294357343,0.6776446236218278,0.037850454117357,0.8414765484110365,0.0204001909815308,0.6516432561583666,0.0223641146909197,No
5,nova,2026-05-03 19:31 UTC,,0.4196732080701734,0.0291573345185534,0.5270775981272167,0.0284044666306591,0.6405043898941137,0.0402286144433765,0.8393348657119041,0.0205628723928185,0.6488818627623577,0.0225716878313012,No
6,discoverybytes,2026-05-04 15:43 UTC,,0.4300077146245059,0.0314721600782759,0.5398168402163839,0.0270954179641367,0.6044523519311028,0.0411834092665391,0.8303951949313891,0.0232144704345784,0.641008762280933,0.0233281180464096,No
7,suspenders,2026-04-23 04:56 UTC,,0.4329759100206493,0.0314312112323453,0.5437425718304446,0.0307147063234213,0.5973190143300874,0.0436970954992853,0.8284425067626964,0.0209473993529652,0.6342848054268235,0.0226478444213175,No
8,red-orange,2026-05-03 22:23 UTC,https://github.com/reillyosadchey/pxr-challenge,0.4340225371732221,0.031042709269997,0.5449218460807697,0.0273049896171397,0.6116169100166781,0.0401838252361583,0.8278832896820347,0.0221930005112057,0.639126464838951,0.0238375988249684,No
9,Zoboomafoo83,2026-04-26 02:07 UTC,,0.4367770071833992,0.0303512589108985,0.548450457497609,0.0272483934101563,0.611150648247876,0.0402750563802431,0.831518547293007,0.0211007523751803,0.6374300422179866,0.0219803959432829,No
10,jordanshivers,2026-04-20 13:29 UTC,,0.4415129694549741,0.0315049504730091,0.554355802208951,0.0283703870958934,0.5944727663973126,0.0403099695254212,0.8180224864788596,0.0234934957765029,0.6399599772675459,0.0247121499855387,No
11,matcha-croissant,2026-05-06 02:50 UTC,,0.442127459479773,0.0283535012467668,0.5554250333540445,0.0287476960316619,0.6283051875044584,0.038822234997122,0.8202420497929988,0.0233547977822962,0.6282692211248911,0.0241667956680701,Yes
12,mps-go-brrr,2026-05-05 06:23 UTC,,0.4461998984000001,0.0305551751192405,0.560182444939955,0.0250159395359073,0.5961295510956307,0.0320420533548629,0.8262449400743747,0.0218111536108523,0.6284045981264564,0.0225237912270551,No
13,lbaweja,2026-05-05 23:25 UTC,,0.4461600249608696,0.026462169945679,0.5608400710660701,0.0325841973792604,0.6443545824042854,0.0349632470427315,0.8194949945547307,0.0225279149882801,0.6243928245926537,0.0235091417385516,No
14,foobar,2026-05-04 13:06 UTC,https://model-version.invalid/test1/68,0.4467511286947915,0.0307618978063566,0.5610745315794712,0.0294033641839226,0.5918936505375976,0.0428872314657264,0.815097258615753,0.0226097324171062,0.6294069642006838,0.0237723518141956,No
15,Uncertain-Tea,2026-05-04 05:42 UTC,,0.4472035198406177,0.0320499647160769,0.5613208245713481,0.0251134735335112,0.5749513222842941,0.0396257367334693,0.8439054422237129,0.0186429561679509,0.6487195685600727,0.0207902044160586,No
16,oxidane,2026-05-03 13:41 UTC,,0.4478437389169137,0.0302579566157713,0.5622684521321689,0.0249182495716534,0.6023593447401527,0.0363253823858352,0.8386319983031197,0.0201293370954742,0.6449600279312014,0.0220733042807947,No
17,HungryCapybara,2026-05-04 05:29 UTC,,0.4514621105825477,0.0315724210731855,0.5668707379265308,0.0283222432707129,0.5788047733914768,0.0419385478629033,0.8128139807365182,0.0222989723606961,0.6156113403455632,0.0230886565619858,No
18,lavibaweja,2026-05-05 21:05 UTC,,0.4511099761019763,0.0272166037795052,0.5671550829297372,0.0351454425485346,0.6257822223652826,0.0388180717393155,0.8118155148614832,0.0237565403050871,0.6195701953824567,0.0243069570898164,No
19,cc,2026-05-05 13:05 UTC,,0.4527757080841897,0.0315428725685389,0.5685443956807551,0.0285216369403147,0.581843502261775,0.043894608774998,0.8125415642738681,0.0247178137560776,0.6227059208012895,0.0249048549852646,No
20,Proper,2026-05-03 17:07 UTC,,0.4544036759283608,0.026279310430137,0.571230724039542,0.0327939323351161,0.6419350615651979,0.037785298375901,0.8190485385960251,0.0224706035861025,0.6214605521189249,0.0229533104817429,No
21,molecfp12,2026-05-06 03:27 UTC,,0.455759036043083,0.0257491288177945,0.5730633323684863,0.0343802625035734,0.6465538262159591,0.0340202704952817,0.821408482401752,0.0229883546844951,0.6263032208415469,0.0236317711521562,No
22,testify,2026-04-29 01:22 UTC,,0.456653342173434,0.0318405657190517,0.5733942294315995,0.0285594083074689,0.5780023463307742,0.0392448967780507,0.8087389758413858,0.0226831617129361,0.6070326076020593,0.0234645300698899,No
23,MirthEngine,2026-04-06 20:27 UTC,,0.4575175350952777,0.0295031604348893,0.5746094965024856,0.0271511685178394,0.6018197162461709,0.0342007767454697,0.8024179426374063,0.022089465784856,0.5975313312271993,0.0221381458341785,No
