rank,username,Submitted,model_report_link,Significance (tiers),MAE,MAE std,RAE,RAE std,R2,R2 std,Spearman ρ,Spearman ρ std,Kendall's τ,Kendall's τ std,Proprietary Data
81,ubiqtuitin,2026-07-01 23:15 UTC,https://github.com/ubitquitin/pxr-comp/blob/master/README.md,Tier 3,0.5158766353892394,0.0306742178836877,0.715357244723333,0.0318267505358488,0.4276000139356195,0.0571435883272279,0.7197397714617493,0.0334589364539416,0.5265200000225001,0.0273394370024611,No
82,Whitebox,2026-05-24 22:06 UTC,https://huggingface.co/api/resolve-cache/models/Whitebox2026/openadmet-pxr-challenge/9a117648bede69f060ab2cc7f814293718e50987/README.md?%2FWhitebox2026%2Fopenadmet-pxr-challenge%2Fresolve%2Fmain%2FREADME.md=&etag=%2209d0e2f893a437efb76426707cd9d3b9e28b803d%22,Tier 3,0.52343101,0.0340043463755889,0.725756450449704,0.0359656314124426,0.3716573365323418,0.067477497231626,0.695326316259379,0.0362533822811592,0.511281161224589,0.0299874456023597,No
83,apxjmd,2026-06-26 14:51 UTC,https://docs.google.com/document/d/11DAugg36K9IJylRep6N4E1w3W0B_f5i5ciTAdqbaeJ4/edit?usp=sharing,Tier 3,0.5252683812638461,0.0317034290768956,0.7283192089312344,0.0319075097633215,0.3999523905795558,0.0550506005365004,0.6894276420847268,0.038618094362341,0.5069107244939904,0.0306332277118646,No
84,Shorku,2026-07-01 23:02 UTC,https://github.com/Shorku/OpenADMET_Blind_Challenge_Predicting_PXR_Induction,Tier 3,0.5288794291151457,0.0328288493493489,0.7333969143845669,0.0353397379037924,0.3884756126416246,0.0601706636313196,0.6720828154497073,0.0362765254594343,0.4863458962416879,0.0295093567273918,No
85,nyota,2026-05-24 14:04 UTC,https://github.com/junyigloria-collab/pxr-challenge-method-report,Tier 3,0.5341782695549999,0.0325110378090453,0.7406238391916538,0.0318095218312888,0.3730941241162416,0.0548733975404043,0.671463267499884,0.0376071675248042,0.4826073015851904,0.0298335899980264,No
86,busy-beaver,2026-07-01 21:52 UTC,https://docs.google.com/document/d/15lLZGV_jpHExRW05imIEU-0-lfGqRTzyawUxh79PALs/edit?usp=sharing,Tier 3,0.541425407433677,0.0300592533683461,0.7513088515461954,0.0406611652545565,0.4131462380545282,0.0601576728044543,0.7217777030697132,0.0340209873755865,0.5318251628572742,0.0282213904673136,No
87,zero_da2,2026-06-28 18:02 UTC,https://github.com/Bunseki2/ADMETChallenge_PXR/edit/main/README.md,Tier 4,0.5519956734615384,0.0319200314244834,0.7654249551644293,0.0320080288575959,0.3574642655966429,0.0537823098617808,0.6537336256679915,0.0402056104082682,0.4726998920532851,0.0311965946721827,No
88,ChAndersen,2026-05-25 22:13 UTC,https://github.com/cla71/inductr/blob/main/phase1_reportV15.html,Tier 4,0.5530631303846154,0.0296578588323427,0.7672199092188441,0.035172561742238,0.3961850266447647,0.0526825509241898,0.726900539833728,0.0352071406589286,0.5349197059114726,0.0281352476681053,No
89,APX_bcoke,2026-07-01 08:02 UTC,https://docs.google.com/document/d/1oYV9fzgx5cwfzvIAK-LtbUtruc0fQ5UBqPotTkvkARU/edit?usp=sharing,Tier 4,0.5716169162375917,0.0322381153310245,0.7935634559626827,0.0498830645194381,0.3257413468911173,0.0813648275236818,0.6705177934581761,0.0393556447568205,0.4930107460181475,0.0319234738435671,No
90,hangyodon,2026-05-24 14:23 UTC,https://github.com/hangyodon-ljy/pxr-challenge-baseline,Tier 4,0.5780637213640213,0.0331765698337299,0.801187198659313,0.0216502405431178,0.2987937605777783,0.0344000899234748,0.7029268989907819,0.0352788955534439,0.5122993195384095,0.0283584298759692,No
91,k3785331526,2026-05-24 14:54 UTC,https://github.com/kenny3785331526/PXR.git,Tier 4,0.5794543980349499,0.0330807811791434,0.8031294347646928,0.0217421129648454,0.2982086758123114,0.0334631865714253,0.7032807185427212,0.0349255469097949,0.5108760112484475,0.0282251850094038,No
92,JazminOliveri,2026-07-01 08:48 UTC,https://github.com/jammin9370-code/PXR-Activity-Prediction.git,Tier 4,0.5987368400042308,0.0319588029813617,0.8304507085915521,0.0347674566128195,0.2976329810117954,0.0534416683407852,0.6396022602896125,0.0420364256470969,0.4618224580097231,0.0316979531101841,No
93,JustLeonard,2026-06-21 10:25 UTC,https://huggingface.co/datasets/JustLeonard/ML/blob/main/readmePXRv1.pdf,Tier 5,0.6712286069703846,0.034387783517146,0.9306382022392312,0.0257183608961619,0.1408012464703922,0.0249488191193192,0.4843552440771699,0.0466067290280537,0.3326090429652271,0.0339260960289561,Yes
94,agitter,2026-06-30 19:01 UTC,https://github.com/agitter/openadmet-pxr-challenge,Tier 5,0.7184816881576113,0.0350183458259343,0.996428220046516,0.032573925259398,0.0487464828450087,0.0366750939264646,0.3868104902017171,0.0528791250856041,0.2632271263727763,0.0373313576884945,No
95,https://huggingface.co/VIDraft,2026-06-10 23:55 UTC,https://huggingface.co/datasets/VIDRAFT/pxr-challenge-method,Tier 6,1.0338772375518723,0.0333894688699759,1.4371590364175366,0.0954348315727799,-0.5774610840218496,0.1625244816133808,0.5181241598195867,0.0488390096915096,0.3667105717487205,0.0356894691982488,No
