fold,n_train,n_val,loss_start,loss_end,val_resid_std
0,3309,831,0.4039418399333954,0.2428426742553711,0.2816734311385656
1,3310,830,0.4267804026603699,0.24927791953086853,0.31199244411250987
2,3311,829,0.4138876497745514,0.245759055018425,0.3577333162000371
3,3322,818,0.43327170610427856,0.25453516840934753,0.3023795074544941
4,3308,832,0.41625815629959106,0.23931224644184113,0.3006060720844183
