feature,pearson,spearman,n
6 - affinity,0.5378994052919472,0.49762875495829134,4139
binding probability,0.42382460337924277,0.4443312493289116,4139
ipTM,0.29946390076572277,0.2803362207485627,4139
ligand ipTM,0.29946390076572277,0.2803362207485627,4139
