label,gamma,clip,oof_mae,oof_delta_mae,oof_spearman,oof_delta_spearman,oof_resid_std,test_resid_std,final_loss_start,final_loss_end,test_mean_shift,test_mean_abs_shift,test_p90_abs_shift,test_max_abs_shift,test_gt_005,test_gt_010,test_gt_020
g0p2_c0p02,0.2,0.02,0.39096612850336093,-0.0004778660841283644,0.8494102484755817,0.00037951967484417537,0.3047330345752164,0.30737481085532037,0.43185165524482727,0.05169343948364258,0.01215051943330949,0.017443832113147675,0.020000000000000018,0.020000000000000018,0,0,0
g0p2_c0p015,0.2,0.015,0.3909892557963261,-0.0004547387911632006,0.8494051097301001,0.00037438092936259437,0.3047330345752164,0.30737481085532037,0.43185165524482727,0.05169343948364258,0.009273653011224278,0.013551296852020523,0.015000000000000124,0.015000000000000124,0,0,0
g0p2_c0p03,0.2,0.03,0.3910027967235823,-0.00044119786390700577,0.8492292150857412,0.00019848628500374055,0.3047330345752164,0.30737481085532037,0.43185165524482727,0.05169343948364258,0.017530243590212786,0.024404346279466006,0.03000000000000025,0.03000000000000025,0,0,0
g0p15_c0p02,0.15,0.02,0.39101809495679557,-0.00042589963069372683,0.8493544290092209,0.00032370020848337955,0.3047330345752164,0.30737481085532037,0.43185165524482727,0.05169343948364258,0.01183451733292292,0.016635766836866985,0.020000000000000018,0.020000000000000018,0,0,0
g0p15_c0p015,0.15,0.015,0.39103630023444585,-0.0004076943530434418,0.8493548791948481,0.00032415039411060054,0.3047330345752164,0.30737481085532037,0.43185165524482727,0.05169343948364258,0.00911288957498213,0.013082874084860767,0.015000000000000124,0.015000000000000124,0,0,0
g0p1_c0p015,0.1,0.015,0.3911022708396787,-0.0003417237478106072,0.8492680554341869,0.00023732663344944172,0.3047330345752164,0.30737481085532037,0.43185165524482727,0.05169343948364258,0.008765121795106235,0.012202173139732793,0.015000000000000124,0.015000000000000124,0,0,0
g0p15_c0p03,0.15,0.03,0.3911276193965739,-0.00031637519091537447,0.8491717562131178,0.00014102741238031236,0.3047330345752164,0.30737481085532037,0.43185165524482727,0.05169343948364258,0.016839276774846392,0.022833361205650434,0.03000000000000025,0.03000000000000025,0,0,0
g0p1_c0p02,0.1,0.02,0.39113834930760677,-0.0003056452798825271,0.8492216106353588,0.0001908818346213481,0.3047330345752164,0.30737481085532037,0.43185165524482727,0.05169343948364258,0.011226184516564064,0.015222240803766725,0.019999999999999574,0.020000000000000018,0,0,0
g0p1_c0p03,0.1,0.03,0.39121950813281914,-0.0002244864546701586,0.8491625035624634,0.000131774761725878,0.3047330345752164,0.30737481085532037,0.43185165524482727,0.05169343948364258,0.015156956884073296,0.019881717566161205,0.03000000000000025,0.03000000000000025,0,0,0
gm0p1_c0p015,-0.1,0.015,0.3920426565296816,0.0005986619421923245,0.848510941634293,-0.0005197871664445186,0.3047330345752164,0.30737481085532037,0.43185165524482727,0.05169343948364258,-0.008765121795106239,0.012202173139732798,0.015000000000000124,0.015000000000000124,0,0,0
gm0p1_c0p02,-0.1,0.02,0.3921330143406743,0.0006890197531850273,0.8484648337982231,-0.0005658950025143605,0.3047330345752164,0.30737481085532037,0.43185165524482727,0.05169343948364258,-0.011226184516564068,0.015222240803766728,0.020000000000000018,0.020000000000000018,0,0,0
gm0p15_c0p015,-0.15,0.015,0.39215489919886054,0.0007109046113712436,0.8484040649112531,-0.0006266638894844023,0.3047330345752164,0.30737481085532037,0.43185165524482727,0.05169343948364258,-0.009112889574982134,0.01308287408486077,0.015000000000000124,0.015000000000000124,0,0,0
gm0p2_c0p015,-0.2,0.015,0.3922289180506525,0.0007849234631632229,0.8483422373608618,-0.0006884914398757047,0.3047330345752164,0.30737481085532037,0.43185165524482727,0.05169343948364258,-0.009273653011224282,0.013551296852020526,0.015000000000000124,0.015000000000000124,0,0,0
gm0p1_c0p03,-0.1,0.03,0.3923195670748189,0.0008755724873296122,0.8482746255508871,-0.0007561032498504261,0.3047330345752164,0.30737481085532037,0.43185165524482727,0.05169343948364258,-0.015156956884073291,0.019881717566161198,0.03000000000000025,0.03000000000000025,0,0,0
gm0p15_c0p02,-0.15,0.02,0.39234098714189414,0.0008969925544048407,0.8482331965505264,-0.0007975322502110638,0.3047330345752164,0.30737481085532037,0.43185165524482727,0.05169343948364258,-0.011834517332922923,0.01663576683686699,0.020000000000000018,0.020000000000000018,0,0,0
gm0p2_c0p02,-0.2,0.02,0.3924492589887016,0.0010052644012122913,0.8481498940295494,-0.0008808347711880549,0.3047330345752164,0.30737481085532037,0.43185165524482727,0.05169343948364258,-0.012150519433309494,0.017443832113147678,0.020000000000000018,0.020000000000000018,0,0,0
gm0p15_c0p03,-0.15,0.03,0.3926097543172407,0.0011657597297514144,0.8479984275362862,-0.0010323012644513074,0.3047330345752164,0.30737481085532037,0.43185165524482727,0.05169343948364258,-0.01683927677484639,0.022833361205650427,0.03000000000000025,0.03000000000000025,0,0,0
gm0p2_c0p03,-0.2,0.03,0.39286079106383787,0.0014167964763485696,0.8477652423738461,-0.0012654864268913935,0.3047330345752164,0.30737481085532037,0.43185165524482727,0.05169343948364258,-0.01753024359021278,0.024404346279466003,0.03000000000000025,0.03000000000000025,0,0,0
