scope,prediction,n,MAE,RAE,R2,Spearman_R,Kendall_Tau,bias_pred_minus_test,RMSE
phase1_as1,raw,253,0.41906245195997555,0.5247050804445726,0.6707835781365485,0.8497516928656319,0.658169626612538,-0.00791445882746862,0.5921376847961735
phase1_as1,calibrated,253,0.40757109127464336,0.5103168304245238,0.6802971131842082,0.8497516928656319,0.658169626612538,0.043528988281062705,0.583519313483235
phase2_as2,raw,260,0.4226314475828977,0.5855287509005618,0.5888927948274385,0.8199435694918258,0.6287260875511014,-0.10332389994809572,0.6040511529508734
phase2_as2,calibrated,260,0.407829339270614,0.5650213796664647,0.6046762296371053,0.8199435694918258,0.6287260875511014,-0.03780706388206123,0.5923421505754934
full_test,raw,513,0.42087129964410763,0.5531651999836996,0.6387444016515179,0.836961759989591,0.6470377000917678,-0.05627012099386833,0.5982053526672368
full_test,calibrated,513,0.40770197719852713,0.5358563198333556,0.6509563944993895,0.836961759989591,0.6470377000917678,0.002306037867003788,0.5880074719065421
