split,fold,model,family,leakage_free_retrain,n_val,mae,r2,spearman,bias,pred_std
umap_canonical,0,rdkit41_lgbm,2d,True,831,0.6003404739898787,0.4133333431874982,0.6118671688585535,0.1142731523400825,0.7542937368030979
umap_canonical,0,rdkit_full_lgbm,2d,True,831,0.5695409485890354,0.4811681467516039,0.6673336305861584,0.1039568233009217,0.7523599772320281
umap_canonical,0,mordred_lgbm,2d,True,831,0.5640236942773376,0.4881666675803824,0.6806295933392152,0.1095249034367724,0.7513564173267446
umap_canonical,0,morgan2048_lgbm,fingerprint,True,831,0.6387692737971147,0.4202118660628191,0.6493161000802312,0.1380006031350719,0.610044023003671
umap_canonical,0,rdkit_full_lf_pred_lgbm,2d_plus_log2fc_pred,True,831,0.407145290227535,0.7428182220401989,0.8413753368017386,0.0949014520435718,0.9104393623676248
umap_canonical,0,mordred_lf_pred_lgbm,2d_plus_log2fc_pred,True,831,0.4052082922779589,0.7463717635795535,0.8396976421832233,0.0779923909309409,0.9091003289988951
umap_canonical,0,rdkit_full_singleconc_jazzy_lgbm,2d_plus_aux_observed,True,831,0.4660814359791388,0.6347676011589427,0.8117638181931863,0.1033884746305064,0.8314005786059867
umap_canonical,0,mordred_singleconc_jazzy_lgbm,2d_plus_aux_observed,True,831,0.4704419727081508,0.6224648711909399,0.8134244072420107,0.1178943045715588,0.823446557633191
umap_canonical,1,rdkit41_lgbm,2d,True,830,0.5548122255674058,0.5767042709215037,0.706598128261505,0.0760535403880043,0.913427462638248
umap_canonical,1,rdkit_full_lgbm,2d,True,830,0.5273460769319985,0.6301095122446074,0.7452217734663534,0.064020564402524,0.9051476486088836
umap_canonical,1,mordred_lgbm,2d,True,830,0.5235420413544039,0.6342850863667477,0.7481566146151447,0.1068041893860955,0.8955400063257102
umap_canonical,1,morgan2048_lgbm,fingerprint,True,830,0.6230307475080448,0.5066287167995267,0.6908660698167055,0.1580653595842655,0.7029397652933763
umap_canonical,1,rdkit_full_lf_pred_lgbm,2d_plus_log2fc_pred,True,830,0.3745717296835043,0.8083118289781672,0.8814020965062652,0.0512571002556803,1.027655902891614
umap_canonical,1,mordred_lf_pred_lgbm,2d_plus_log2fc_pred,True,830,0.3852111539449276,0.7954135610968395,0.8765253890849223,0.0740078150999904,0.9967412183217184
umap_canonical,1,rdkit_full_singleconc_jazzy_lgbm,2d_plus_aux_observed,True,830,0.436699922233018,0.7216146935227044,0.8496811417205271,0.0635013006646614,0.961342312564646
umap_canonical,1,mordred_singleconc_jazzy_lgbm,2d_plus_aux_observed,True,830,0.4383703165115176,0.7195875015703657,0.8526024986342061,0.0549654888026147,0.9538158360247097
umap_canonical,2,rdkit41_lgbm,2d,True,829,0.5717300348470138,0.4121076117944861,0.6165916370322602,0.1468630705442819,0.7495779728478296
umap_canonical,2,rdkit_full_lgbm,2d,True,829,0.5398941750803972,0.4744253698817542,0.6780424102692172,0.1191642946443044,0.7404646959692427
umap_canonical,2,mordred_lgbm,2d,True,829,0.5225419574461094,0.5006237580269071,0.69871522653038,0.0928593585564316,0.730335463891216
umap_canonical,2,morgan2048_lgbm,fingerprint,True,829,0.6039157285793302,0.4127124343546384,0.6386113211116768,0.0722639348995755,0.6563530051107614
umap_canonical,2,rdkit_full_lf_pred_lgbm,2d_plus_log2fc_pred,True,829,0.4064518160328548,0.69272822271128,0.8418265524371709,-0.0247150198527329,0.9277115916443672
umap_canonical,2,mordred_lf_pred_lgbm,2d_plus_log2fc_pred,True,829,0.4098135654017588,0.6953705668222884,0.844196044541714,-0.0387274048508525,0.923648644506436
umap_canonical,2,rdkit_full_singleconc_jazzy_lgbm,2d_plus_aux_observed,True,829,0.4472114210207495,0.6127854205315443,0.7923048530587837,0.0496053373695768,0.8061919988159134
umap_canonical,2,mordred_singleconc_jazzy_lgbm,2d_plus_aux_observed,True,829,0.4518370092140097,0.6116294805292488,0.7965563499170375,0.0515404883950644,0.7826750164847218
umap_canonical,3,rdkit41_lgbm,2d,True,818,0.5242802532340372,0.4527719367520869,0.5883820875773264,0.0471606243011589,0.7544343160475764
umap_canonical,3,rdkit_full_lgbm,2d,True,818,0.4885868536305177,0.4928262899196146,0.6542400289989361,0.0304312932222694,0.7563442448358234
umap_canonical,3,mordred_lgbm,2d,True,818,0.4704505260201983,0.5145363593999956,0.6837870139455539,0.0509183373152345,0.7327595178502802
umap_canonical,3,morgan2048_lgbm,fingerprint,True,818,0.5650662702795266,0.3956410227799132,0.5733015894525986,-0.0211916291564914,0.6404235368974469
umap_canonical,3,rdkit_full_lf_pred_lgbm,2d_plus_log2fc_pred,True,818,0.3440395971276107,0.7552122582094863,0.8357479217886556,0.0051117139912665,0.8900231946554568
