split,model,family,leakage_free_retrain,folds,n_val_mean,mae,mae_std,r2,spearman,bias,pred_std,rank_mae,rank_spearman,rank_mae_within_kind,rank_spearman_within_kind
public_hybrid_nolabel_top513,current_pool_caruana_stack_oof,oof_stack_diagnostic,False,1,513.0,0.3309216531369732,0.0,0.5702757081488019,0.7533879702636308,-0.0619801239462391,0.4667098192352252,3.0,6.0,2.0,2.0
public_hybrid_nolabel_top513,mordred_lf_pred_lgbm,2d_plus_log2fc_pred,True,1,513.0,0.3348711914226848,0.0,0.5334724020060957,0.7536716557105675,-0.0856328924019741,0.4547927104503783,4.0,5.0,2.0,4.0
public_hybrid_nolabel_top513,rdkit_full_singleconc_jazzy_lgbm,2d_plus_aux_observed,True,1,513.0,0.3379741792573706,0.0,0.5381086307237457,0.7708882023779626,-0.1213602911932699,0.4758005104264389,5.0,2.0,3.0,2.0
public_hybrid_nolabel_top513,mordred_singleconc_jazzy_lgbm,2d_plus_aux_observed,True,1,513.0,0.3398412413241689,0.0,0.5274333264394522,0.7729747103957184,-0.1018464199210488,0.4624316438857292,6.0,1.0,4.0,1.0
public_hybrid_nolabel_top513,current_pool_simple_mean_oof,oof_stack_diagnostic,False,1,513.0,0.3625366560163657,0.0,0.4793352447500509,0.6874259705798058,-0.0895793662113572,0.4455674567668025,7.0,7.0,3.0,3.0
public_hybrid_nolabel_top513,mordred_lgbm,2d,True,1,513.0,0.4695423014259561,0.0,0.1853083587156838,0.4805601133819005,-0.2315495657394125,0.3908583780688521,8.0,8.0,5.0,5.0
public_hybrid_nolabel_top513,rdkit_full_lgbm,2d,True,1,513.0,0.4998184471136489,0.0,0.0915168105429596,0.4402976356516856,-0.2785635831711167,0.4005179060523688,9.0,10.0,6.0,7.0
public_hybrid_nolabel_top513,rdkit41_lgbm,2d,True,1,513.0,0.5017124163064696,0.0,0.1011186965414202,0.4417624054741129,-0.2809197404276387,0.3921087290030144,10.0,9.0,7.0,6.0
public_hybrid_nolabel_top513,morgan2048_lgbm,fingerprint,True,1,513.0,0.5456229679581326,0.0,-0.0844363909777481,0.3237345459930977,-0.3135199345525715,0.3883856834222468,11.0,11.0,8.0,8.0
public_hybrid_with_y_top513,current_pool_caruana_stack_oof,oof_stack_diagnostic,False,1,513.0,0.3103054520728772,0.0,0.254495673066254,0.6678088736064287,-0.165763145525976,0.309136223164963,1.0,4.0,1.0,2.0
