model,mae,spearman,mean_residual,pred_mean,pred_std,delta_mae_vs_ensemble,delta_spearman_vs_ensemble
ensemble,0.3945076670542619,0.847811395532887,-0.012213283202894954,4.333026943641753,0.9353466216157024,0.0,0.0
tabpfn_2d_seed10_top500,0.39675769064081023,0.8484556992619744,-0.004582200958761956,4.3253958613976184,0.9821336578350711,0.0022500235865483553,0.0006443037290874143
tabpfn_2d_seed10_default,0.40558896016072676,0.8400895211058056,-0.014468306410944742,4.335281966849801,0.9360787367558739,0.011081293106464885,-0.007721874427081388
