variable,bin,model,n,value_min,value_max,mae,mean_residual,mean_pred,ensemble_mae,delta_mae_vs_ensemble
abs_family_gap,Q1,ensemble,828,9.147326151559554e-05,0.04474822680155466,0.3301682432389416,-0.03553295907177038,4.333268466318147,0.3301682432389416,0.0
abs_family_gap,Q1,tabpfn_2d_seed10_default,828,9.147326151559554e-05,0.04474822680155466,0.3386027661037906,-0.03971655340010418,4.337452060646481,0.3301682432389416,0.00843452286484897
abs_family_gap,Q1,tabpfn_2d_seed10_top500,828,9.147326151559554e-05,0.04474822680155466,0.3337297673386652,-0.03219092882773727,4.329926436074114,0.3301682432389416,0.003561524099723601
abs_family_gap,Q2,ensemble,828,0.04476388295491507,0.0941539208094282,0.3526514023463848,-0.0022636222378082326,4.363084878276456,0.3526514023463848,0.0
abs_family_gap,Q2,tabpfn_2d_seed10_default,828,0.04476388295491507,0.0941539208094282,0.3635509759101314,-0.006543054949258259,4.367364310987906,0.3526514023463848,0.0108995735637466
abs_family_gap,Q2,tabpfn_2d_seed10_top500,828,0.04476388295491507,0.0941539208094282,0.35413195387752733,0.011464241633668616,4.349357014404979,0.3526514023463848,0.0014805515311425155
abs_family_gap,Q3,ensemble,828,0.0941771666208906,0.15855169296264648,0.35758030079773784,-0.015321968382386848,4.410406509445188,0.35758030079773784,0.0
abs_family_gap,Q3,tabpfn_2d_seed10_default,828,0.0941771666208906,0.15855169296264648,0.3659100409291216,-0.020928499917477222,4.416013040980279,0.35758030079773784,0.008329740131383767
abs_family_gap,Q3,tabpfn_2d_seed10_top500,828,0.0941771666208906,0.15855169296264648,0.36594140284303306,-0.008581808074085035,4.403666349136887,0.35758030079773784,0.008361102045295221
abs_family_gap,Q4,ensemble,828,0.15865111351013184,0.2575331926345825,0.38540005417326156,0.007426400978047563,4.471068229718653,0.38540005417326156,0.0
abs_family_gap,Q4,tabpfn_2d_seed10_default,828,0.15865111351013184,0.2575331926345825,0.4008147995212873,0.008481284911512788,4.470013345785187,0.38540005417326156,0.015414745348025727
abs_family_gap,Q4,tabpfn_2d_seed10_top500,828,0.15865111351013184,0.2575331926345825,0.38834731003685974,0.004549240497582232,4.473945390199118,0.38540005417326156,0.002947255863598175
abs_family_gap,Q5,ensemble,828,0.25759005546569824,1.636091629664103,0.5467383347149835,-0.015374267300556882,4.087306634450315,0.5467383347149835,0.0
abs_family_gap,Q5,tabpfn_2d_seed10_default,828,0.25759005546569824,1.636091629664103,0.5590662183393027,-0.013634708699396831,4.085567075849156,0.5467383347149835,0.012327883624319247
abs_family_gap,Q5,tabpfn_2d_seed10_top500,828,0.25759005546569824,1.636091629664103,0.541638019107966,0.0018482499767616886,4.070084117172997,0.5467383347149835,-0.005100315607017403
counter_emax,Q1,ensemble,531,0.806,1.44,0.44185997710134595,-0.03435327422365356,4.597027473847006,0.44185997710134595,0.0
counter_emax,Q1,tabpfn_2d_seed10_default,531,0.806,1.44,0.45373698022630476,-0.028356926535482437,4.591031126158835,0.44185997710134595,0.011877003124958818
counter_emax,Q1,tabpfn_2d_seed10_top500,531,0.806,1.44,0.4392611591604918,-0.017795859478736756,4.580470059102089,0.44185997710134595,-0.002598817940854148
counter_emax,Q2,ensemble,674,1.45,1.57,0.35674032084246965,0.027194971056598193,4.8025305482312355,0.35674032084246965,0.0
counter_emax,Q2,tabpfn_2d_seed10_default,674,1.45,1.57,0.3613801507780035,0.024261433731554517,4.805464085556279,0.35674032084246965,0.004639829935533857
counter_emax,Q2,tabpfn_2d_seed10_top500,674,1.45,1.57,0.3568683942206182,0.02782307125340583,4.801902448034428,0.35674032084246965,0.00012807337814857434
counter_emax,Q3,ensemble,435,1.58,1.58,0.3366690390516826,0.1182775981997477,4.924825850076115,0.3366690390516826,0.0
counter_emax,Q3,tabpfn_2d_seed10_default,435,1.58,1.58,0.3490628561699528,0.12187208416818204,4.92123136410768,0.3366690390516826,0.0123938171182702
counter_emax,Q3,tabpfn_2d_seed10_top500,435,1.58,1.58,0.31717202655748394,0.10443157492012815,4.938671873355734,0.3366690390516826,-0.019497012494198662
counter_emax,Q4,ensemble,488,1.59,1.65,0.3182868678700615,0.025353372349123368,4.78320195551973,0.3182868678700615,0.0
counter_emax,Q4,tabpfn_2d_seed10_default,488,1.59,1.65,0.3271127277124123,0.01897734931257903,4.789577978556274,0.3182868678700615,0.008825859842350792
counter_emax,Q4,tabpfn_2d_seed10_top500,488,1.59,1.65,0.3182609928240541,0.019833095151869956,4.7887222327169825,0.3182868678700615,-2.5875046007373115e-05
counter_emax,Q5,ensemble,520,1.66,5.92,0.3703279431034951,0.018575066856834258,4.4578095485277816,0.3703279431034951,0.0
counter_emax,Q5,tabpfn_2d_seed10_default,520,1.66,5.92,0.37864772921342116,0.011902212583101724,4.464482402801513,0.3703279431034951,0.008319786109926064
counter_emax,Q5,tabpfn_2d_seed10_top500,520,1.66,5.92,0.36966470824755154,0.012682674884796153,4.463701940499819,0.3703279431034951,-0.0006632348559435508
counter_emax,missing,ensemble,1492,,,0.44493670482179326,-0.08319909519315584,3.663700807134756,0.44493670482179326,0.0
counter_emax,missing,tabpfn_2d_seed10_default,1492,,,0.4599621743916225,-0.08690209149259281,3.667403803434193,0.44493670482179326,0.015025469569829253
counter_emax,missing,tabpfn_2d_seed10_top500,1492,,,0.4579711941653257,-0.06030478356254899,3.6408064955041493,0.44493670482179326,0.013034489343532463
counter_emax_vs_pos_ctrl,Q1,ensemble,531,0.212,0.594,0.37630380851230766,0.008426675130638803,4.730763532025669,0.37630380851230766,0.0
counter_emax_vs_pos_ctrl,Q1,tabpfn_2d_seed10_default,531,0.212,0.594,0.39049441522573125,0.012679115769553329,4.726511091386755,0.37630380851230766,0.014190606713423592
counter_emax_vs_pos_ctrl,Q1,tabpfn_2d_seed10_top500,531,0.212,0.594,0.3794231745976737,0.010494360160468454,4.728695846995841,0.37630380851230766,0.00311936608536606
counter_emax_vs_pos_ctrl,Q2,ensemble,530,0.595,0.692,0.33464577623399805,0.05052308535292002,4.8201938957791555,0.33464577623399805,0.0
counter_emax_vs_pos_ctrl,Q2,tabpfn_2d_seed10_default,530,0.595,0.692,0.3419484646815174,0.051774726237890846,4.818942254894185,0.33464577623399805,0.0073026884475193565
counter_emax_vs_pos_ctrl,Q2,tabpfn_2d_seed10_top500,530,0.595,0.692,0.330273560757907,0.05493521776739156,4.815781763364684,0.33464577623399805,-0.004372215476091068
counter_emax_vs_pos_ctrl,Q3,ensemble,530,0.693,0.775,0.3354320827872135,0.05383313260320407,4.831412150415664,0.3354320827872135,0.0
counter_emax_vs_pos_ctrl,Q3,tabpfn_2d_seed10_default,530,0.693,0.775,0.3435757367475977,0.04652473014255742,4.83872055287631,0.3354320827872135,0.008143653960384245
counter_emax_vs_pos_ctrl,Q3,tabpfn_2d_seed10_top500,530,0.693,0.775,0.32433951025189095,0.050603714852962875,4.834641568165905,0.3354320827872135,-0.011092572535322531
counter_emax_vs_pos_ctrl,Q4,ensemble,528,0.776,0.934,0.3362467773487969,0.03970433499996175,4.840589225606099,0.3362467773487969,0.0
counter_emax_vs_pos_ctrl,Q4,tabpfn_2d_seed10_default,528,0.776,0.934,0.34541583910132895,0.03924417481277929,4.841049385793282,0.3362467773487969,0.00916906175253207
counter_emax_vs_pos_ctrl,Q4,tabpfn_2d_seed10_top500,528,0.776,0.934,0.33005122775381257,0.041007044044407935,4.8392865165616525,0.3362467773487969,-0.0061955495949843065
counter_emax_vs_pos_ctrl,Q5,ensemble,529,0.935,47.9,0.4478625557071576,-0.013567469419454374,4.327546675468604,0.4478625557071576,0.0
counter_emax_vs_pos_ctrl,Q5,tabpfn_2d_seed10_default,529,0.935,47.9,0.4533361183087181,-0.01851250414136229,4.332491710190512,0.4478625557071576,0.005473562601560511
counter_emax_vs_pos_ctrl,Q5,tabpfn_2d_seed10_top500,529,0.935,47.9,0.44725545549663115,-0.02297813550736369,4.336957341556513,0.4478625557071576,-0.0006071002105264567
counter_emax_vs_pos_ctrl,missing,ensemble,1492,,,0.44493670482179326,-0.08319909519315584,3.663700807134756,0.44493670482179326,0.0
counter_emax_vs_pos_ctrl,missing,tabpfn_2d_seed10_default,1492,,,0.4599621743916225,-0.08690209149259281,3.667403803434193,0.44493670482179326,0.015025469569829253
counter_emax_vs_pos_ctrl,missing,tabpfn_2d_seed10_top500,1492,,,0.4579711941653257,-0.06030478356254899,3.6408064955041493,0.44493670482179326,0.013034489343532463
counter_pec50,Q1,ensemble,530,1.76,1.97,0.3716766972573692,0.08387505403620196,4.659974002567571,0.3716766972573692,0.0
counter_pec50,Q1,tabpfn_2d_seed10_default,530,1.76,1.97,0.383115139799298,0.0845516703983523,4.659297386205421,0.3716766972573692,0.011438442541928828
counter_pec50,Q1,tabpfn_2d_seed10_top500,530,1.76,1.97,0.3683089135547854,0.07710397646562109,4.666745080138153,0.3716766972573692,-0.003367783702583782
counter_pec50,Q2,ensemble,533,1.98,2.62,0.454506306770723,-0.02964182253402775,4.578234693078117,0.454506306770723,0.0
