slice,model,n_true,n_false,mae_true,mae_false,delta_mae_true_minus_false,mean_residual_true,mean_residual_false,ensemble_mae_true,ensemble_mae_false,ensemble_mean_residual_true,delta_true_mae_vs_ensemble,delta_false_mae_vs_ensemble
chemprop_family_high_vs_non_top10,ensemble,414,3726,0.43514735760884926,0.3899921458815299,0.045155211727319344,0.11671653808457615,-0.026538818901502854,0.43514735760884926,0.3899921458815299,0.11671653808457615,0.0,0.0
chemprop_family_high_vs_non_top10,tabpfn_2d_seed10_default,414,3726,0.4507077876150896,0.400575757110242,0.0501320305048476,0.10792438454098173,-0.028067494294492127,0.43514735760884926,0.3899921458815299,0.11671653808457615,0.015560430006240356,0.010583611228712098
chemprop_family_high_vs_non_top10,tabpfn_2d_seed10_top500,414,3726,0.4185678755488373,0.39433433676214064,0.02423353878669665,-0.015276657440812089,-0.003393928016311937,0.43514735760884926,0.3899921458815299,0.11671653808457615,-0.016579482060011974,0.004342190880610719
chemprop_family_low_vs_non_bottom10,ensemble,414,3726,0.655184072458153,0.365543622009385,0.289640450448768,-0.14086228567939663,0.0020810504056052296,0.655184072458153,0.365543622009385,-0.14086228567939663,0.0,0.0
chemprop_family_low_vs_non_bottom10,tabpfn_2d_seed10_default,414,3726,0.6648422564400569,0.3767830383519123,0.2880592180881446,-0.1305610332627227,-0.0015691145385249665,0.655184072458153,0.365543622009385,-0.14086228567939663,0.009658183981903878,0.011239416342527286
chemprop_family_low_vs_non_bottom10,tabpfn_2d_seed10_top500,414,3726,0.6607805458243919,0.36742181784263456,0.2933587279817574,0.012508371072114987,-0.006481153406637163,0.655184072458153,0.365543622009385,-0.14086228567939663,0.005596473366238919,0.0018781958332495519
counter_above_main,ensemble,391,3749,0.6109843181700637,0.3719303476127365,0.2390539705573272,-0.35899060608173033,0.023953676851952908,0.6109843181700637,0.3719303476127365,-0.35899060608173033,0.0,0.0
counter_above_main,tabpfn_2d_seed10_default,391,3749,0.6240232069595999,0.38280747429826756,0.24121573266133234,-0.36302991140224133,0.021884744416368403,0.6109843181700637,0.3719303476127365,-0.35899060608173033,0.013038888789536185,0.010877126685531036
counter_above_main,tabpfn_2d_seed10_top500,391,3749,0.575964417664901,0.37806741849719344,0.1978969991677076,-0.3397350479086951,0.030372390440924334,0.6109843181700637,0.3719303476127365,-0.35899060608173033,-0.03501990050516268,0.006137070884456919
has_counter,ensemble,2648,1492,0.3660937228136437,0.44493670482179326,-0.07884298200814954,0.027783254368656876,-0.08319909519315584,0.3660937228136437,0.44493670482179326,0.027783254368656876,0.0,0.0
has_counter,tabpfn_2d_seed10_default,2648,1492,0.37495269292791084,0.4599621743916225,-0.08500948146371168,0.026344083068594117,-0.08690209149259281,0.3660937228136437,0.44493670482179326,0.027783254368656876,0.008858970114267117,0.015025469569829253
has_counter,tabpfn_2d_seed10_top500,2648,1492,0.36226730270328117,0.4579711941653257,-0.09570389146204455,0.026814359934308384,-0.06030478356254899,0.3660937228136437,0.44493670482179326,0.027783254368656876,-0.0038264201103625495,0.013034489343532463
has_single_conc_hi,ensemble,2374,1766,0.32878571271803736,0.48285643239638926,-0.1540707196783519,0.04568281641146778,-0.09004190182378802,0.32878571271803736,0.48285643239638926,0.04568281641146778,0.0,0.0
has_single_conc_hi,tabpfn_2d_seed10_default,2374,1766,0.33850739750223396,0.4957654209485308,-0.15725802344629686,0.04537055434553987,-0.09490854165210809,0.32878571271803736,0.48285643239638926,0.04568281641146778,0.009721684784196605,0.012908988552141565
has_single_conc_hi,tabpfn_2d_seed10_top500,2374,1766,0.3238472115621912,0.49476985221082254,-0.17092264064863133,0.03700174526497408,-0.06048270397979782,0.32878571271803736,0.48285643239638926,0.04568281641146778,-0.004938501155846153,0.01191341981443328
has_single_conc_lo,ensemble,2321,1819,0.31517660653511925,0.49573218132854996,-0.1805555747934307,0.05627657573659744,-0.09960468650061999,0.31517660653511925,0.49573218132854996,0.05627657573659744,0.0,0.0
