comp_id,name,smiles,formula
JQ1,"(6S)-6-(2-tert-butoxy-2-oxoethyl)-4-(4-chlorophenyl)-2,3,9-trimethyl-6,7-dihydrothieno[3,2-f][1,2,4]triazolo[4,3-a][1,4]diazepin-10-ium",Cc1sc2c(c1C)C(c1ccc(Cl)cc1)=NC(CC(=O)OC(C)(C)C)c1[nH]nc(C)[n+]1-2,C23 H26 Cl N4 O2 S
KUB,"4-[[(1~{S})-1-[2,5-bis(fluoranyl)phenyl]ethyl]amino]-5-chloranyl-2-fluoranyl-~{N}-(1,3-thiazol-4-yl)benzenesulfonamide",CC(Nc1cc(F)c(S(=O)(=O)Nc2cscn2)cc1Cl)c1cc(F)ccc1F,C17 H13 Cl F3 N3 O2 S2
L7D,"1,1,1,3,3,3-hexafluoro-2-(4-{1-[(4-fluorophenyl)sulfonyl]cyclopentyl}phenyl)propan-2-ol",O=S(=O)(c1ccc(F)cc1)C1(c2ccc(C(O)(C(F)(F)F)C(F)(F)F)cc2)CCCC1,C20 H17 F7 O3 S
N6H,"[2-[(3-chlorophenyl)methylamino]-7-methoxy-1,3-benzoxazol-5-yl]-(2,2-dimethylmorpholin-4-yl)methanone",COc1cc(C(=O)N2CCOC(C)(C)C2)cc2nc(NCc3cccc(Cl)c3)oc12,C22 H24 Cl N3 O4
NQD,"(2Z,6E,10E)-13-[(2R)-6-hydroxy-2,8-dimethyl-3,4-dihydro-2H-1-benzopyran-2-yl]-2,6,10-trimethyltrideca-2,6,10-trienoic acid",CC(=CCCC(C)=CCCC1(C)CCc2cc(O)cc(C)c2O1)CCC=C(C)C(=O)O,C27 H38 O4
P06,Dabrafenib,CC(C)(C)c1nc(-c2cccc(NS(=O)(=O)c3c(F)cccc3F)c2F)c(-c2ccnc(N)n2)s1,C23 H20 F3 N5 O2 S2
PNU,"6-CHLORO-2-(1-FURO[2,3-C]PYRIDIN-5-YL-ETHYLSULFANYL)-PYRIMIDIN-4-YLAMINE",CC(Sc1nc(N)cc(Cl)n1)c1cc2ccoc2cn1,C13 H11 Cl N4 O S
QCG,"(2S)-tert-butoxy[7-(8-fluoro-5-methyl-3,4-dihydro-2H-1-benzopyran-6-yl)-5-methyl-2-phenylpyrazolo[1,5-a]pyrimidin-6-yl]acetic acid",Cc1nc2cc(-c3ccccc3)nn2c(-c2cc(F)c3c(c2C)CCCO3)c1C(OC(C)(C)C)C(=O)O,C29 H30 F N3 O4
RFP,RIFAMPICIN,COC1C=COC2(C)Oc3c(C)c(O)c4c(O)c(c(C=NN5CCN(C)CC5)c(O)c4c3C2=O)NC(=O)C(C)=CC=CC(C)C(O)C(C)C(O)C(C)C(OC(C)=O)C1C,C43 H58 N4 O12
S65,heptachlor endo-epoxide,ClC1=C(Cl)C2(Cl)C3C4OC4C(Cl)C3C1(Cl)C2(Cl)Cl,C10 H5 Cl7 O
S68,endosulfan,O=S1OCC2C(CO1)C1(Cl)C(Cl)=C(Cl)C2(Cl)C1(Cl)Cl,C9 H6 Cl6 O3 S
S6E,(-)cis-chlordane,ClC1=C(Cl)C2(Cl)C3C(Cl)C(Cl)CC3C1(Cl)C2(Cl)Cl,C10 H6 Cl8
S6H,(+)cis-chlordane,ClC1=C(Cl)C2(Cl)C3C(Cl)C(Cl)CC3C1(Cl)C2(Cl)Cl,C10 H6 Cl8
S6T,pretilachlor,CCCOCCN(C(=O)CCl)c1c(CC)cccc1CC,C17 H26 Cl N O2
S6W,fipronil,N#Cc1nn(-c2c(Cl)cc(C(F)(F)F)cc2Cl)c(N)c1S(=O)C(F)(F)F,C12 H4 Cl2 F6 N4 O S
S6Z,oxadiazon,CC(C)Oc1cc(-n2nc(C(C)(C)C)oc2=O)c(Cl)cc1Cl,C15 H18 Cl2 N2 O3
SRL,"[2-(3,5-DI-TERT-BUTYL-4-HYDROXY-PHENYL)-1-(DIETHOXY-PHOSPHORYL)-VINYL]-PHOSPHONIC ACID DIETHLYL ESTER",CCOP(=O)(OCC)C(=Cc1cc(C(C)(C)C)c(O)c(C(C)(C)C)c1)P(=O)(OCC)OCC,C24 H42 O7 P2
TBY,tributylstannanyl,CCC[CH2][Sn]([CH2]CCC)[CH2]CCC,C12 H27 Sn
UAI,2-chloranyl-4-[2-(3-chloranyl-4-oxidanyl-phenyl)propan-2-yl]phenol,CC(C)(c1ccc(O)c(Cl)c1)c1ccc(O)c(Cl)c1,C15 H14 Cl2 O2
