family,n_selected,total_gain,gain_share_pct
log2fc_pred,2,39846.34012364982,0.7969429526257947
mordred,246,4749.0868471452195,0.09498366179918971
chemeleon,196,4121.322729090527,0.08242812499850627
boltz_tier0,13,460.42025037786516,0.009208591620866631
boltz_tier1_conf,25,392.44719935342437,0.007849103050164752
rdkit_full,14,296.76035256989417,0.005935327331579793
pose_jazzy,4,132.60924129688647,0.0026522385738980887
