rank,global_feature_idx,feature,family,lgbm_gain,gain_share_pct
472,121,chemeleon_121,chemeleon,9.107821100857109,0.017055246584080693
473,1217,mordred__MATS4se,mordred,9.09113144085859,0.017023993635265917
474,2098,boltz_tier1__plddt_res323,boltz_tier1_conf,9.090818191412836,0.017023407046390215
475,602,mordred__SsssN,mordred,9.074432396271732,0.01699272311293203
476,1062,mordred__AATSC0c,mordred,9.07233613380231,0.016988797665459462
477,921,mordred__MATS5d,mordred,9.047985158278607,0.01694319818699797
478,37,chemeleon_037,chemeleon,9.020126277289819,0.01689102982756724
479,1138,mordred__ATS5are,mordred,9.010350227355957,0.016872723260014585
480,5,chemeleon_005,chemeleon,8.999439079285366,0.0168522911150703
481,1496,mordred__VMcGowan,mordred,8.973235569894314,0.016803222593732015
482,1063,mordred__AATSC0d,mordred,8.960508779156953,0.016779390488133317
483,40,chemeleon_040,chemeleon,8.953188791841967,0.01676568312747406
484,268,chemeleon_268,chemeleon,8.949362059676787,0.016758517213698896
485,1437,mordred__BCUTs-1l,mordred,8.937482128079864,0.016736270931021202
486,1769,mordred__MINaaN,mordred,8.934811487124534,0.01673126990612992
487,863,mordred__GATS6Z,mordred,8.924651469307719,0.016712244322815806
488,832,mordred__GATS2c,mordred,8.913979754957836,0.01669226053990037
489,775,mordred__ATSC4Z,mordred,8.905111299070995,0.01667565352705996
490,864,mordred__GATS6c,mordred,8.887124519853387,0.016641971601228014
491,1237,mordred__MDEC-13,mordred,8.846517092664726,0.016565930397060908
492,2045,boltz_tier0__ptm,boltz_tier0,8.845854822953697,0.016564690235105414
493,273,chemeleon_273,chemeleon,8.841939695295878,0.016557358792505382
494,39,chemeleon_039,chemeleon,8.793897883762838,0.016467396008545472
495,206,chemeleon_206,chemeleon,8.790357351885177,0.016460766031568142
496,1816,pose_jazzy__sdx,pose_jazzy,8.77377433484071,0.016429712781655847
497,685,mordred__AATS5i,mordred,8.756842814211268,0.01639800692619593
498,102,chemeleon_102,chemeleon,8.74136588544934,0.016369024930010904
499,238,chemeleon_238,chemeleon,8.7403043332597,0.01636703707428167
500,806,mordred__ATSC7v,mordred,8.7373281630571,0.016361463917308177
