corr_cap,bag_frac,n_bags,init_top_n,blend_lambda,pool_size,nonzero_weights,candidate_raw_mae,candidate_cal_mae,candidate_cal_sp,candidate_resid_r_vs_id48,id48_proxy_mae,id48_proxy_sp,blend_proxy_mae,blend_proxy_sp,delta_proxy_mae,delta_proxy_sp,test_mean_shift_vs_id48,test_mean_abs_shift_vs_id48,test_p90_abs_shift_vs_id48,test_max_abs_shift_vs_id48,test_pearson_vs_id48,top_weights_json
1.01,0.5,20,1,0.4,51,15,0.39064502171305215,0.3890716397573335,0.8531856377328839,0.9853775317641486,0.3990535282803186,0.8425250499626794,0.3933109448001819,0.8480406172184467,-0.005742583480136676,0.005515567255767295,-0.034967407447532864,0.04368108648772626,0.08434269568600908,0.15863586350312708,0.9986981663302578,"[[""tabpfn_cheme_2d_full_boltz_log2fc_pred_optuna_trial10_seed5ens_umap_default"", 0.2950413223140496], [""tabpfn_chemprop_family_meta_umap"", 0.19669421487603306], [""lgbm_mordred_singleconc_umap_default"", 0.1669421487603306], [""tabpfn_cheme_2d_full_boltz_log2fc_pred_seed10ens_umap_default"", 0.15702479338842976], [""tabpfn_cheme_2d_full_boltz_log2fc_pred_seed15ens_umap_default"", 0.08677685950413223], [""tabpfn_chemprop_pretrain_optuna_trial10_embed_umap"", 0.047107438016528926], [""tabpfn_cheme_2d_full_boltz_log2fc_pred_seed5ens_umap_default"", 0.026446280991735537], [""tabpfn_kermt_pretrain_embed_seed5ens_umap_default"", 0.006611570247933884]]"
1.01,0.5,20,3,0.4,51,19,0.39073454195034296,0.3891617390733298,0.8531694764578288,0.9852548851103136,0.3990535282803186,0.8425250499626794,0.39333673774652117,0.8480443566172066,-0.005716790533797422,0.005519306654527156,-0.03521198907003167,0.04400228927569184,0.08481701558360477,0.15913459548393716,0.9986813784381874,"[[""tabpfn_cheme_2d_full_boltz_log2fc_pred_optuna_trial10_seed5ens_umap_default"", 0.2914634146341463], [""tabpfn_chemprop_family_meta_umap"", 0.19349593495934958], [""lgbm_mordred_singleconc_umap_default"", 0.1678861788617886], [""tabpfn_cheme_2d_full_boltz_log2fc_pred_seed10ens_umap_default"", 0.15813008130081302], [""tabpfn_cheme_2d_full_boltz_log2fc_pred_seed15ens_umap_default"", 0.08699186991869919], [""tabpfn_chemprop_pretrain_optuna_trial10_embed_umap"", 0.0459349593495935], [""tabpfn_cheme_2d_full_boltz_log2fc_pred_seed5ens_umap_default"", 0.02804878048780488], [""tabpfn_kermt_pretrain_embed_seed5ens_umap_default"", 0.006097560975609756]]"
1.01,0.5,40,1,0.3,51,18,0.3905172003047975,0.38883730114171916,0.8535556769584111,0.9842041850102184,0.3990535282803186,0.8425250499626794,0.39434672601549225,0.8470414499205743,-0.0047068022648263375,0.004516399957894879,-0.028867824999029547,0.03549917557923646,0.06796105111355466,0.1189814891076475,0.9991842395046452,"[[""tabpfn_cheme_2d_full_boltz_log2fc_pred_optuna_trial10_seed5ens_umap_default"", 0.2762396694214876], [""tabpfn_chemprop_family_meta_umap"", 0.1847107438016529], [""lgbm_mordred_singleconc_umap_default"", 0.18388429752066116], [""tabpfn_cheme_2d_full_boltz_log2fc_pred_seed10ens_umap_default"", 0.11921487603305785], [""tabpfn_cheme_2d_full_boltz_log2fc_pred_seed5ens_umap_default"", 0.08574380165289257], [""tabpfn_cheme_2d_full_boltz_log2fc_pred_seed15ens_umap_default"", 0.07995867768595041], [""tabpfn_chemprop_pretrain_optuna_trial10_embed_umap"", 0.042355371900826444], [""tabpfn_kermt_pretrain_embed_umap_default"", 0.00743801652892562]]"
1.01,0.5,40,3,0.3,51,23,0.3906076547089877,0.3889218501468979,0.8535308305845293,0.9840994863317764,0.3990535282803186,0.8425250499626794,0.39436627350912873,0.847035139119687,-0.004687254771189864,0.0045100891570075685,-0.02905361670527474,0.03573578649493124,0.0680153248021309,0.11912717649107485,0.9991749757293641,"[[""tabpfn_cheme_2d_full_boltz_log2fc_pred_optuna_trial10_seed5ens_umap_default"", 0.27215447154471545], [""lgbm_mordred_singleconc_umap_default"", 0.18495934959349594], [""tabpfn_chemprop_family_meta_umap"", 0.18170731707317073], [""tabpfn_cheme_2d_full_boltz_log2fc_pred_seed10ens_umap_default"", 0.12052845528455285], [""tabpfn_cheme_2d_full_boltz_log2fc_pred_seed5ens_umap_default"", 0.08617886178861789], [""tabpfn_cheme_2d_full_boltz_log2fc_pred_seed15ens_umap_default"", 0.08048780487804878], [""tabpfn_chemprop_pretrain_optuna_trial10_embed_umap"", 0.041463414634146344], [""tabpfn_kermt_pretrain_embed_umap_default"", 0.007520325203252033]]"
1.01,0.7,40,1,0.2,51,11,0.38749903389848495,0.3856884015636218,0.8561529883510983,0.9770413872192295,0.3990535282803186,0.8425250499626794,0.39450574578982034,0.8466640899360206,-0.004547782490498253,0.0041390399733411964,-0.0254453809060513,0.030123724003712535,0.059325981237435786,0.08870308565159046,0.9994553248570033,"[[""tabpfn_cheme_2d_full_boltz_log2fc_pred_optuna_trial10_seed5ens_umap_default"", 0.371900826446281], [""tabpfn_chemprop_family_meta_umap"", 0.2956611570247934], [""lgbm_mordred_singleconc_umap_default"", 0.24256198347107438], [""tabpfn_cheme_2d_full_boltz_log2fc_pred_seed15ens_umap_default"", 0.03347107438016529], [""tabpfn_chemprop_pretrain_optuna_trial10_embed_umap"", 0.03161157024793389], [""tabpfn_cheme_2d_full_boltz_log2fc_pred_seed5ens_umap_default"", 0.011983471074380166], [""tabpfn_cheme_2d_full_boltz_log2fc_pred_seed10ens_umap_default"", 0.005785123966942148], [""chemprop_pretrain_finetune_frozen_ultrlowlr_umap"", 0.003925619834710744]]"
1.01,0.7,40,3,0.2,51,13,0.38757488464876944,0.38573827254300375,0.8561402339936072,0.9769505365735385,0.3990535282803186,0.8425250499626794,0.3945136749337933,0.8466679252233044,-0.004539853346525291,0.004142875260624956,-0.025637568736549005,0.030323083943820706,0.05935496172318882,0.08936154795115847,0.9994512481069434,"[[""tabpfn_cheme_2d_full_boltz_log2fc_pred_optuna_trial10_seed5ens_umap_default"", 0.3642276422764228], [""tabpfn_chemprop_family_meta_umap"", 0.2910569105691057], [""lgbm_mordred_singleconc_umap_default"", 0.24451219512195121], [""tabpfn_cheme_2d_full_boltz_log2fc_pred_seed15ens_umap_default"", 0.034552845528455285], [""tabpfn_chemprop_pretrain_optuna_trial10_embed_umap"", 0.030894308943089432], [""tabpfn_cheme_2d_full_boltz_log2fc_pred_seed5ens_umap_default"", 0.01402439024390244], [""tabpfn_cheme_2d_full_boltz_log2fc_pred_seed10ens_umap_default"", 0.011178861788617886], [""chemprop_pretrain_finetune_frozen_ultrlowlr_umap"", 0.003658536585365854]]"
1.01,0.5,20,1,0.3,51,15,0.39064502171305215,0.3890716397573335,0.8531856377328839,0.9853775317641486,0.3990535282803186,0.8425250499626794,0.39453711126143104,0.8468326495310882,-0.004516417018887553,0.00430759956840876,-0.026225555585649936,0.0327608148657949,0.06325702176450676,0.11897689762734487,0.9992712413170963,"[[""tabpfn_cheme_2d_full_boltz_log2fc_pred_optuna_trial10_seed5ens_umap_default"", 0.2950413223140496], [""tabpfn_chemprop_family_meta_umap"", 0.19669421487603306], [""lgbm_mordred_singleconc_umap_default"", 0.1669421487603306], [""tabpfn_cheme_2d_full_boltz_log2fc_pred_seed10ens_umap_default"", 0.15702479338842976], [""tabpfn_cheme_2d_full_boltz_log2fc_pred_seed15ens_umap_default"", 0.08677685950413223], [""tabpfn_chemprop_pretrain_optuna_trial10_embed_umap"", 0.047107438016528926], [""tabpfn_cheme_2d_full_boltz_log2fc_pred_seed5ens_umap_default"", 0.026446280991735537], [""tabpfn_kermt_pretrain_embed_seed5ens_umap_default"", 0.006611570247933884]]"
0.86,0.7,20,1,0.4,25,13,0.41181004004254257,0.40755685791673396,0.8422287161190743,0.9265955946335728,0.3990535282803186,0.8425250499626794,0.39454554666756847,0.8481252740168481,-0.004507981612750123,0.005600224054168712,-0.08818803726010932,0.11326725101600876,0.21826847521661163,0.374865240302678,0.9913907907617683,"[[""lgbm_mordred_singleconc_umap_default"", 0.44297520661157025], [""chemprop_pretrain_finetune_frozen_aggrlr_umap"", 0.15867768595041323], [""tabpfn_boltz_raw_plus_pretrain_concat_umap_default"", 0.11487603305785124], [""chemprop_pretrain_finetune_frozen_hilr_nowup_umap"", 0.09545454545454546], [""tabpfn_unimol_v2_log2fc_seed5ens_embed_umap_default"", 0.052479338842975204], [""tabpfn_desc_top2000_umap_default"", 0.03512396694214876], [""tabpfn_pooled_boltz_umap_default"", 0.028925619834710745], [""tabpfn_boltz_trunk_pretrain_embed_c_concat_umap_default"", 0.023140495867768594]]"
1.01,0.5,20,3,0.3,51,19,0.39073454195034296,0.3891617390733298,0.8531694764578288,0.9852548851103136,0.3990535282803186,0.8425250499626794,0.39455578158620686,0.8468331063967801,-0.004497746694111737,0.004308056434100704,-0.02640899180252398,0.03300171695676904,0.06361276168770368,0.11935094661295231,0.9992618851120596,"[[""tabpfn_cheme_2d_full_boltz_log2fc_pred_optuna_trial10_seed5ens_umap_default"", 0.2914634146341463], [""tabpfn_chemprop_family_meta_umap"", 0.19349593495934958], [""lgbm_mordred_singleconc_umap_default"", 0.1678861788617886], [""tabpfn_cheme_2d_full_boltz_log2fc_pred_seed10ens_umap_default"", 0.15813008130081302], [""tabpfn_cheme_2d_full_boltz_log2fc_pred_seed15ens_umap_default"", 0.08699186991869919], [""tabpfn_chemprop_pretrain_optuna_trial10_embed_umap"", 0.0459349593495935], [""tabpfn_cheme_2d_full_boltz_log2fc_pred_seed5ens_umap_default"", 0.02804878048780488], [""tabpfn_kermt_pretrain_embed_seed5ens_umap_default"", 0.006097560975609756]]"
0.86,0.7,20,3,0.4,25,13,0.41182526477719283,0.4075693294439554,0.8421982774317726,0.9266408386389553,0.3990535282803186,0.8425250499626794,0.39456025687208873,0.8481187486928699,-0.00449327140822986,0.005593698730190444,-0.08804418796370225,0.11322796508401765,0.21813858409284173,0.3744588185456559,0.9913812318150321,"[[""lgbm_mordred_singleconc_umap_default"", 0.4426829268292683], [""chemprop_pretrain_finetune_frozen_aggrlr_umap"", 0.1589430894308943], [""tabpfn_boltz_raw_plus_pretrain_concat_umap_default"", 0.11260162601626016], [""chemprop_pretrain_finetune_frozen_hilr_nowup_umap"", 0.09471544715447154], [""tabpfn_unimol_v2_log2fc_seed5ens_embed_umap_default"", 0.053252032520325204], [""tabpfn_desc_top2000_umap_default"", 0.038211382113821135], [""tabpfn_pooled_boltz_umap_default"", 0.028455284552845527], [""tabpfn_boltz_trunk_pretrain_embed_c_concat_umap_default"", 0.023983739837398373]]"
