alpha,predicted_lb_mae_quadratic,predicted_lb_sp_quadratic,mean_pred,std_pred,mean_abs_shift_vs_base,p90_abs_shift_vs_base,path
0.25,0.40742125874210916,0.8463830375163515,4.794603294318203,0.7631573996851183,0.010145363377951926,0.022414597365437584,track1_activity/analysis/compound_level_lb/outputs/meta_axis_candidates/ens_meta_axis_a250.csv
0.3,0.4073947039874545,0.846537951454121,4.795006215394018,0.7624855281950443,0.012174436053542311,0.026897516838525173,track1_activity/analysis/compound_level_lb/outputs/meta_axis_candidates/ens_meta_axis_a300.csv
0.343,0.40738749359509047,0.8466625322893299,4.79535272751922,0.7619148134308588,0.013919438554550011,0.03075282758538016,track1_activity/analysis/compound_level_lb/outputs/meta_axis_candidates/ens_meta_axis_a343.csv
0.35,0.40738768748816245,0.846682056250514,4.795409136469833,0.7618225284041343,0.014203508729132676,0.03138043631161267,track1_activity/analysis/compound_level_lb/outputs/meta_axis_candidates/ens_meta_axis_a350.csv
0.4,0.4074002092442331,0.8468153519055303,4.795812057545648,0.7611684234949108,0.016232581404723067,0.03586335578469937,track1_activity/analysis/compound_level_lb/outputs/meta_axis_candidates/ens_meta_axis_a400.csv
