fold,epochs_run,best_val_mae,loss_start,loss_end,pretrain_val_loss,frozen_param_tensors,encoder_hidden_dim,target_mean,target_std,val_MAE,val_RAE,val_R2,val_Spearman_R,val_Kendall_Tau
0,49,0.5225327164674615,1.0323844977787562,0.2754777159009661,0.36472949385643005,4,256,4.306232452392578,1.1157569885253906,0.5225327140790889,0.5764548593059063,0.5941671176385839,0.7197436716100851,0.5320367408053549
1,58,0.4749101292848687,1.020639419555664,0.2750950817550932,0.36472949385643005,4,256,4.348460674285889,1.103929042816162,0.4749101303996911,0.47805451354487105,0.7010914295934235,0.7964657262978877,0.5987782990845941
2,48,0.475794279366206,0.9161166208130973,0.26531109852450235,0.36472949385643005,4,256,4.3286027908325195,1.1412564516067505,0.4757942809714209,0.5602104943308182,0.5924908249059986,0.7601329175888935,0.5718671168211102
3,57,0.44694663580151006,1.0459305133138384,0.2471407162291663,0.36472949385643005,4,256,4.28664493560791,1.145444393157959,0.44694663862364703,0.5732756553358636,0.5866363406827094,0.7291307897009219,0.5482633378704415
4,71,0.4822359864629788,1.072409212589264,0.23399236372538976,0.36472949385643005,4,256,4.334252834320068,1.098952293395996,0.4822359809101127,0.4801366075898868,0.6943578584569763,0.7897475454523458,0.5908212972033767
