subset,metric,n,spearman_vs_lb_mae,pearson_vs_lb_mae,spearman_vs_lb_rae,spearman_vs_lb_spearman,abs_spearman_vs_lb_mae
all_matched_rows,slice_logreg_testlike_top30__bias,22,0.432870643774742,-0.3448195179189286,0.432870643774742,-0.37799588381499627,0.432870643774742
all_matched_rows,slice_logreg_testlike_top19__bias,22,0.432870643774742,-0.43672627091834365,0.432870643774742,-0.37799588381499627,0.432870643774742
all_matched_rows,slice_pec50_top9__spearman,22,0.3677073210559637,-0.27108263539373495,0.3677073210559637,-0.2773133774254745,0.3677073210559637
all_matched_rows,weighted_lgbm_x_potent46__bias,22,0.3677073210559637,-0.37969227422484947,0.3677073210559637,-0.2773133774254745,0.3677073210559637
all_matched_rows,slice_pec50_top19__spearman,22,0.3677073210559637,-0.3816902742214122,0.3677073210559637,-0.2773133774254745,0.3677073210559637
all_matched_rows,slice_lf_mean_top30__spearman,22,0.3677073210559637,-0.44026072884215384,0.3677073210559637,-0.2773133774254745,0.3677073210559637
all_matched_rows,slice_pec50_top30__spearman,22,0.3677073210559637,-0.4423622392791249,0.3677073210559637,-0.2773133774254745,0.3677073210559637
all_matched_rows,slice_lf_mean_top19__spearman,22,0.3677073210559637,-0.4426400900401707,0.3677073210559637,-0.2773133774254745,0.3677073210559637
all_matched_rows,slice_pec50_top50__spearman,22,0.3677073210559637,-0.47864245855108517,0.3677073210559637,-0.2773133774254745,0.3677073210559637
all_matched_rows,slice_lf_mean_top9__spearman,22,0.3677073210559637,-0.4800377645462239,0.3677073210559637,-0.2773133774254745,0.3677073210559637
all_matched_rows,slice_lf_mean_top50__spearman,22,0.3677073210559637,-0.4833810445171776,0.3677073210559637,-0.2773133774254745,0.3677073210559637
all_matched_rows,slice_log2fc33_pred_top30__spearman,22,0.3677073210559637,-0.4873474289203253,0.3677073210559637,-0.2773133774254745,0.3677073210559637
all_matched_rows,slice_log2fc33_pred_top19__spearman,22,0.3677073210559637,-0.48965997577959586,0.3677073210559637,-0.2773133774254745,0.3677073210559637
all_matched_rows,slice_log2fc33_pred_top50__spearman,22,0.3677073210559637,-0.4971943303433568,0.3677073210559637,-0.2773133774254745,0.3677073210559637
all_matched_rows,slice_logreg_testlike_top9__spearman,22,0.3677073210559637,-0.5028335227206286,0.3677073210559637,-0.2773133774254745,0.3677073210559637
all_matched_rows,slice_log2fc33_pred_top9__spearman,22,0.3677073210559637,-0.5198532022475583,0.3677073210559637,-0.2773133774254745,0.3677073210559637
all_matched_rows,slice_logreg_testlike_top19__spearman,22,0.3677073210559637,-0.5346261816850723,0.3677073210559637,-0.2773133774254745,0.3677073210559637
all_matched_rows,slice_lgbm_testlike_top30__spearman,22,0.3677073210559637,-0.5416626883343325,0.3677073210559637,-0.2773133774254745,0.3677073210559637
all_matched_rows,slice_lgbm_testlike_top9__spearman,22,0.3677073210559637,-0.5473405895672423,0.3677073210559637,-0.2773133774254745,0.3677073210559637
all_matched_rows,slice_lgbm_testlike_top19__spearman,22,0.3677073210559637,-0.5525300517623506,0.3677073210559637,-0.2773133774254745,0.3677073210559637
all_matched_rows,slice_logreg_testlike_top30__spearman,22,0.3677073210559637,-0.5543765490343974,0.3677073210559637,-0.2773133774254745,0.3677073210559637
all_matched_rows,slice_test_nn_top30__spearman,22,0.3677073210559637,-0.5551749994632973,0.3677073210559637,-0.2773133774254745,0.3677073210559637
all_matched_rows,global_mae__spearman,22,0.3677073210559637,-0.5578001561768264,0.3677073210559637,-0.2773133774254745,0.3677073210559637
all_matched_rows,weighted_logreg_testlikeness__spearman,22,0.3677073210559637,-0.5578001561768264,0.3677073210559637,-0.2773133774254745,0.3677073210559637
all_matched_rows,weighted_lgbm_testlikeness__spearman,22,0.3677073210559637,-0.5578001561768264,0.3677073210559637,-0.2773133774254745,0.3677073210559637
all_matched_rows,weighted_lgbm_x_potent46__spearman,22,0.3677073210559637,-0.5578001561768264,0.3677073210559637,-0.2773133774254745,0.3677073210559637
all_matched_rows,slice_lgbm_testlike_top50__spearman,22,0.3677073210559637,-0.5606598787510325,0.3677073210559637,-0.2773133774254745,0.3677073210559637
all_matched_rows,slice_test_nn_top19__spearman,22,0.3677073210559637,-0.5619578336413626,0.3677073210559637,-0.2773133774254745,0.3677073210559637
all_matched_rows,slice_logreg_testlike_top50__spearman,22,0.3677073210559637,-0.5743735340231849,0.3677073210559637,-0.2773133774254745,0.3677073210559637
all_matched_rows,slice_test_nn_top50__bias,22,0.3031258137186029,-0.42433811761046497,0.3031258137186029,-0.34424105508324904,0.3031258137186029
