true_bin,direction,n,mae,bias
<3,overpred,23,1.1830060013147428,1.1830060013147428
<3,underpred,1,0.24146633596601585,-0.24146633596601585
3-4,overpred,17,0.5863024656077487,0.5863024656077487
3-4,underpred,14,0.4032264744748861,-0.4032264744748861
4-5,overpred,50,0.30676649928273786,0.30676649928273786
4-5,underpred,36,0.38962566265365484,-0.38962566265365484
5-6,overpred,34,0.16006598777942327,0.16006598777942327
5-6,underpred,68,0.2865300466450044,-0.2865300466450044
>=6,underpred,10,0.5507141813659158,-0.5507141813659158
