molecule_name,compound_id,true_pec50,pred_id55,error,abs_error,emax_estimate,log2fc_8p25_pred,log2fc_33_pred,lf_mean,nn_train_tanimoto,nn_train_pec50,nn_train_name,nn_potent_tanimoto,nn_potent_pec50,true_bin,smiles
OADMET-0006439,4312,1.745,4.620959352467861,2.875959352467861,2.875959352467861,2.325,0.4043116,0.75336087,0.5788362,0.47619048,2.67,OADMET-0002888,0.43283582,6.0600000000000005,,CCC1(O)CCCN(c2cccc(-n3cnc4ccccc43)n2)C1
OADMET-0006458,4294,1.945,4.17158476867593,2.22658476867593,2.22658476867593,2.34,0.1888712,0.4619189,0.32539505,0.5,6.01,OADMET-0003434,0.5,6.01,,CC1CCCN(c2cc(C(=O)Nc3ccnn3C)ccn2)C1
OADMET-0006534,4221,2.8200000000000003,4.894503708189022,2.074503708189022,2.074503708189022,2.47,0.6125307,0.9633652,0.78794795,0.5535714,6.6850000000000005,OADMET-0003257,0.5535714,6.6850000000000005,,CNS(=O)(=O)c1ccc(C(=O)NC2(C)CC=CCC2)cn1
OADMET-0006336,4411,1.805,3.8467020591264496,2.0417020591264494,2.0417020591264494,2.33,0.066736154,0.19436073,0.13054845,0.5,6.6850000000000005,OADMET-0003257,0.5,6.6850000000000005,,O=C(NCC(F)(F)F)c1ccc(S(=O)(=O)NC2CCC(O)CC2)cc1
OADMET-0006514,4240,2.725,4.353301554901036,1.6283015549010362,1.6283015549010362,2.33,0.28842846,0.65796405,0.47319627,0.5,5.79,OADMET-0002921,0.2195122,6.11,,CC(NC(=O)c1ccc(O)nc1)c1nc2ccccc2n1C(F)F
OADMET-0006566,4191,1.945,3.4347619161604124,1.4897619161604123,1.4897619161604123,1.84,0.12803647,0.33844623,0.23324135,0.41269842,2.67,OADMET-0002888,0.37313432,6.0600000000000005,,CC(O)CCNc1cccc(-n2cnc3ccccc32)n1
OADMET-0006249,4496,1.96,3.442191554486832,1.4821915544868318,1.4821915544868318,2.34,0.1334508,0.320974,0.2272124,0.5151515,6.115,OADMET-0002718,0.5151515,6.115,,Cc1ncn(CC(=O)N2CCOC(c3ccc(F)cc3)C2)c(=O)c1C
OADMET-0006472,4280,1.755,3.1615782323991417,1.4065782323991418,1.4065782323991418,2.3150000000000004,0.105088435,0.20082545,0.15295695,0.578125,6.205,OADMET-0003017,0.578125,6.205,,CC(C)C1CC(CC(=O)NCc2ccc(C(=O)Nc3ccncc3)cc2)CCO1
