feature_set,model_type,alpha,shrink,mae,spearman,mean_pred,mean_residual,delta_mae_vs_raw,delta_spearman_vs_raw,mean_abs_shift_oof,p90_abs_shift_oof
lowd_core,huber,10.0,0.75,0.38751999374258017,0.8534198225374136,4.339750165513597,-0.018936505074740307,-0.009569033156042461,0.008330094228329532,0.05779188881375706,0.1256445117030693
lowd_core,huber,1.0,0.75,0.38753061986130505,0.8534118383380357,4.339751351139156,-0.018937690700298316,-0.009558407037317584,0.008322110028951668,0.05788672335424892,0.12599783020898145
lowd_core,huber,0.1,0.75,0.38753187265479855,0.853415599552703,4.339751520851408,-0.01893786041255071,-0.009557154243824084,0.008325871243618943,0.057896401819085515,0.12603300819640992
lowd_core,huber,0.01,0.75,0.3875319998273488,0.8534161447812765,4.339751535994511,-0.0189378755556534,-0.009557027071273816,0.008326416472192455,0.05789737192523463,0.12603652662004974
lowd_core,huber,0.001,0.75,0.38753201256260417,0.8534161447812765,4.339751537492577,-0.01893787705371983,-0.009557014336018466,0.008326416472192455,0.057897468964532246,0.1260368784665762
lowd_core,ridge,10.0,0.75,0.38800598171506845,0.8535860970430009,4.325563363910977,-0.00474970347211988,-0.009083045183554184,0.008496368733916904,0.0645119302675905,0.14364993494133016
lowd_core,ridge,1.0,0.75,0.3880413015896437,0.8535450854198485,4.325567841183585,-0.004754180744728592,-0.00904772530897896,0.008455357110764505,0.0647322201251171,0.1441401010723729
lowd_core,ridge,0.1,0.75,0.3880462203938671,0.8535382270227699,4.325568205261621,-0.004754544822763051,-0.00904280650475553,0.008448498713685915,0.06475625502817037,0.1441847312635119
lowd_core,ridge,0.01,0.75,0.38804673106867665,0.8535390500236547,4.325568240305687,-0.004754579866829768,-0.009042295829945979,0.00844932171457069,0.06475867771497933,0.14418911014172325
lowd_core,ridge,0.001,0.75,0.38804678233110257,0.8535391475187765,4.325568243795654,-0.004754583356797613,-0.009042244567520064,0.008449419209692444,0.06475892016752806,0.1441895471532716
lowd_core,huber,10.0,1.0,0.3881484688786196,0.8539540666322745,4.34159082659661,-0.020777166157752405,-0.008940558020003042,0.008864338323190446,0.07705585175167608,0.16752601560409242
lowd_core,huber,1.0,1.0,0.38817195717965647,0.8539453274164677,4.341592407430687,-0.020778746991829758,-0.008917069718966164,0.00885559910738365,0.07718229780566524,0.16799710694530862
lowd_core,huber,0.1,1.0,0.3881745272398646,0.8539442675692377,4.341592633713691,-0.02077897327483296,-0.008914499658758013,0.008854539260153671,0.07719520242544736,0.16804401092854654
lowd_core,huber,0.01,1.0,0.3881747867912763,0.8539446811413458,4.3415926539044944,-0.020778993465636546,-0.008914240107346316,0.008854952832261787,0.07719649590031286,0.16804870216006634
lowd_core,huber,0.001,1.0,0.38817481277171034,0.8539446811413458,4.341592655901915,-0.020778995463058444,-0.00891421412691229,0.008854952832261787,0.077196625286043,0.16804917128876828
lowd_core,ridge,10.0,0.5,0.3887856196222428,0.85208596733929,4.3284516366955055,-0.007637976256647911,-0.008303407276379848,0.006996239030205964,0.043007953511727,0.09576662329422012
lowd_core,ridge,1.0,0.5,0.3887993300565572,0.8520600316075126,4.328454621543911,-0.007640961105053715,-0.00828969684206543,0.006970303298428626,0.043154813416744736,0.09609340071491526
lowd_core,ridge,0.1,0.5,0.38880166245401643,0.8520539241680893,4.328454864262601,-0.007641203823743356,-0.008287364444606204,0.006964195859005318,0.04317083668544692,0.09612315417567459
lowd_core,ridge,0.01,0.5,0.38880190864864134,0.8520535701246592,4.328454887625311,-0.007641227186454503,-0.008287118249981296,0.006963841815575189,0.04317245180998622,0.0961260734278155
lowd_core,ridge,0.001,0.5,0.38880193340249025,0.8520535701246592,4.328454889951957,-0.007641229513099733,-0.00828709349613238,0.006963841815575189,0.04317261344501871,0.09612636476884774
potent_noaux,huber,0.001,0.75,0.3890611483771981,0.851585106487347,4.341538837184682,-0.020725176745825948,-0.008027878521424558,0.006495378178262956,0.04757660634712625,0.09307852486851023
potent_noaux,huber,0.01,0.75,0.3890611506488037,0.851585106487347,4.3415388388619975,-0.020725178423141047,-0.008027876249818933,0.006495378178262956,0.047576532148757886,0.09307828581690335
potent_noaux,huber,0.1,0.75,0.38906117337718604,0.8515855546435875,4.3415388557379035,-0.020725195299046695,-0.00802785352143659,0.006495826334503518,0.047575790221772135,0.09307589531376799
potent_noaux,huber,1.0,0.75,0.38906140115284893,0.8515855524450853,4.341539027809601,-0.020725367370743854,-0.008027625745773703,0.006495824136001249,0.04756837436351872,0.09305199585928947
potent_noaux,huber,10.0,0.75,0.3890637196576983,0.8515818963357401,4.341540712582845,-0.020727052143988383,-0.008025307240924318,0.006492168026656087,0.04749444477518523,0.09281954545448017
lowd_core,huber,10.0,0.5,0.3890923954965195,0.8518622764936433,4.337909504430585,-0.017095843991728192,-0.007996631402103105,0.006772548184559302,0.03852792587583804,0.08376300780204621
lowd_core,huber,1.0,0.5,0.3890952349116611,0.8518591687415094,4.3379102948476245,-0.017096634408766864,-0.00799379198696154,0.006769440432425333,0.03859114890283262,0.08399855347265431
lowd_core,huber,0.1,0.5,0.3890956641292886,0.851857934282461,4.337910407989126,-0.017096747550268455,-0.007993362769334045,0.006768205973377017,0.03859760121272368,0.08402200546427327
lowd_core,huber,0.01,0.5,0.38909570837885593,0.8518586231747047,4.337910418084528,-0.017096757645670264,-0.007993318519766701,0.0067688948656207115,0.03859824795015643,0.08402435108003317
lowd_core,huber,0.001,0.5,0.3890957128161657,0.8518586231747047,4.337910419083238,-0.017096758644381215,-0.00799331408245696,0.0067688948656207115,0.0385983126430215,0.08402458564438414
potent_noaux,huber,10.0,1.0,0.3894142925822592,0.8522870340741039,4.343978222688941,-0.023164562250083256,-0.007674734316363452,0.007197305765019868,0.06332592636691364,0.12375939393930688
potent_noaux,huber,1.0,1.0,0.3894213461077191,0.8522899536851745,4.3439759763246135,-0.02316231588575707,-0.007667680790903519,0.007200225376090441,0.06342449915135831,0.12406932781238597
