source,gate,gamma,MAE,delta_mae_vs_raw,Spearman_R,delta_spearman_vs_raw,train_gate_mean,test_gate_mean,test_shift_mean,id55_abs_delta_mean,id55_abs_delta_p90,id55_abs_delta_max,id55_spearman,id56_minus_id55_projection,id56_minus_id55_pearson,id56_minus_id51_projection,id56_minus_id51_pearson
optuna_top500_minus_current_raw,log2fc_33_pred_soft_q60_to_q95,0.5,0.3889764803872401,-0.00246751420024921,0.8512370462813397,0.0022063174806021824,0.18363335988203974,0.16366338163423075,0.005138624075551606,0.008220337898404513,0.028294009711866155,0.0967219370548591,0.9993753128768745,0.03905378669139353,0.16420833277705177,0.07976814609256112,0.28647134451453005
optuna_top500_minus_current_raw,lf_mean_hard_q50,0.15,0.38908887580919993,-0.0023551187782893668,0.8514217586956839,0.0023910298949464392,0.5,0.5263157894736842,0.005494886861096905,0.008876339321239976,0.027459445845145147,0.054865365968446156,0.9996697015723486,0.05591553236016085,0.29800561490638633,0.10245136499258344,0.4724144459795815
optuna_top500_minus_current_raw,positive_delta_x_log2fc_33_pred_soft_q50_to_q95,0.5,0.3891090054334101,-0.0023349891540792034,0.8506747958883123,0.0016440670875748076,0.13147440234379873,0.15409183570353915,0.008714699404537935,0.008714699404537944,0.03303312592668775,0.09928667055711049,0.9995484617835122,0.05661652263649093,0.25480833695779176,0.09783035347014811,0.37559075793018193
optuna_top500_minus_current_raw,lf_mean_soft_q60_to_q95,0.35,0.3891575253130779,-0.0022864692744113957,0.8512644449472901,0.0022337161465526556,0.1847888123605944,0.21218129854465353,0.006891655347620151,0.008773202221858779,0.03224094534372739,0.09481849789823293,0.9995916601246959,0.047992097475973695,0.21156149945304845,0.0969634445051984,0.36383531567830174
optuna_top500_minus_current_raw,log2fc_33_pred_soft_q50_to_q95,0.35,0.3891595264313936,-0.002284468156095676,0.8511596820842235,0.002128953283486057,0.22595872019580202,0.20627987922671573,0.004701171429150296,0.00749940773720281,0.02480985292753282,0.0695006693899769,0.9996374361446744,0.039993843012337715,0.21041762740086992,0.07790395189944786,0.35204232259295176
optuna_top500_minus_current_raw,positive_delta_x_lf_slope_hard_q50,0.5,0.38916651897739696,-0.002277475610092339,0.8505269957358857,0.0014962669351482605,0.221256038647343,0.13840155945419103,0.004812888295482492,0.004812888295482496,0.020404854985437215,0.10987206167475794,0.9996742347316087,0.043764589992523334,0.2216333606011748,0.0568897903045581,0.25095294473846846
optuna_top500_minus_current_raw,positive_delta_x_lf_mean_soft_q50_to_q95,0.35,0.3891768373601094,-0.0022671572273799123,0.8509751476640086,0.0019444188632711246,0.14573590116248866,0.20459130980307577,0.009142617954619422,0.009142617954619426,0.03401945600471095,0.09891642472133455,0.9996357473206364,0.05878769517346756,0.26545565243364533,0.10827989043404831,0.41594522826057084
optuna_top500_minus_current_raw,log2fc_33_pred_hard_q50,0.15,0.38924714548580497,-0.0021968491016843283,0.8513606065928493,0.002329877792111801,0.5,0.4775828460038986,0.004493032638888879,0.007779028970405367,0.02608143658834976,0.054865365968446156,0.9996931673379299,0.04906085252018938,0.27517683700318524,0.09007216472387174,0.4379559890801164
optuna_top500_minus_current_raw,log2fc_33_pred_hard_q70,0.25,0.3892901672606894,-0.0021538273267999175,0.8508944601769741,0.0018637313762366325,0.3,0.2826510721247563,0.00488707112984726,0.007078498386513746,0.03094277757766975,0.07288921959951455,0.9995577947584592,0.03409154847345943,0.1666593004185682,0.06943884516595482,0.2888983504528997
optuna_top500_minus_current_raw,lf_slope_hard_q50,0.25,0.38933707443127114,-0.0021069201562181616,0.8512333646355444,0.002202635834806954,0.5,0.36257309941520466,-0.0026353214611366713,0.007448209756619175,0.027469034779126218,0.09144227661407811,0.9995664166496008,0.05506528425092992,0.24442750487866205,0.08492721120836656,0.34081848626141337
optuna_top500_minus_current_raw,lf_slope_soft_q50_to_q95,0.5,0.3893805449670781,-0.0020634496204112174,0.8514205869785093,0.0023898581777718197,0.24059961908139088,0.11171089363585965,-0.00236911086507234,0.004475513920523684,0.012635580669851801,0.09057105407766919,0.999717255301841,0.020286668165280238,0.10935199338154951,0.04246099220574485,0.2130768998686604
optuna_top500_minus_current_raw,lf_mean_soft_q50_to_q95,0.25,0.389435763176619,-0.002008231410870309,0.8510238975079534,0.0019931687072158866,0.22613256731567852,0.25385906499348876,0.005628653302950232,0.007432229489363224,0.02606108663384284,0.07065458908666766,0.9997299659248642,0.042237341786570876,0.23989168041821432,0.08325737295076482,0.4040726298471009
optuna_top500_minus_current_raw,lf_mean_hard_q60,0.15,0.3894404948200376,-0.0020034997674516775,0.8509992251539854,0.001968496353247917,0.4,0.43859649122807015,0.0057296653139300435,0.0076774335426815265,0.026912547412135626,0.05198803687864029,0.9997208107208685,0.04584646914281057,0.269615053970558,0.08841978933142061,0.44572125530018336
optuna_top500_minus_current_raw,positive_delta_x_lf_mean_hard_q50,0.15,0.38945145971099193,-0.001992534876497365,0.8507692326396917,0.0017385038389542418,0.29782608695652174,0.3723196881091618,0.0071856130911684465,0.007185613091168437,0.026665253721844275,0.05198803687864029,0.9997944078947371,0.049688278886250534,0.32204866156590495,0.08839241505421593,0.4894726762180171
optuna_top500_minus_current_raw,log2fc_33_pred_soft_q70_to_q95,0.5,0.3895247768071545,-0.0019192177803347699,0.8506715494614171,0.0016408206606796094,0.14449642906902613,0.12154233047500228,0.003396366423491509,0.005897195218265566,0.020268829138269596,0.09387112870706726,0.9994960193528569,0.022372722939029064,0.10838526471653824,0.05072645320598922,0.20794122109134203
optuna_top500_minus_current_raw,positive_delta_x_lf_mean_soft_q60_to_q95,0.35,0.38953338292268797,-0.0019106116648013316,0.8506326306433504,0.001601901842612885,0.12146393510146519,0.17622980809330654,0.007832428784739467,0.007832428784739458,0.03103231229582324,0.09481849789823293,0.9996899674608052,0.049230324868425136,0.23882509876017022,0.09142880440550955,0.37682576227807574
seed10_top500_minus_current_raw,positive_delta_x_lf_mean_hard_q50,0.25,0.3895652619703414,-0.0018787326171478824,0.850845553985692,0.0018148251849544605,0.2966183574879227,0.29239766081871343,0.0078048414173006566,0.007804841417300653,0.031222514536407432,0.09798039848300988,0.9995998375884589,-0.029474515547554023,-0.1122675276087641,0.001446499754633463,0.019091339642708868
optuna_top500_minus_current_raw,lf_mean_soft_q70_to_q95,0.35,0.38957050839760493,-0.0018734861898843658,0.850831988634521,0.0018012598337835417,0.14902497605799306,0.17323501304644756,0.0056441514715379545,0.007176826472083424,0.027973165907270926,0.09064351191747555,0.9996480135162811,0.036375598384999014,0.17563709546995068,0.07682776289027105,0.3142029272185818
optuna_top500_minus_current_raw,lf_slope_hard_q80,0.5,0.389590889840168,-0.0018531047473213103,0.8510055094037294,0.0019747806029919435,0.2,0.06042884990253411,-0.0018030737001078752,0.0026063656878442002,0.0,0.10866982873786402,0.9997017892290715,0.005368596307565692,0.02429051662314088,0.01918253882458346,0.0913283767596713
