source,gate,gamma,MAE,delta_mae_vs_raw,Spearman_R,delta_spearman_vs_raw,train_gate_mean,test_gate_mean,test_shift_mean,id55_abs_delta_mean,id55_abs_delta_p90,id55_abs_delta_max,id55_spearman,id56_minus_id55_projection,id56_minus_id55_pearson,id56_minus_id51_projection,id56_minus_id51_pearson
optuna_top500_minus_current_raw,lf_mean_hard_q50,0.5,0.3851439623778443,-0.006300032209644979,0.8549675287612967,0.00593679996055918,0.5,0.5263157894736842,0.018316289536989685,0.02958779773746661,0.09153148615048519,0.18288455322815533,0.9966427066978407,0.18638510786720347,0.2980056149063874,0.3415045499752788,0.4724144459795827
optuna_top500_minus_current_raw,log2fc_33_pred_hard_q50,0.5,0.38550957282656556,-0.005934421760923736,0.8548871419617324,0.005856413160994944,0.5,0.4775828460038986,0.014976775462962931,0.025930096568017917,0.08693812196116486,0.18288455322815533,0.9967909676712859,0.16353617506729864,0.27517683700318635,0.30024054907957326,0.4379559890801175
optuna_top500_minus_current_raw,positive_delta_x_lf_mean_hard_q50,0.5,0.3860024200280315,-0.005441574559457818,0.8536258792805717,0.004595150479834165,0.29782608695652174,0.3723196881091618,0.023952043637228155,0.023952043637228155,0.0888841790728149,0.17329345626213577,0.9980992729879175,0.1656275962875022,0.32204866156590534,0.29464138351405367,0.48947267621801743
optuna_top500_minus_current_raw,lf_mean_hard_q60,0.5,0.386064997851874,-0.005378996735615316,0.8539255267745083,0.0048947979737707925,0.4,0.43859649122807015,0.01909888437976681,0.02559144514227178,0.08970849137378636,0.17329345626213577,0.9973189473968647,0.15282156380936937,0.2696150539705586,0.29473263110473624,0.44572125530018375
optuna_top500_minus_current_raw,positive_delta_x_log2fc_33_pred_hard_q50,0.5,0.3863916389648189,-0.005052355622670424,0.8533574971108064,0.004326768310068951,0.286231884057971,0.3313840155945419,0.02045343601549043,0.02045343601549043,0.08232866365048502,0.17329345626213577,0.9981585596002004,0.14958799167731232,0.30793112506166403,0.2580855120560842,0.45536792648461966
optuna_top500_minus_current_raw,lf_mean_hard_q50,0.35,0.38652830697624124,-0.004915687611248054,0.8537993797559127,0.004768650955175202,0.5,0.5263157894736842,0.012821402675892782,0.02071145841622664,0.06407204030533933,0.1280191872597083,0.9982156240755913,0.1304695755070424,0.2980056149063869,0.23905318498269523,0.47241444597958204
optuna_top500_minus_current_raw,log2fc_33_pred_hard_q60,0.5,0.3865716435646489,-0.004872351022840393,0.8534695772660306,0.004438848465293077,0.4,0.3840155945419103,0.014448613518423864,0.021064852342114707,0.08306535816504859,0.17329345626213577,0.9975856038239244,0.1364830274970404,0.2605730783066868,0.24392037377481557,0.4022513063269257
optuna_top500_minus_current_raw,positive_delta_x_lf_mean_hard_q60,0.5,0.38675342216924935,-0.004690572418239947,0.8528664530790342,0.003835724278296704,0.25555555555555554,0.34307992202729043,0.0223451647610193,0.0223451647610193,0.08684250859223291,0.17329345626213577,0.9981518931895239,0.14685554419576616,0.290869087847164,0.272435283467472,0.4593738559503368
optuna_top500_minus_current_raw,log2fc_33_pred_hard_q50,0.35,0.38685530240215893,-0.0045886921853303675,0.8537111314503109,0.0046804026495733675,0.5,0.4775828460038986,0.010483742824074051,0.01815106759761255,0.060856685372815814,0.1280191872597083,0.9983208644788041,0.11447532254710904,0.2751768370031863,0.21016838435570134,0.4379559890801176
optuna_top500_minus_current_raw,lf_mean_hard_q70,0.5,0.3869491092931947,-0.004494885294294593,0.8533382219108995,0.004307493110161986,0.3,0.34502923976608185,0.016723341942599192,0.020436571422623426,0.08385858497572816,0.17329345626213577,0.9980081653753385,0.13316294686585134,0.26029939479364306,0.24447137991580475,0.4101176679258585
optuna_top500_minus_current_raw,positive_delta_x_lf_mean_hard_q50,0.35,0.38724156334431264,-0.004202431243176652,0.8526251817405323,0.0035944529397947678,0.29782608695652174,0.3723196881091618,0.01676643054605971,0.016766430546059707,0.06221892535097062,0.1213054193834946,0.9989312410403441,0.11593931740125152,0.32204866156590545,0.2062489684598375,0.48947267621801754
optuna_top500_minus_current_raw,lf_mean_hard_q60,0.35,0.38724779841769175,-0.00419619616979755,0.852965971076604,0.003935242275866502,0.4,0.43859649122807015,0.013369219065836766,0.017914011599590253,0.06279594396165003,0.1213054193834946,0.9985709882073863,0.10697509466655855,0.26961505397055835,0.20631284177331546,0.4457212553001834
optuna_top500_minus_current_raw,positive_delta_x_log2fc_33_pred_hard_q60,0.5,0.38750380885154334,-0.003940185735945956,0.8520421576145987,0.0030114288138611833,0.23623188405797102,0.2884990253411306,0.017756732930269286,0.01775673293026929,0.07302212748058247,0.17329345626213577,0.9983786400380006,0.12996360272143573,0.28301851961067054,0.221377324057517,0.4133939895764079
optuna_top500_minus_current_raw,positive_delta_x_log2fc_33_pred_hard_q50,0.35,0.38758397263466043,-0.0038600219528288626,0.8523891808885348,0.003358452087797281,0.286231884057971,0.3313840155945419,0.014317405210843298,0.0143174052108433,0.05763006455533973,0.1213054193834946,0.9989822613033884,0.10471159417411863,0.3079311250616634,0.18065985843925897,0.4553679264846189
optuna_top500_minus_current_raw,positive_delta_x_lf_mean_hard_q70,0.5,0.3876534670297877,-0.003790527557701595,0.8522458644124584,0.0032151356117209318,0.19758454106280193,0.28654970760233917,0.01857995668261131,0.018579956682611316,0.08182004214563054,0.17329345626213577,0.9984413042983596,0.13558499670210497,0.284767552807693,0.23407160875763852,0.4213318446445097
optuna_top500_minus_current_raw,log2fc_33_pred_hard_q60,0.35,0.38766402170161757,-0.0037799728858717296,0.8525692122686674,0.0035384834679299537,0.4,0.3840155945419103,0.010114029462896705,0.014745396639480294,0.05814575071553368,0.1213054193834946,0.9987448481978294,0.09553811924792825,0.26057307830668675,0.17074426164237094,0.4022513063269259
optuna_top500_minus_current_raw,lf_mean_hard_q50,0.25,0.38771804287437595,-0.0037259517131133513,0.8527459434431561,0.0037152146424186405,0.5,0.5263157894736842,0.009158144768494842,0.014793898868733325,0.04576574307524304,0.09144227661407811,0.9989781725715068,0.0931925539336018,0.2980056149063871,0.17075227498763954,0.4724144459795824
optuna_top500_minus_current_raw,lf_mean_soft_q50_to_q95,0.5,0.38779994289696934,-0.003644051690519956,0.8525762284505657,0.0035454996498281988,0.22613256731567852,0.25385906499348876,0.011257306605900463,0.014864458978726465,0.05212217326768639,0.14130917817333533,0.9990248374462422,0.08447468357314224,0.2398916804182153,0.16651474590153034,0.40407262984710185
optuna_top500_minus_current_raw,positive_delta_x_lf_mean_hard_q60,0.35,0.38780265624243854,-0.0036413383450507597,0.8520542142858367,0.003023485485099231,0.25555555555555554,0.34307992202729043,0.01564161533271351,0.01564161533271351,0.06078975601456343,0.1213054193834946,0.9989751504653334,0.10279888093703633,0.2908690878471636,0.1907046984272304,0.4593738559503361
optuna_top500_minus_current_raw,log2fc_33_pred_hard_q70,0.5,0.38785143471107203,-0.0035925598764172673,0.8520139807633873,0.0029832519626498133,0.3,0.2826510721247563,0.00977414225969452,0.014156996773027486,0.061885555155340215,0.1457784391990291,0.9985327674528411,0.06818309694691892,0.1666593004185684,0.13887769033190964,0.28889835045289997
optuna_top500_minus_current_raw,lf_mean_hard_q70,0.35,0.38795559613894587,-0.0034883984485434283,0.8524680732984312,0.0034373444976937284,0.3,0.34502923976608185,0.011706339359819434,0.014305599995836395,0.05870100948300916,0.1213054193834946,0.9989286633615494,0.0932140628060959,0.26029939479364295,0.17112996594106325,0.41011766792585846
optuna_top500_minus_current_raw,log2fc_33_pred_hard_q50,0.25,0.3879696765434208,-0.003474318044068503,0.852651921278578,0.00362119247784054,0.5,0.4775828460038986,0.007488387731481466,0.012965048284008967,0.043469060980582876,0.09144227661407811,0.9990476810134936,0.08176808753364935,0.2751768370031861,0.15012027453978669,0.4379559890801173
optuna_top500_minus_current_raw,lf_slope_hard_q50,0.5,0.3881101905394747,-0.003333804048014588,0.8524138228017013,0.0033830940009638155,0.5,0.36257309941520466,-0.005270642922273343,0.014896419513238324,0.054938069558252436,0.18288455322815533,0.9983448635572395,0.11013056850185968,0.24442750487866194,0.1698544224167328,0.3408184862614133
optuna_top500_minus_current_raw,lf_mean_hard_q80,0.5,0.38825082111131665,-0.0031931734761726505,0.8519747297177981,0.0029440009170605963,0.2,0.24171539961013644,0.011599598657998809,0.014356338942542424,0.06712671166504816,0.17329345626213577,0.9986953389878719,0.06873634525987496,0.16090044990893393,0.14913507159314493,0.294175536051728
optuna_top500_minus_current_raw,lf_mean_hard_q60,0.25,0.3882643162632191,-0.0031796783242701854,0.8521072058863196,0.003076477085582119,0.4,0.43859649122807015,0.009549442189883404,0.012795722571135903,0.04485424568689283,0.08664672813106833,0.999189986660068,0.07641078190468467,0.26961505397055824,0.1473663155523682,0.4457212553001833
optuna_top500_minus_current_raw,positive_delta_x_lf_mean_hard_q50,0.25,0.3882739962176463,-0.0031699983698429968,0.851769934576736,0.00273920577599851,0.29782608695652174,0.3723196881091618,0.011976021818614077,0.011976021818614084,0.04444208953640754,0.08664672813106833,0.9994197556147179,0.0828137981437511,0.32204866156590506,0.1473206917570269,0.48947267621801716
optuna_top500_minus_current_raw,lf_mean_soft_q60_to_q95,0.5,0.3883636915808102,-0.003080303006679108,0.8520122281342556,0.0029814993335181006,0.1847888123605944,0.21218129854465353,0.009845221925171645,0.012533146031226839,0.046058493348181885,0.13545499699747499,0.9991818980817806,0.06856013925139122,0.2115614994530489,0.13851920643599802,0.3638353156783022
