family,selected_mean,selected_min,selected_max,gain_mean,gain_share_pct
log2fc_pred,2.0,2,2,31463.9245804843,78.35414519180371
mordred,248.8,244,252,3791.1225765308736,9.440976380475826
chemeleon,197.4,193,201,3780.474367635453,9.414459303634688
boltz_tier1_conf,22.0,20,23,344.7739922850418,0.8585855645807096
boltz_tier0,13.0,11,14,334.72928108857667,0.8335713691174476
rdkit_full,13.6,10,18,299.37459913213496,0.7455281284804133
pose_jazzy,3.2,2,5,141.64404312813895,0.352734061907209
