feature,family,selected_folds,gain_mean,gain_std,gain_nonzero_folds,gain_share_pct
log2fc_pred__log2fc_8p25_pred,log2fc_pred,5,22029.755511754345,5873.444410284388,5,51.58456748567188
log2fc_pred__log2fc_33_pred,log2fc_pred,5,9434.16906872996,5405.705108201426,5,22.090918382524695
chemeleon_067,chemeleon,5,129.87733226536403,48.839314189275825,5,0.30411894528411726
chemeleon_006,chemeleon,5,97.6303668874818,63.89601856756861,5,0.22860990203323184
chemeleon_175,chemeleon,5,86.72103498731448,49.269676288115015,5,0.203064762990381
chemeleon_131,chemeleon,4,80.88036913134492,60.854730819277535,5,0.18938834148639455
mordred__SLogP,mordred,5,77.84215119110449,27.461952442819157,5,0.18227409283797502
pose_jazzy__sa,pose_jazzy,4,69.53779329238895,53.80706343751956,5,0.16282872449410501
chemeleon_002,chemeleon,5,67.1396147968153,30.802496268997043,5,0.15721318326026792
rdkit__qed,rdkit_full,5,55.95643257520169,9.835443482995764,5,0.13102680013370124
pose_jazzy__dgtot,pose_jazzy,5,50.490921033013,27.311664051618312,5,0.11822883472544607
chemeleon_240,chemeleon,5,50.07460954500202,7.9022331447640735,5,0.1172540055659983
chemeleon_055,chemeleon,5,49.24201004230999,15.558752348337345,5,0.11530440221192398
chemeleon_092,chemeleon,5,43.49031085581155,25.350842452191532,5,0.10183630381723666
rdkit__BCUT2D_MRLOW,rdkit_full,5,42.86025800001589,11.508634969363412,5,0.10036098085952203
chemeleon_173,chemeleon,5,42.042204811602275,16.825270173938232,5,0.09844543895157506
mordred__TopoPSA(NO),mordred,5,39.26687082026765,23.684987734920107,5,0.09194675568226268
mordred__MINssCH2,mordred,5,39.09646567601594,23.687585960283943,5,0.09154773737909233
chemeleon_138,chemeleon,4,38.45873237263076,27.54281151329736,5,0.09005442999269031
boltz_tier0__ensemble_diff_prob,boltz_tier0,5,38.35205597106251,13.740879163008604,5,0.0898046380223305
chemeleon_298,chemeleon,5,37.753019585064976,13.836483085205067,5,0.08840194279662203
boltz_tier0__affinity_probability_binary_1,boltz_tier0,5,37.29657469549566,10.338013966442995,5,0.08733313782523161
boltz_tier0__ligand_to_pocket_distance_a,boltz_tier0,5,36.93078743450424,18.70193770270971,5,0.08647661548934173
chemeleon_231,chemeleon,5,36.26187509199808,13.29301563752847,5,0.08491029970088021
mordred__TopoPSA,mordred,5,35.4721697449073,18.632903995350823,5,0.08306113670181448
mordred__ATSC1p,mordred,5,34.68126052309162,16.87838967434101,5,0.08120915472652555
chemeleon_046,chemeleon,5,33.99051065240637,8.139529228292075,5,0.07959170448741282
mordred__MINaaCH,mordred,5,33.54364727046086,13.838685904505796,5,0.07854533544030538
chemeleon_069,chemeleon,5,32.51971378931121,27.244308318159153,5,0.07614770711751168
boltz_tier0__affinity_probability_binary,boltz_tier0,5,32.19008582754395,15.294615116976033,5,0.07537585489110477
mordred__AATS5v,mordred,4,31.980335424000806,25.706008486344267,5,0.07488470627890409
chemeleon_090,chemeleon,5,31.800488304860483,19.819536831811043,5,0.07446357877935252
rdkit__FpDensityMorgan1,rdkit_full,4,30.672203176749463,21.707454518337695,5,0.07182160209908167
chemeleon_143,chemeleon,5,30.36700350047795,7.55608854954359,5,0.07110695080443463
chemeleon_151,chemeleon,2,30.28915223055592,31.520379253610486,5,0.07092465535930383
mordred__ATSC8d,mordred,5,30.20069867622733,14.285468329881354,5,0.07071753375324805
chemeleon_213,chemeleon,5,29.296556544387567,8.477219503951432,5,0.0686004071790724
chemeleon_083,chemeleon,5,29.257853945819807,12.875306477765818,5,0.06850978171540695
mordred__ZMIC3,mordred,5,29.15207411576994,11.718654373125752,5,0.06826208914437869
boltz_tier1__plddt_ligand_min,boltz_tier1_conf,5,28.918842611042056,5.455158165458395,5,0.06771595751395723
chemeleon_130,chemeleon,5,28.890440344653324,13.110176622283683,5,0.06764945116410266
chemeleon_219,chemeleon,3,28.59176881786225,24.716777374510635,5,0.06695008609300224
chemeleon_066,chemeleon,5,28.125012251302543,18.92427440198255,5,0.06585713544294929
boltz_tier0__affinity_pred_value_2,boltz_tier0,5,28.035468456283343,15.294361831261845,5,0.06564746094453615
chemeleon_099,chemeleon,5,28.024852882753475,12.667767348116797,5,0.06562260366598585
boltz_tier1__pae_protein_ligand_max,boltz_tier1_conf,5,27.812371243655434,12.697505167313897,5,0.06512505963079805
mordred__GATS5d,mordred,3,27.7711620421258,30.75007883904291,5,0.06502856474068446
boltz_tier0__complex_ipde,boltz_tier0,5,27.387253523933758,12.826542144898307,5,0.06412960992230551
chemeleon_070,chemeleon,5,27.282720333769976,10.77630630445482,5,0.06388483646580395
rdkit__FpDensityMorgan2,rdkit_full,5,26.79989036486368,13.876564742736615,5,0.06275424856155498
mordred__VSA_EState8,mordred,5,26.66379251089311,8.852630140600226,5,0.06243556372962147
boltz_tier0__affinity_pred_value_1,boltz_tier0,4,26.640399735688696,19.591828742087973,5,0.062380787534281244
chemeleon_042,chemeleon,3,26.2417979685084,20.165799901329482,5,0.061447427209512816
chemeleon_275,chemeleon,4,26.14242630746521,13.687632826922279,5,0.0612147399174314
boltz_tier0__affinity_pred_value,boltz_tier0,4,25.52717752170465,16.939741108408963,5,0.05977408196312005
mordred__MPC10,mordred,4,25.513519495297807,31.65836709423445,5,0.05974210051945269
chemeleon_003,chemeleon,5,25.37994706837744,15.389925553705472,5,0.05942932919218933
chemeleon_135,chemeleon,5,24.694535978372734,8.478006176860081,5,0.05782438016727116
mordred__GATS7s,mordred,3,24.55137389246811,17.44688652195973,5,0.05748915382861315
chemeleon_186,chemeleon,5,24.408631760766003,17.282055301887,5,0.057154910848843936
mordred__BIC2,mordred,5,24.408046052580175,19.22352344930971,5,0.05715353936274539
mordred__SlogP_VSA5,mordred,4,24.294431285549216,13.589983730080215,5,0.056887500612830516
mordred__JGI7,mordred,4,24.27436732186543,13.19958299568648,5,0.05684051911600346
chemeleon_082,chemeleon,5,24.11694935115047,3.7428054799552264,5,0.05647191139679973
chemeleon_127,chemeleon,5,23.544321344893252,10.255977852987172,5,0.05513105366384849
rdkit__FpDensityMorgan3,rdkit_full,5,23.366342693751356,8.621402573562806,5,0.054714301342837064
boltz_tier1__pde_pocket_ligand_min,boltz_tier1_conf,5,23.297409648016764,9.19157521349838,5,0.05455288868676869
chemeleon_032,chemeleon,5,22.761722901781468,8.398481721003241,5,0.053298532091771066
chemeleon_295,chemeleon,4,22.707615692542458,12.265411797552648,5,0.05317183540714549
chemeleon_124,chemeleon,5,22.376972288622348,8.815559897713177,5,0.052397605435591396
mordred__MAXaasC,mordred,4,22.18397693541483,20.629446029999976,5,0.05194569021498705
mordred__ATSC7dv,mordred,4,22.025144123557403,13.640916289499344,5,0.051573769523546475
mordred__SMR_VSA5,mordred,5,21.746243498333207,13.51106841499652,5,0.05092069971911777
chemeleon_193,chemeleon,5,21.292657968636195,6.188608280210046,5,0.0498585901848247
chemeleon_091,chemeleon,3,21.043407021676103,20.39646373767736,5,0.04927494765245659
mordred__GATS5s,mordred,5,21.038297510278063,5.750584346022747,5,0.04926298329200827
chemeleon_289,chemeleon,4,20.433048783826962,12.827189285172837,5,0.04784574133675484
chemeleon_111,chemeleon,4,20.388962412558612,8.751695193712312,5,0.04774250930620974
chemeleon_281,chemeleon,4,20.113397890960915,12.166125509593272,5,0.04709725127538735
chemeleon_165,chemeleon,4,20.075577928353596,11.728644347368396,5,0.04700869257974582
chemeleon_147,chemeleon,4,19.954002579786902,12.945273439889936,5,0.04672401344341194
mordred__ETA_beta_ns,mordred,1,19.8735760656622,36.534242989410494,5,0.046535687842463286
chemeleon_208,chemeleon,3,19.807963889912934,17.10684634636032,5,0.04638205128912006
chemeleon_129,chemeleon,5,19.63670115158384,7.719393891472553,5,0.045981024855649005
mordred__MAXdO,mordred,3,19.524494991311077,12.96211350214118,5,0.04571828447962395
chemeleon_163,chemeleon,5,19.422691178156676,5.8555267170403225,5,0.04547990209416534
chemeleon_225,chemeleon,4,19.372258764406432,10.68411072075272,5,0.04536181025927517
boltz_tier0__ensemble_diff_affinity,boltz_tier0,4,19.330840604036347,13.20518466900357,5,0.04526482607406245
boltz_tier0__affinity_probability_binary_2,boltz_tier0,4,19.239161301251805,8.483061653734566,5,0.04505015110052472
mordred__SlogP_VSA3,mordred,3,19.226006334263367,14.364805568870976,5,0.045019347613757706
boltz_tier1__pae_pocket_ligand_mean,boltz_tier1_conf,5,19.11007475027145,5.543586618793334,5,0.044747883837640855
rdkit__BCUT2D_CHGLO,rdkit_full,5,18.815052413175728,11.021230261788745,5,0.044057063658108006
chemeleon_224,chemeleon,5,18.812621513046544,8.072437596304193,5,0.04405137149635442
chemeleon_081,chemeleon,4,18.78173851244319,11.392777010843078,5,0.043979056293948576
chemeleon_079,chemeleon,2,18.721301945768936,27.027473332971496,5,0.0438375388744499
boltz_tier1__pae_protein_ligand_min,boltz_tier1_conf,5,18.69195460185183,10.145701516047174,5,0.04376881954426898
mordred__MATS2d,mordred,4,18.664837018656545,19.08463818241118,5,0.043705321390617696
chemeleon_059,chemeleon,5,18.61410119496868,8.058230742492402,5,0.04358651909525988
chemeleon_120,chemeleon,4,18.558075571204245,10.787299757550576,5,0.04345533027800491
mordred__ATSC6p,mordred,4,18.501923198001897,8.805309302945863,5,0.04332384466603833
chemeleon_228,chemeleon,5,18.393069515256503,6.638093595600956,5,0.04306895440451692
mordred__AATS2p,mordred,4,17.985055099277087,14.342894096194163,5,0.042113553552928396
mordred__ATS5p,mordred,4,17.87986217209982,21.9253325015304,5,0.041867235265460524
chemeleon_097,chemeleon,4,17.831625510938828,11.27474649218824,5,0.041754284974132284
boltz_tier0__iptm,boltz_tier0,5,17.699914517270372,8.713315266817034,5,0.04144587235294499
chemeleon_196,chemeleon,4,17.6911150230495,9.771410392818032,5,0.04142526758031216
chemeleon_126,chemeleon,3,17.535683509418597,20.282675275634666,5,0.04106131132124178
chemeleon_036,chemeleon,5,17.523330286483542,8.185551332395175,5,0.041032385187140155
mordred__GATS3se,mordred,4,17.48536531228092,10.434447361884537,5,0.040943486934374614
mordred__MATS5s,mordred,3,17.443531331377017,12.245488256723924,5,0.04084552906961392
chemeleon_246,chemeleon,3,17.427115561038953,11.072448307856092,5,0.04080709013131606
chemeleon_274,chemeleon,4,17.37811007129858,16.207023521505928,5,0.04069233956173612
mordred__ATS6dv,mordred,2,17.33934681655228,25.946610542781144,5,0.04060157206641109
mordred__GGI7,mordred,4,17.17972658555591,11.165794129528463,5,0.04022780756532448
mordred__IC1,mordred,4,17.11989955912359,13.276670062928407,5,0.04008771743673371
chemeleon_048,chemeleon,3,17.054673717142578,11.695088193626596,5,0.039934985517140496
chemeleon_237,chemeleon,4,17.00154433719363,13.065435348101465,5,0.0398105785039085
mordred__GATS7c,mordred,4,16.998665371662355,14.380421048807543,5,0.03980383715847424
chemeleon_028,chemeleon,4,16.925321548245485,9.63142183305294,5,0.039632096287056676
mordred__ZMIC1,mordred,2,16.893945835805063,22.52715363174331,5,0.03955862735750226
chemeleon_106,chemeleon,5,16.831872729968744,2.8339727404551303,5,0.03941327784078382
mordred__ATSC2dv,mordred,4,16.583938101219246,15.746064520223118,5,0.038832717580732846
chemeleon_057,chemeleon,5,16.54487545869124,5.8158395620544585,5,0.03874124904316423
chemeleon_263,chemeleon,5,16.462460396110693,9.172244562523925,5,0.038548267084955304
chemeleon_074,chemeleon,4,16.42648582732945,8.094901310829917,5,0.03846402953769456
chemeleon_050,chemeleon,5,16.40478445500994,4.955991388081893,5,0.03841321390770038
chemeleon_119,chemeleon,5,16.397219507072442,6.487948110733632,5,0.038395499931383255
chemeleon_004,chemeleon,5,16.32775701412902,5.624593885276995,5,0.03823284752913344
mordred__ATSC0i,mordred,3,16.317740594525095,12.191167682235161,5,0.03820939322103874
mordred__SlogP_VSA2,mordred,3,16.20187007133136,16.61093717303509,5,0.03793807242403316
mordred__BIC3,mordred,4,16.198480139397,11.34428177973887,5,0.037930134606813784
chemeleon_174,chemeleon,5,16.158410899223234,5.080027700164861,5,0.03783630903427212
mordred__JGI5,mordred,5,15.961230252973838,5.867224673706242,5,0.0373745935899998
mordred__MINdO,mordred,4,15.955759481938003,14.728489142185909,5,0.03736178330903475
mordred__AATS3i,mordred,4,15.690067480277502,8.47709685853717,5,0.036739642632859455
chemeleon_297,chemeleon,4,15.643660021920732,9.07197328104105,5,0.03663097557724162
chemeleon_118,chemeleon,4,15.63756862444643,7.370150370915563,5,0.036616712046085874
chemeleon_015,chemeleon,4,15.590175268682652,7.3223858531629915,5,0.03650573642688463
rdkit__MinPartialCharge,rdkit_full,4,15.572667000807996,8.936500723646816,5,0.03646473931163042
chemeleon_251,chemeleon,3,15.554067266714265,13.081190206029294,5,0.03642118643433854
chemeleon_200,chemeleon,4,15.53788171700071,5.490139549787141,5,0.03638328657743608
mordred__AETA_eta_FL,mordred,1,15.523514375887316,25.360774877417025,5,0.03634964421236952
chemeleon_273,chemeleon,4,15.44749874865156,11.148316544074685,5,0.03617164708248688
mordred__GATS8c,mordred,4,15.335660211485083,10.808499975521915,5,0.03590976752758738
boltz_tier1__pde_pocket_ligand_std,boltz_tier1_conf,4,15.270029170630005,10.408250029119007,5,0.03575608679997617
mordred__GATS6s,mordred,3,15.264052181773149,9.48019442248334,5,0.03574209116643937
mordred__GATS3s,mordred,4,15.25364823153068,5.7513622172494765,5,0.03571772942201993
chemeleon_009,chemeleon,5,15.220549662547274,6.191419551794942,5,0.035640226275673495
chemeleon_110,chemeleon,5,15.205141603959055,3.6601178875557805,5,0.03560414698111922
chemeleon_194,chemeleon,4,15.16320838681022,11.17686427737507,5,0.03550595674615492
chemeleon_065,chemeleon,5,15.135592857445591,7.41092765076246,5,0.0354412926087158
chemeleon_161,chemeleon,4,14.980619460374509,7.247382456224003,5,0.03507840906897649
chemeleon_060,chemeleon,5,14.97657146559286,4.8437203329536365,5,0.03506893034099495
mordred__GATS8Z,mordred,4,14.921063085924834,8.04286332034618,5,0.034938952695284
chemeleon_277,chemeleon,4,14.917357946035917,9.861227045807077,5,0.03493027679152548
chemeleon_171,chemeleon,4,14.880243395606522,4.630143418496497,5,0.03484336987917668
mordred__PEOE_VSA10,mordred,2,14.837021817184723,13.126001392521811,5,0.034742162835469506
chemeleon_094,chemeleon,5,14.814607238107055,6.253670010506493,5,0.0346896771705025
mordred__AATS6i,mordred,4,14.769619243338093,6.743542556633792,5,0.034584333910974895
chemeleon_109,chemeleon,4,14.712459440880048,5.482149969426555,5,0.03445048931674908
