candidate,slice,mean_htchem_nn,n,mae,bias_pred_minus_true,spearman,pred_mean,true_mean
id55_anchor,as1_all,0.3193216919898987,253,0.4065659854303302,0.051590919662223914,0.848761687583943,4.715701591598982,4.664110671936759
id55_anchor,htchem_nn_lt0p3,0.24669790267944336,166,0.3919239345767637,0.03356419510557345,0.8284676512292486,4.769317207153767,4.7357530120481925
id55_anchor,htchem_nn_ge0p3,0.45789122581481934,87,0.43450369165667546,0.08598673893123514,0.8737298719239468,4.613400532034683,4.527413793103448
id55_anchor,htchem_nn_ge0p5,0.5912089943885803,37,0.567318124870172,0.2169930171125474,0.8613086770981506,4.384290314409845,4.167297297297298
id55_anchor,htchem_nn_ge0p6,0.6884753108024597,13,0.7104713718288974,0.23690316284435042,0.7032967032967032,4.226518547459735,3.989615384615384
seed10_top500_temp0p7,as1_all,0.3193216919898987,253,0.41067424664031627,-0.018114264822134418,0.83573785687412,4.645996407114625,4.664110671936759
seed10_top500_temp0p7,htchem_nn_lt0p3,0.24669790267944336,166,0.3993139228915664,-0.04788012650602413,0.8122729050105234,4.687872885542169,4.7357530120481925
seed10_top500_temp0p7,htchem_nn_ge0p3,0.45789122581481934,87,0.4323502666666668,0.03868036781609193,0.8644528085029117,4.5660941609195405,4.527413793103448
seed10_top500_temp0p7,htchem_nn_ge0p5,0.5912089943885803,37,0.5593787000000001,0.17551378108108107,0.8624940730203886,4.342811078378378,4.167297297297298
seed10_top500_temp0p7,htchem_nn_ge0p6,0.6884753108024597,13,0.7058045923076924,0.17835743846153843,0.7307692307692307,4.167972823076924,3.989615384615384
optuna_t10_top500,as1_all,0.3193216919898987,253,0.4467205841897234,-0.021321691699604784,0.8104464083212133,4.642788980237154,4.664110671936759
optuna_t10_top500,htchem_nn_lt0p3,0.24669790267944336,166,0.43296645722891575,-0.0279351524096386,0.784234455275771,4.7078178596385545,4.7357530120481925
optuna_t10_top500,htchem_nn_ge0p3,0.45789122581481934,87,0.47296409080459767,-0.008702904597701204,0.8294678905526627,4.518710888505746,4.527413793103448
optuna_t10_top500,htchem_nn_ge0p5,0.5912089943885803,37,0.561782091891892,0.1457136216216216,0.8385490753911806,4.31301091891892,4.167297297297298
optuna_t10_top500,htchem_nn_ge0p6,0.6884753108024597,13,0.6415542538461538,0.13979529999999984,0.7197802197802198,4.129410684615385,3.989615384615384
