setting,slice,n,mae,bias_pred_minus_true,spearman,pred_mean,true_mean
no_htchem,all,4393,0.5752147170546257,0.07414362739665337,0.671640292151984,4.414728319911306,4.3405846925146525
no_htchem,source_train,4140,0.5742688923513227,0.07735470487374162,0.6726151492920228,4.398168365312599,4.320813660438857
no_htchem,source_as1,253,0.5906918485632204,0.0215987232261183,0.6278615030117696,4.685709395162878,4.664110671936759
no_htchem,true_lt3,719,1.1603233547806409,1.0844046117476032,-0.08005251817794905,3.3956285338616503,2.3112239221140474
no_htchem,true_gte6,77,1.4113149910864544,-1.4113149910864544,-0.09728457786661467,4.867887011730005,6.279202002816461
htchem_w0p1,all,4393,0.5764922038663884,0.04496876293097167,0.6697542301956356,4.385553455445624,4.3405846925146525
htchem_w0p1,source_train,4140,0.5753659748097346,0.04583393919108081,0.6707257783895171,4.366647599629937,4.320813660438857
htchem_w0p1,source_as1,253,0.5949214066116323,0.030811333220094748,0.6240285664337883,4.694922005156853,4.664110671936759
htchem_w0p1,true_lt3,719,1.1238823008766383,1.0511400249161589,-0.07315229585738994,3.362363947030206,2.3112239221140474
htchem_w0p1,true_gte6,77,1.382534589639047,-1.382534589639047,-0.024031920045969137,4.896667413177414,6.279202002816461
htchem_w0p3,all,4393,0.5734986462101443,0.05123434146034055,0.6717830367040789,4.391819033974993,4.3405846925146525
htchem_w0p3,source_train,4140,0.5721082010620885,0.050208417427052614,0.6727524133758204,4.37102207786591,4.320813660438857
htchem_w0p3,source_as1,253,0.596251384996514,0.0680221892777794,0.6319823266580051,4.732132861214538,4.664110671936759
htchem_w0p3,true_lt3,719,1.1254304565819016,1.0466489550338351,-0.07099264991047059,3.357872877147882,2.3112239221140474
htchem_w0p3,true_gte6,77,1.3437402550147082,-1.3437402550147082,-0.003654744952286335,4.935461747801752,6.279202002816461
htchem_w0p5,all,4393,0.5736459292302587,0.050786718699860976,0.6720786660225806,4.3913714112145135,4.3405846925146525
htchem_w0p5,source_train,4140,0.5723073146140127,0.04936214667710304,0.6735106520480385,4.3701758071159595,4.320813660438857
htchem_w0p5,source_as1,253,0.5955505320415554,0.07409789725408172,0.6240889597312472,4.738208569190841,4.664110671936759
htchem_w0p5,true_lt3,719,1.1253841539984517,1.0451529607296737,-0.06950857334682127,3.356376882843721,2.3112239221140474
htchem_w0p5,true_gte6,77,1.3330732037941873,-1.3309748100524688,0.02589873221584201,4.9482271927639925,6.279202002816461
htchem_w1p0,all,4393,0.5774299436874498,0.053793761671630476,0.6678712347133601,4.394378454186283,4.3405846925146525
htchem_w1p0,source_train,4140,0.5753400859938328,0.052007918545396555,0.6708225758250538,4.3728215789842535,4.320813660438857
htchem_w1p0,source_as1,253,0.6116276150375484,0.08301664919182201,0.5898400318956896,4.747127321128581,4.664110671936759
htchem_w1p0,true_lt3,719,1.1399115844386638,1.0530956310447175,-0.07404579605559328,3.3643195531587646,2.3112239221140474
htchem_w1p0,true_gte6,77,1.3238916354630776,-1.3133902058706064,0.013291176786911817,4.965811796945855,6.279202002816461
