target,feature,mean_abs_shap,mean_shap,feature_mean,feature_missing_frac
top500_residual,pec50,0.4953938051834944,0.10125371683569537,4.392940044403076,0.0
top500_residual,family_gap,0.13970031527434082,-0.01284978768473901,0.0028955242596566677,0.0
top500_residual,log2fc_8_25e_6,0.11176799083482507,-0.016382390683806734,0.834355890750885,0.415
top500_residual,logp,0.09817912310227356,0.005073101698245665,2.837782621383667,0.0
top500_residual,exactmw,0.06973499536184534,-0.0036885319072984756,341.419677734375,0.0
top500_residual,member_std,0.05041585089774564,-0.0006485930185091678,0.21164947748184204,0.0
top500_residual,fractioncsp3,0.04131981976177381,0.004635930361682838,0.3716909885406494,0.0
top500_residual,num_heavy_atoms,0.03506538282444012,-0.0033702102311418025,24.145999908447266,0.0
top500_residual,hba,0.028826108650479514,0.001607471264056926,5.53000020980835,0.0
top500_residual,member_range,0.028649173011855458,0.00413092382662827,0.6778625249862671,0.0
top500_residual,nn_potent46_tanimoto,0.025918787184971162,-0.006892911000965171,0.23194631934165955,0.0
top500_residual,hbd,0.017672680968775886,-0.0020092649066417324,1.2359999418258667,0.0
top500_residual,log2fc_3_30e_5,0.017555252258058887,0.0033967701879387894,1.3049546480178833,0.423
top500_residual,tpsa,0.016765369861918844,-0.00045193901804413514,69.02307891845703,0.0
top500_residual,counter_pec50,0.014748273542938803,-0.001986608907850164,3.1102347373962402,0.361
top500_residual,num_heteroatoms,0.013316037720242542,-0.002028613963090801,6.456999778747559,0.0
top500_residual,counter_emax_vs_pos_ctrl,0.013015723531671434,-0.0034603135716100384,0.8488873839378357,0.361
top500_residual,num_rotatable_bonds,0.012414252224701886,-0.0007477287760884244,4.460999965667725,0.0
top500_residual,abs_family_gap,0.010578675943212998,0.003216390481832476,0.17910632491111755,0.0
top500_residual,counter_emax,0.010018518801749048,0.0014100543854871968,1.5527182817459106,0.361
top500_residual,counter_above_main,0.007843865158550118,0.0015330797459417198,0.08399999886751175,0.0
top500_residual,num_aromatic_rings,0.005262125375936584,0.0007754494239889309,2.1470000743865967,0.0
top500_residual,num_rings,0.004167312747151619,0.00013006564272254357,3.0869998931884766,0.0
top500_residual,no_aux,0.0026001251921709064,9.236496366316944e-05,0.30300000309944153,0.0
top500_residual,num_bridgehead_atoms,0.001886256577762215,-0.0008477428717330258,0.04399999976158142,0.0
top500_residual,has_single_conc_hi,0.0018820266550143945,-0.00022689681197838582,0.5849999785423279,0.0
top500_residual,single_lo_low,0.001308278571450026,0.0007433859894946723,0.03099999949336052,0.0
top500_residual,is_potent46,0.0010511125001311306,-0.00016952172074001303,0.014000000432133675,0.0
top500_residual,has_single_conc_lo,0.0006436531155913597,6.285780994768169e-05,0.5770000219345093,0.0
top500_residual,single_hi_low,0.00015462026813845123,-4.1469342089467294e-05,0.052000001072883606,0.0
top500_residual,near_potent46_t03,6.830053589337478e-05,-1.1637278859211778e-06,0.06400000303983688,0.0
top500_residual,has_counter,0.0,0.0,0.6389999985694885,0.0
top500_residual,near_potent46_t04,0.0,0.0,0.02199999988079071,0.0
top500_abs_error_minus_ensemble,pec50,0.03081232174830901,0.004371296202121996,4.392940044403076,0.0
top500_abs_error_minus_ensemble,family_gap,0.012184477963285648,-0.0011462908998395725,0.0028955242596566677,0.0
top500_abs_error_minus_ensemble,member_std,0.008125039601105898,-0.0002579586049431699,0.21164947748184204,0.0
top500_abs_error_minus_ensemble,log2fc_8_25e_6,0.0068111602636813364,0.0010860821333778027,0.834355890750885,0.415
top500_abs_error_minus_ensemble,member_range,0.006697878293325121,0.0015671972946643058,0.6778625249862671,0.0
top500_abs_error_minus_ensemble,logp,0.005966905067912923,0.000582769022802548,2.837782621383667,0.0
top500_abs_error_minus_ensemble,exactmw,0.005914033002284893,-0.0006248038721495572,341.419677734375,0.0
top500_abs_error_minus_ensemble,log2fc_3_30e_5,0.005684879610962912,0.0006384881255805404,1.3049546480178833,0.423
top500_abs_error_minus_ensemble,tpsa,0.005352888570370428,-0.0004010880850276011,69.02307891845703,0.0
top500_abs_error_minus_ensemble,abs_family_gap,0.005029018859746387,-0.00022409102849278665,0.17910632491111755,0.0
top500_abs_error_minus_ensemble,counter_emax_vs_pos_ctrl,0.004439562019392515,-6.398145558362135e-05,0.8488873839378357,0.361
top500_abs_error_minus_ensemble,nn_potent46_tanimoto,0.0043409672628918206,-0.00015437033606127297,0.23194631934165955,0.0
top500_abs_error_minus_ensemble,counter_emax,0.004065788613865028,0.00015144047108398367,1.5527182817459106,0.361
top500_abs_error_minus_ensemble,fractioncsp3,0.004012923080326578,-0.0009532756758291382,0.3716909885406494,0.0
top500_abs_error_minus_ensemble,num_heavy_atoms,0.003011064969379502,0.00017050252475253618,24.145999908447266,0.0
top500_abs_error_minus_ensemble,counter_pec50,0.00281759911579885,0.0005789798612212389,3.1102347373962402,0.361
top500_abs_error_minus_ensemble,num_heteroatoms,0.0023614648241054277,0.0006833644872148846,6.456999778747559,0.0
top500_abs_error_minus_ensemble,num_rotatable_bonds,0.0022417372835773024,-0.0004175829546549187,4.460999965667725,0.0
top500_abs_error_minus_ensemble,num_rings,0.00166063940900618,0.00011354169171204721,3.0869998931884766,0.0
top500_abs_error_minus_ensemble,hba,0.0015336820527049226,-6.0915950183876285e-05,5.53000020980835,0.0
top500_abs_error_minus_ensemble,hbd,0.0014451760408407289,-5.378315790290969e-05,1.2359999418258667,0.0
top500_abs_error_minus_ensemble,near_potent46_t04,0.000851388721837821,3.645103230983406e-05,0.02199999988079071,0.0
top500_abs_error_minus_ensemble,num_aromatic_rings,0.0006398118174627443,-6.144412576464073e-05,2.1470000743865967,0.0
top500_abs_error_minus_ensemble,counter_above_main,0.0004145636845063175,-0.0001788314442552688,0.08399999886751175,0.0
top500_abs_error_minus_ensemble,single_lo_low,0.0002151427679268,0.00011930093748107538,0.03099999949336052,0.0
top500_abs_error_minus_ensemble,single_hi_low,0.0001829017634247409,-4.346770927174702e-05,0.052000001072883606,0.0
top500_abs_error_minus_ensemble,num_bridgehead_atoms,0.00013657886309657445,-9.018455220018043e-05,0.04399999976158142,0.0
top500_abs_error_minus_ensemble,no_aux,0.00012190411560750819,1.4073249083298835e-05,0.30300000309944153,0.0
top500_abs_error_minus_ensemble,is_potent46,3.2523249915175265e-05,-1.686155456191038e-06,0.014000000432133675,0.0
top500_abs_error_minus_ensemble,has_single_conc_lo,1.9608307872549705e-05,3.8189943805627955e-06,0.5770000219345093,0.0
top500_abs_error_minus_ensemble,has_counter,0.0,0.0,0.6389999985694885,0.0
top500_abs_error_minus_ensemble,has_single_conc_hi,0.0,0.0,0.5849999785423279,0.0
top500_abs_error_minus_ensemble,near_potent46_t03,0.0,0.0,0.06400000303983688,0.0
top500_pred_minus_ensemble,family_gap,0.05131600099321063,0.00523927884522339,0.0028955242596566677,0.0
top500_pred_minus_ensemble,pec50,0.010165528851580771,0.0022389664065992987,4.392940044403076,0.0
top500_pred_minus_ensemble,log2fc_8_25e_6,0.01003201843792178,0.0033490656921767396,0.834355890750885,0.415
top500_pred_minus_ensemble,abs_family_gap,0.009034493255852783,-0.0001350115221607753,0.17910632491111755,0.0
top500_pred_minus_ensemble,member_range,0.008060499953050035,-0.00015739631501316347,0.6778625249862671,0.0
top500_pred_minus_ensemble,log2fc_3_30e_5,0.007943894153984875,-0.0011361021185038117,1.3049546480178833,0.423
top500_pred_minus_ensemble,fractioncsp3,0.007752380310628212,0.0008431837475098407,0.3716909885406494,0.0
top500_pred_minus_ensemble,exactmw,0.00698049224529071,0.0004920293195150588,341.419677734375,0.0
top500_pred_minus_ensemble,nn_potent46_tanimoto,0.00591137354995951,0.0007821819977234215,0.23194631934165955,0.0
top500_pred_minus_ensemble,member_std,0.0058796840880126254,-0.0003888189541199209,0.21164947748184204,0.0
top500_pred_minus_ensemble,logp,0.005744897933318783,-0.00025682324923180456,2.837782621383667,0.0
top500_pred_minus_ensemble,tpsa,0.005036909421811429,-0.0003180947245209905,69.02307891845703,0.0
top500_pred_minus_ensemble,num_rotatable_bonds,0.004841989991986671,-0.0004465216560749907,4.460999965667725,0.0
top500_pred_minus_ensemble,counter_emax_vs_pos_ctrl,0.004711445044979127,-4.632529777914693e-05,0.8488873839378357,0.361
top500_pred_minus_ensemble,num_heteroatoms,0.004081838302945371,-0.00037632194981492223,6.456999778747559,0.0
top500_pred_minus_ensemble,counter_pec50,0.0032778183881212535,0.0003929697139907313,3.1102347373962402,0.361
top500_pred_minus_ensemble,num_heavy_atoms,0.00272868396023199,0.0006179630580584063,24.145999908447266,0.0
top500_pred_minus_ensemble,counter_emax,0.0026495507861073603,-0.00035384590242460296,1.5527182817459106,0.361
top500_pred_minus_ensemble,hbd,0.002590134289997763,0.0002553719188279063,1.2359999418258667,0.0
top500_pred_minus_ensemble,num_rings,0.00171660041904804,0.0001200871341276257,3.0869998931884766,0.0
top500_pred_minus_ensemble,num_aromatic_rings,0.0011337365636482199,-0.0003910614882400883,2.1470000743865967,0.0
top500_pred_minus_ensemble,hba,0.0008484308475581776,-0.00018379890331055913,5.53000020980835,0.0
top500_pred_minus_ensemble,near_potent46_t04,0.0008313040761342191,-2.7084004116131735e-05,0.02199999988079071,0.0
top500_pred_minus_ensemble,counter_above_main,0.00030707186543459363,-8.935189621649023e-05,0.08399999886751175,0.0
top500_pred_minus_ensemble,num_bridgehead_atoms,0.0002737429820835588,-4.630557236971984e-05,0.04399999976158142,0.0
top500_pred_minus_ensemble,single_hi_low,8.864597660276569e-05,-7.965740280023953e-06,0.052000001072883606,0.0
top500_pred_minus_ensemble,near_potent46_t03,7.763927101856071e-05,2.7611322259763522e-05,0.06400000303983688,0.0
top500_pred_minus_ensemble,no_aux,7.380737200558995e-05,9.520502826100016e-06,0.30300000309944153,0.0
top500_pred_minus_ensemble,single_lo_low,6.842530373271581e-05,2.7916850256218646e-06,0.03099999949336052,0.0
top500_pred_minus_ensemble,has_single_conc_hi,2.776842762296375e-05,1.6250198519128387e-06,0.5849999785423279,0.0
top500_pred_minus_ensemble,has_single_conc_lo,2.0516303025669947e-05,-9.207050635868664e-06,0.5770000219345093,0.0
top500_pred_minus_ensemble,has_counter,0.0,0.0,0.6389999985694885,0.0
top500_pred_minus_ensemble,is_potent46,0.0,0.0,0.014000000432133675,0.0
