case,lb_mae,lb_delta_vs_id32,lb_sp,mean_pred,std_pred,mean_delta_vs_id32,mean_abs_delta_vs_id32,p90_abs_delta_vs_id32,max_abs_delta_vs_id32,mean_abs_delta_vs_hybrid,pearson_vs_id32,spearman_vs_id32,notes
id32_baseline9,0.4078471063458229,0.0,0.8454463307068544,4.792588688939128,0.766649005476134,0.0,0.0,0.0,0.0,0.02029072675590381,1.0,1.0,10-seed baseline before family-meta blend
id39_swap_t10,0.4080327859318756,0.00018567958605270052,0.8465176451241602,4.792588688939128,0.766649005476134,0.0,0.0,0.0,0.0,0.02029072675590381,1.0,1.0,"single optuna trial10 SWAP, near-tie"
id42_family_meta,0.409074454235369,0.0012273478895460932,0.8475717867383492,4.800647110455428,0.7540210763991483,0.00805842151629943,0.04058145351180763,0.08965838946174953,0.23196065944066513,0.02029072675590381,0.9976434077031252,0.9975558271895695,chemprop-family collapsed meta member
id43_hybrid,0.4074838675224626,-0.0003632388233603123,0.8470495157914333,4.796617899697279,0.7598869898889249,0.004029210758149753,0.02029072675590381,0.044829194730874454,0.11598032972033279,0.0,0.9994204281856306,0.9993504249436822,50/50 baseline9 + family_meta; current best
id44_anchor,0.4090205188659963,0.0011734125201733892,0.8447606118985267,4.796114482897845,0.7573153042323705,0.0035257939587158135,0.020906028774229087,0.03587410272054275,0.06486865762796601,0.02820529077869457,0.9995927225853894,0.9993034045270441,anchor residual correction
id45_admet_no_lf,0.4093625824408419,0.0015154760950190083,0.8428619387501411,4.789235259128437,0.774167319576877,-0.0033534298106919452,0.020658489543877296,0.04456836912594433,0.1370699060896987,0.03813805470427835,0.9994411089586555,0.999303760068947,ADMET-AI no-log2fc ADD
id46_region_a8,0.4091592405210825,0.001312134175259605,0.8435311179844552,4.788248011977203,0.7755190868707151,-0.004340676961925257,0.04682181070377936,0.10189728941964163,0.23113188814308128,0.05169576681922103,0.99690906743041,0.9963323186167431,region-conditioned routing hedged 80/20
