global_feature_idx,feature,family,mean_abs_shap,mean_shap,max_abs_shap,lgbm_gain
2101,log2fc_8p25_pred,log2fc_pred,4.765135765075684,4.765135765075684,4.765135765075684,30835.23519056922
2102,log2fc_33_pred,log2fc_pred,1.03613126193209,-0.03228623002153935,2.2505647996994123,8510.753542844861
42,chemeleon_42,chemeleon,0.26736769589705717,0.03613479140380575,1.0902115928090446,47.718348559661536
904,mordred_604,mordred,0.26563707731797287,0.25375973151290937,1.189816189900454,10.086527708132053
1331,mordred_1031,mordred,0.2616413662058846,0.1149401470191403,1.0066198238191917,15.675692461285507
107,chemeleon_107,chemeleon,0.25536490029226283,0.030942544948091896,1.169189408717764,14.779967568727443
67,chemeleon_67,chemeleon,0.254834428140923,-0.02363334802535266,0.7403733335990057,188.8010531249456
73,chemeleon_73,chemeleon,0.24768815209725978,-0.07206994587319814,0.8990289497592743,9.519726193218958
850,mordred_550,mordred,0.2448500705467654,-0.23919597966898434,1.2086009526241448,19.654331315570744
1,chemeleon_1,chemeleon,0.24363469692680403,0.058393888729539205,1.0099211958790206,13.292576088395435
725,mordred_425,mordred,0.2433486074749784,-0.055219581566539645,1.1789282378621042,17.203361223859247
295,chemeleon_295,chemeleon,0.23510887535627348,-0.22041218079516778,1.2237948690680358,35.87998395046452
99,chemeleon_99,chemeleon,0.2312069910359874,0.14754513482318585,1.0994951684215235,42.794072521908674
9,chemeleon_9,chemeleon,0.23116073757672392,-0.08966684298208359,1.1237951237050607,10.974610618810402
211,chemeleon_211,chemeleon,0.2271122072651617,-0.0765728106399824,1.1845763176042716,14.667288114491384
249,chemeleon_249,chemeleon,0.226615801613543,0.2030684115254174,1.5587658871320402,14.07682137019583
1211,mordred_911,mordred,0.22405286516682624,-0.14113629472100256,0.8080255568555745,9.615056490612915
1051,mordred_751,mordred,0.2228874059397351,-0.19280806991346888,1.1454915671006494,27.004415309376782
2041,boltz_tier0_3,boltz_tier0,0.21977423245393357,0.1598257885491348,1.8982038266301995,35.75383226049598
165,chemeleon_165,chemeleon,0.2197616033456009,0.0839152612462466,0.7475898153328266,20.700062853167765
148,chemeleon_148,chemeleon,0.21910328045325378,0.1958917668768904,1.3861374566601037,12.295083277946105
239,chemeleon_239,chemeleon,0.21896711970944227,-0.17212020233233252,1.6093289715686314,11.058315999005572
2064,boltz_tier1_7,boltz_tier1,0.2166093990380317,0.09417344643405412,0.8050590786053964,29.58143988487427
554,mordred_254,mordred,0.21278942754040128,0.18987051542352126,0.8925957927878282,13.115368712693453
131,chemeleon_131,chemeleon,0.21070337608771247,-0.10690993901634653,0.8809447919980783,119.82434599137923
58,chemeleon_58,chemeleon,0.2069772108794724,-0.08683439716041318,0.6641224962667085,11.436086015601177
467,mordred_167,mordred,0.20429788695392057,-0.10268796956838029,0.6767790208259102,18.427523743361235
151,chemeleon_151,chemeleon,0.20341206897445244,0.09184886692209988,1.2456232531601863,10.176741712901276
756,mordred_456,mordred,0.20066248762932068,-0.06272790245538055,1.2567944841953675,33.387541953707114
126,chemeleon_126,chemeleon,0.20053069839339907,0.16589007703513695,1.0035792506071763,21.169162686244817
351,mordred_51,mordred,0.19993658590258445,0.044502363921423156,0.8552662547913286,37.38616913022997
123,chemeleon_123,chemeleon,0.19868767081462035,-0.186856269175133,1.1802025311255961,13.821723162312992
65,chemeleon_65,chemeleon,0.19399700687028285,0.10211064254167813,1.2460392081963167,17.597882284026127
1897,rdkit_76,rdkit,0.19370426834814994,0.013195889406965207,1.207203666428046,9.10077314035152
118,chemeleon_118,chemeleon,0.19124166025801137,-0.14060162224348424,0.7960285853863274,25.823046625388088
196,chemeleon_196,chemeleon,0.1905103961410166,0.08045686588113087,0.826749973873094,18.95149167490308
49,chemeleon_49,chemeleon,0.18986046751601945,-0.022304801878748937,0.8175957000807265,11.055091797141358
937,mordred_637,mordred,0.18931922805601564,-0.053887076306679216,1.1636355996831118,10.363194703415502
901,mordred_601,mordred,0.18761523295022364,-0.16005297347735203,1.3260195065176321,17.49548254691763
178,chemeleon_178,chemeleon,0.18699441876065445,0.17598965894827748,1.1328910255506188,17.16163089175825
1088,mordred_788,mordred,0.18541799519528057,0.011389153294459489,0.7905665590861731,9.666422935086302
373,mordred_73,mordred,0.18490983194442165,0.15814149416291137,1.15992193828502,13.875721071381122
1454,mordred_1154,mordred,0.18451512058660555,-0.014301103899509685,1.0933530377175555,13.02092994574923
851,mordred_551,mordred,0.1841408357001071,0.13320472990947482,0.9751448058268822,11.87881851743441
873,mordred_573,mordred,0.18398074920856453,-0.06092095527286805,0.7489846159289493,15.629902148502879
1666,mordred_1366,mordred,0.18357688087530802,0.1623936638965905,1.1597210762678405,20.72514667006908
93,chemeleon_93,chemeleon,0.18334890423350694,-0.018553077709643203,0.8519815024619044,19.710658110649092
267,chemeleon_267,chemeleon,0.1815685135224853,0.012011193028211546,0.7957749234156478,17.49300339911133
715,mordred_415,mordred,0.18078741830779324,0.09572632629797696,1.1003094486447629,11.533704969944665
1710,mordred_1410,mordred,0.17823431885577154,-0.1205165682635329,0.9094127274788368,19.434685535234166
213,chemeleon_213,chemeleon,0.17702839577104182,-0.14459944659307225,1.1058418909910976,40.63280019213562
1070,mordred_770,mordred,0.17702354473497753,-0.04510497825730541,0.6968289294698805,9.382625263533555
272,chemeleon_272,chemeleon,0.17685952976114486,0.14054221885727272,1.0450867346901205,12.194835463626077
103,chemeleon_103,chemeleon,0.1767895387153304,0.12450407745165115,0.6749920735330531,17.820531873148866
1747,mordred_1447,mordred,0.17594054927034145,0.07328309401025797,0.861276202044856,46.32583458197769
2042,boltz_tier0_4,boltz_tier0,0.17586570779529365,0.15676329991089683,1.1444438418762235,56.80839886769536
1967,rdkit_146,rdkit,0.17553967734480744,0.09085105767119726,0.7765529635477889,72.43616971353185
185,chemeleon_185,chemeleon,0.1753548187964288,-0.0015765016261836083,0.7629855705179005,22.975924443890108
258,chemeleon_258,chemeleon,0.17494071573433012,-0.1334026584434784,1.1637950583207828,10.144199353759177
889,mordred_589,mordred,0.1741840924293148,-0.054394968336969225,1.0439862913742346,17.999503571365494
1437,mordred_1137,mordred,0.17355135913205777,-0.05392796822332622,0.6396962477654744,24.343512009014376
763,mordred_463,mordred,0.17258715509871606,0.04828920918163773,0.8155335825349601,9.831441418966278
1014,mordred_714,mordred,0.17195787646144542,-0.11730674300849893,1.0285888150459188,13.977213609265164
114,chemeleon_114,chemeleon,0.17175399596851057,-0.1600890153249793,0.994294443203594,43.516349242738215
