global_feature_idx,feature,family,lgbm_gain
905,mordred_605,mordred,22.278863438696135
2061,boltz_tier1_4,boltz_tier1,22.224481341138016
83,chemeleon_83,chemeleon,22.181382702372503
1397,mordred_1097,mordred,22.17512583336793
457,mordred_157,mordred,22.050029277801514
136,chemeleon_136,chemeleon,22.010831982042873
2046,boltz_tier0_8,boltz_tier0,21.997290949409944
670,mordred_370,mordred,21.8679093724204
1467,mordred_1167,mordred,21.72197548218537
615,mordred_315,mordred,21.513989467173815
922,mordred_622,mordred,21.231331936549395
126,chemeleon_126,chemeleon,21.169162686244817
130,chemeleon_130,chemeleon,20.781856522982707
1666,mordred_1366,mordred,20.72514667006908
165,chemeleon_165,chemeleon,20.700062853167765
170,chemeleon_170,chemeleon,20.681152606674004
279,chemeleon_279,chemeleon,20.671455763455015
4,chemeleon_4,chemeleon,20.646644179185387
788,mordred_488,mordred,20.599287241348065
193,chemeleon_193,chemeleon,20.561544955708086
215,chemeleon_215,chemeleon,20.509182217530906
431,mordred_131,mordred,20.47008153272327
1243,mordred_943,mordred,20.220530570775736
1227,mordred_927,mordred,20.12187450833153
120,chemeleon_120,chemeleon,20.019958208315074
1573,mordred_1273,mordred,19.986910025472753
1735,mordred_1435,mordred,19.84222732039052
1654,mordred_1354,mordred,19.760225989375613
93,chemeleon_93,chemeleon,19.710658110649092
850,mordred_550,mordred,19.654331315570744
202,chemeleon_202,chemeleon,19.605188113666372
1013,mordred_713,mordred,19.535466744564474
1710,mordred_1410,mordred,19.434685535234166
893,mordred_593,mordred,19.34415651287418
879,mordred_579,mordred,19.313188129046466
376,mordred_76,mordred,19.147012923262082
606,mordred_306,mordred,18.994624571467284
264,chemeleon_264,chemeleon,18.99215055364766
196,chemeleon_196,chemeleon,18.95149167490308
768,mordred_468,mordred,18.809926129004452
233,chemeleon_233,chemeleon,18.521766497404315
208,chemeleon_208,chemeleon,18.434360095649026
467,mordred_167,mordred,18.427523743361235
671,mordred_371,mordred,18.395010896143503
74,chemeleon_74,chemeleon,18.36995026434306
1420,mordred_1120,mordred,18.2545550801442
156,chemeleon_156,chemeleon,18.20338609497412
60,chemeleon_60,chemeleon,18.182571645476855
52,chemeleon_52,chemeleon,18.155970974010415
32,chemeleon_32,chemeleon,18.077446159964893
388,mordred_88,mordred,18.070028147194535
144,chemeleon_144,chemeleon,18.063489708001725
2081,boltz_tier1_24,boltz_tier1,18.058174562553177
89,chemeleon_89,chemeleon,18.001281474920688
889,mordred_589,mordred,17.999503571365494
252,chemeleon_252,chemeleon,17.97590105634299
254,chemeleon_254,chemeleon,17.966453251137864
217,chemeleon_217,chemeleon,17.90053224930307
1993,rdkit_172,rdkit,17.875536640407518
90,chemeleon_90,chemeleon,17.863241519604344
2059,boltz_tier1_2,boltz_tier1,17.860300330037717
103,chemeleon_103,chemeleon,17.820531873148866
61,chemeleon_61,chemeleon,17.795166553580202
141,chemeleon_141,chemeleon,17.73929038697679
1819,pose_jazzy_4,pose_jazzy,17.72928090626374
776,mordred_476,mordred,17.67691646522144
